Date,NXRT
2015-03-19,9.556840896606445
2015-03-20,9.556840896606445
2015-03-23,9.06252384185791
2015-03-24,8.620933532714844
2015-03-25,8.864794731140137
2015-03-26,9.392069816589355
2015-03-27,9.392069816589355
2015-03-30,9.52388858795166
2015-03-31,9.233887672424316
2015-04-01,9.128435134887695
2015-04-02,9.167978286743164
2015-04-06,9.596388816833496
2015-04-07,9.589801788330078
2015-04-08,9.517295837402344
2015-04-09,9.385479927062988
2015-04-10,9.247071266174316
2015-04-13,9.135024070739746
2015-04-14,9.141613960266113
2015-04-15,9.187747955322266
2015-04-16,9.194345474243164
2015-04-17,9.200931549072266
2015-04-20,9.233887672424316
2015-04-21,9.187747955322266
2015-04-22,9.194345474243164
2015-04-23,9.141613960266113
2015-04-24,9.207525253295898
2015-04-27,9.200931549072266
2015-04-28,9.200931549072266
2015-04-29,9.181159019470215
2015-04-30,9.319571495056152
2015-05-01,9.425025939941406
2015-05-04,9.405252456665039
2015-05-05,9.378889083862305
2015-05-06,9.312981605529785
2015-05-07,9.266843795776367
2015-05-08,9.41843318939209
2015-05-11,9.517295837402344
2015-05-12,9.504115104675293
2015-05-13,9.583208084106445
2015-05-14,9.490934371948242
2015-05-15,9.60297966003418
2015-05-18,9.629341125488281
2015-05-19,9.70184326171875
2015-05-20,9.6886625289917
2015-05-21,9.767754554748535
2015-05-22,9.820481300354004
2015-05-26,9.82707405090332
2015-05-27,9.91275405883789
2015-05-28,10.011617660522461
2015-05-29,9.978658676147461
2015-06-01,10.08411693572998
2015-06-02,9.978658676147461
2015-06-03,9.91275405883789
2015-06-04,9.80070972442627
2015-06-05,9.761162757873535
2015-06-08,9.846844673156738
2015-06-09,9.925935745239258
2015-06-10,9.88638973236084
2015-06-11,9.910449028015137
2015-06-12,9.79684066772461
2015-06-15,9.730015754699707
2015-06-16,9.79015827178955
2015-06-17,9.830256462097168
2015-06-18,9.709966659545898
2015-06-19,9.856987953186035
2015-06-22,9.696600914001465
2015-06-23,9.716650009155273
2015-06-24,9.669870376586914
2015-06-25,9.349099159240723
2015-06-26,9.369147300720215
2015-06-29,8.941454887390137
