Date,ENVX
2021-01-05,12.550000190734863
2021-01-06,12.75
2021-01-07,13.930000305175781
2021-01-08,13.699999809265137
2021-01-11,12.670000076293945
2021-01-12,13.779999732971191
2021-01-13,13.380000114440918
2021-01-14,13.600000381469727
2021-01-15,13.789999961853027
2021-01-19,14.399999618530273
2021-01-20,14.390000343322754
2021-01-21,14.5
2021-01-22,15.0
2021-01-25,13.949999809265137
2021-01-26,13.039999961853027
2021-01-27,12.5
2021-01-28,12.670000076293945
2021-01-29,13.569999694824219
2021-02-01,14.260000228881836
2021-02-02,14.779999732971191
2021-02-03,15.75
2021-02-04,15.550000190734863
2021-02-05,15.979999542236328
2021-02-08,16.670000076293945
2021-02-09,16.565000534057617
2021-02-10,16.1299991607666
2021-02-11,15.949999809265137
2021-02-12,15.75
2021-02-16,16.0
2021-02-17,16.450000762939453
2021-02-18,15.9399995803833
2021-02-19,15.75
2021-02-22,20.799999237060547
2021-02-23,20.510000228881836
2021-02-24,19.90999984741211
2021-02-25,16.559999465942383
2021-02-26,15.3100004196167
2021-03-01,19.18000030517578
2021-03-02,18.139999389648438
2021-03-03,16.399999618530273
2021-03-04,14.880000114440918
2021-03-05,14.390000343322754
2021-03-08,13.779999732971191
2021-03-09,14.100000381469727
2021-03-10,14.220000267028809
2021-03-11,14.670000076293945
2021-03-12,15.359999656677246
2021-03-15,16.260000228881836
2021-03-16,15.869999885559082
2021-03-17,15.130000114440918
2021-03-18,15.069999694824219
2021-03-19,14.399999618530273
2021-03-22,14.239999771118164
2021-03-23,13.989999771118164
2021-03-24,13.859999656677246
2021-03-25,13.510000228881836
2021-03-26,13.90999984741211
2021-03-29,13.84000015258789
2021-03-30,13.100000381469727
2021-03-31,13.3100004196167
2021-04-01,14.069999694824219
2021-04-05,14.210000038146973
2021-04-06,13.970000267028809
2021-04-07,14.34000015258789
2021-04-08,17.489999771118164
2021-04-09,17.31999969482422
2021-04-12,16.110000610351562
2021-04-13,16.079999923706055
2021-04-14,15.390000343322754
2021-04-15,15.0
2021-04-16,14.1899995803833
2021-04-19,14.0
2021-04-20,13.180000305175781
2021-04-21,13.229999542236328
2021-04-22,13.3100004196167
2021-04-23,13.420000076293945
2021-04-26,14.1899995803833
2021-04-27,13.800000190734863
2021-04-28,13.5
2021-04-29,13.350000381469727
2021-04-30,13.8100004196167
2021-05-03,13.359999656677246
2021-05-04,13.609999656677246
