Date,WTW
2010-01-04,52.10051345825195
2010-01-05,51.98374938964844
2010-01-06,52.82061767578125
2010-01-07,52.66493225097656
2010-01-08,52.60651779174805
2010-01-11,53.13201904296875
2010-01-12,53.268272399902344
2010-01-13,53.38502883911133
2010-01-14,53.268272399902344
2010-01-15,52.64545440673828
2010-01-19,53.24879837036133
2010-01-20,53.85211181640625
2010-01-21,53.423954010009766
2010-01-22,52.489742279052734
2010-01-25,52.58708190917969
2010-01-26,52.0810432434082
2010-01-27,51.80857849121094
2010-01-28,50.95224380493164
2010-01-29,51.049560546875
2010-02-01,51.380401611328125
2010-02-02,52.470298767089844
2010-02-03,53.36557388305664
2010-02-04,54.94199752807617
2010-02-05,54.70845413208008
2010-02-08,54.066192626953125
2010-02-09,54.241355895996094
2010-02-10,54.124603271484375
2010-02-11,54.163516998291016
2010-02-12,54.007816314697266
2010-02-16,54.26082992553711
2010-02-17,54.98092269897461
2010-02-18,54.84469985961914
2010-02-19,55.85673141479492
2010-02-22,56.36274719238281
2010-02-23,56.94664001464844
2010-02-24,57.19963836669922
2010-02-25,57.25802993774414
2010-02-26,57.958641052246094
2010-03-01,58.717674255371094
2010-03-02,59.0096435546875
2010-03-03,58.75661849975586
2010-03-04,59.282108306884766
2010-03-05,59.632415771484375
2010-03-08,59.86595153808594
2010-03-09,60.83908462524414
2010-03-10,60.74174880981445
2010-03-11,60.91694259643555
2010-03-12,61.169925689697266
2010-03-15,61.22831344604492
2010-03-16,61.77326583862305
2010-03-17,61.9679069519043
2010-03-18,61.94841384887695
2010-03-19,61.03369140625
2010-03-22,61.5202522277832
2010-03-23,62.12358856201172
2010-03-24,61.36454772949219
2010-03-25,62.04572677612305
2010-03-26,61.9679069519043
2010-03-29,62.7331657409668
2010-03-30,62.47808837890625
2010-03-31,61.39885711669922
2010-04-01,61.47730255126953
2010-04-05,61.92864227294922
2010-04-06,62.046356201171875
2010-04-07,62.47808837890625
2010-04-08,62.63503646850586
2010-04-09,62.792030334472656
2010-04-12,62.831275939941406
2010-04-13,62.87052917480469
2010-04-14,63.675025939941406
2010-04-15,63.537689208984375
2010-04-16,63.478843688964844
2010-04-19,62.87052917480469
2010-04-20,64.7542953491211
2010-04-21,65.51958465576172
2010-04-22,65.20559692382812
2010-04-23,65.61766815185547
2010-04-26,65.40182495117188
2010-04-27,64.79354858398438
2010-04-28,65.14671325683594
2010-04-29,68.36482238769531
2010-04-30,67.59954833984375
2010-05-03,68.38443756103516
2010-05-04,66.4614486694336
2010-05-05,64.98977661132812
2010-05-06,63.93018341064453
2010-05-07,62.41919708251953
2010-05-10,64.65618896484375
2010-05-11,64.5580825805664
2010-05-12,64.95050048828125
2010-05-13,64.59732055664062
2010-05-14,63.06675338745117
2010-05-17,62.85090255737305
2010-05-18,60.7905387878418
2010-05-19,61.45771026611328
2010-05-20,59.35810852050781
2010-05-21,59.98602294921875
2010-05-24,59.08338928222656
2010-05-25,58.23963928222656
2010-05-26,58.455482482910156
2010-05-27,60.33921813964844
2010-05-28,60.08415222167969
2010-06-01,59.75053024291992
2010-06-02,59.5543212890625
2010-06-03,61.4969367980957
2010-06-04,60.08415222167969
2010-06-07,59.69166564941406
2010-06-08,60.476585388183594
2010-06-09,60.69239807128906
2010-06-10,62.36035919189453
2010-06-11,62.28183364868164
2010-06-14,61.57542419433594
2010-06-15,62.399574279785156
2010-06-16,63.28261947631836
2010-06-17,63.027503967285156
2010-06-18,63.14524459838867
2010-06-21,63.51805114746094
2010-06-22,62.98826599121094
2010-06-23,61.909027099609375
2010-06-24,61.418479919433594
2010-06-25,61.006370544433594
2010-06-28,61.382381439208984
2010-06-29,59.977420806884766
2010-06-30,59.46291732788086
2010-07-01,59.68058395385742
2010-07-02,59.819095611572266
2010-07-06,60.41274642944336
2010-07-07,61.14488983154297
2010-07-08,61.48126983642578
2010-07-09,62.33218002319336
2010-07-12,62.33218002319336
2010-07-13,63.51947021484375
2010-07-14,63.222660064697266
2010-07-15,62.92580795288086
2010-07-16,62.074947357177734
2010-07-19,62.58942794799805
2010-07-20,62.92580795288086
2010-07-21,62.82687759399414
2010-07-22,63.51947021484375
2010-07-23,63.49966812133789
2010-07-26,63.42055892944336
2010-07-27,63.42055892944336
2010-07-28,63.242454528808594
2010-07-29,59.7993278503418
2010-07-30,60.55125427246094
2010-08-02,61.87706756591797
2010-08-03,61.24382400512695
2010-08-04,60.80849838256836
2010-08-05,60.590850830078125
2010-08-06,61.14488983154297
2010-08-09,61.6989631652832
2010-08-10,60.92722702026367
2010-08-11,59.75973129272461
2010-08-12,59.26502990722656
2010-08-13,59.205684661865234
2010-08-16,59.26502990722656
2010-08-17,59.937835693359375
2010-08-18,60.353355407714844
2010-08-19,59.40355682373047
2010-08-20,59.22549057006836
2010-08-23,59.16609573364258
2010-08-24,58.018375396728516
2010-08-25,57.840328216552734
2010-08-26,57.642425537109375
2010-08-27,58.15689468383789
2010-08-30,57.780941009521484
2010-08-31,57.46434783935547
2010-09-01,59.007816314697266
2010-09-02,59.73996353149414
2010-09-03,60.313812255859375
2010-09-07,60.294029235839844
2010-09-08,60.392974853515625
2010-09-09,60.709564208984375
2010-09-10,61.32297897338867
2010-09-13,61.85728454589844
2010-09-14,61.797916412353516
2010-09-15,61.7385368347168
2010-09-16,61.71875
2010-09-17,61.60003662109375
2010-09-20,61.817684173583984
2010-09-21,61.362579345703125
2010-09-22,61.34278106689453
2010-09-23,60.729339599609375
2010-09-24,61.63960266113281
2010-09-27,61.105316162109375
2010-09-28,61.424617767333984
