Date,HAS
2010-01-04,19.616945266723633
2010-01-05,19.39991569519043
2010-01-06,19.381826400756836
2010-01-07,19.104522705078125
2010-01-08,19.152748107910156
2010-01-11,19.134662628173828
2010-01-12,18.83323097229004
2010-01-13,19.104522705078125
2010-01-14,19.303457260131836
2010-01-15,19.387859344482422
2010-01-19,19.4903507232666
2010-01-20,19.448143005371094
2010-01-21,19.351688385009766
2010-01-22,18.86338233947754
2010-01-25,18.941741943359375
2010-01-26,18.857351303100586
2010-01-27,18.983945846557617
2010-01-28,19.01409339904785
2010-01-29,18.53479766845703
2010-02-01,18.923093795776367
2010-02-02,19.390233993530273
2010-02-03,19.456985473632812
2010-02-04,18.965551376342773
2010-02-05,18.686471939086914
2010-02-08,21.058683395385742
2010-02-09,21.271026611328125
2010-02-10,21.41663360595703
2010-02-11,21.926267623901367
2010-02-12,21.568313598632812
2010-02-16,21.252817153930664
2010-02-17,21.49551010131836
2010-02-18,21.695720672607422
2010-02-19,21.719987869262695
2010-02-22,21.550113677978516
2010-02-23,21.404495239257812
2010-02-24,21.525850296020508
2010-02-25,21.653255462646484
2010-02-26,21.707855224609375
2010-03-01,21.87773323059082
2010-03-02,22.211410522460938
2010-03-03,22.04155158996582
2010-03-04,22.284225463867188
2010-03-05,22.733186721801758
2010-03-08,22.75137710571289
2010-03-09,22.860591888427734
2010-03-10,23.060800552368164
2010-03-11,23.109331130981445
2010-03-12,23.17608070373535
2010-03-15,22.83025360107422
2010-03-16,22.963729858398438
2010-03-17,23.13967514038086
2010-03-18,23.115402221679688
2010-03-19,22.987993240356445
2010-03-22,23.2064151763916
2010-03-23,23.19428062438965
2010-03-24,23.091142654418945
2010-03-25,23.115402221679688
2010-03-26,23.30348014831543
2010-03-29,23.794912338256836
2010-03-30,23.691774368286133
2010-03-31,23.224611282348633
2010-04-01,23.273147583007812
2010-04-05,23.740304946899414
2010-04-06,23.618972778320312
2010-04-07,23.29741859436035
2010-04-08,23.461233139038086
2010-04-09,23.618972778320312
2010-04-12,23.72210693359375
2010-04-13,23.849515914916992
2010-04-14,23.976919174194336
2010-04-15,24.353078842163086
2010-04-16,24.17713165283203
2010-04-19,24.820247650146484
2010-04-20,24.84451675415039
2010-04-21,24.34701919555664
2010-04-22,24.516895294189453
2010-04-23,24.58969497680664
2010-04-26,24.516895294189453
2010-04-27,23.92839241027832
2010-04-28,23.67964744567871
2010-04-29,24.00937843322754
2010-04-30,23.42318344116211
2010-05-03,24.497861862182617
2010-05-04,23.777341842651367
2010-05-05,24.119285583496094
2010-05-06,23.991056442260742
2010-05-07,23.79566764831543
2010-05-10,24.91307830810547
2010-05-11,25.206174850463867
2010-05-12,25.89006805419922
2010-05-13,24.94361114501953
2010-05-14,24.595565795898438
2010-05-17,25.352725982666016
2010-05-18,25.413793563842773
2010-05-19,25.08405876159668
2010-05-20,24.284147262573242
2010-05-21,24.137617111206055
2010-05-24,24.003267288208008
2010-05-25,23.777341842651367
2010-05-26,24.149818420410156
2010-05-27,24.772642135620117
2010-05-28,24.51618194580078
2010-06-01,24.033790588378906
2010-06-02,24.607786178588867
2010-06-03,24.278045654296875
2010-06-04,23.899459838867188
2010-06-07,23.459815979003906
2010-06-08,23.270536422729492
2010-06-09,23.47203254699707
2010-06-10,24.772642135620117
2010-06-11,24.66273307800293
2010-06-14,24.736013412475586
2010-06-15,25.55422019958496
2010-06-16,26.0610408782959
2010-06-17,26.17705726623535
2010-06-18,26.183156967163086
2010-06-21,25.77405548095703
2010-06-22,25.200084686279297
2010-06-23,25.10847282409668
2010-06-24,26.170949935913086
2010-06-25,26.256444931030273
2010-06-28,26.23201560974121
2010-06-29,25.67025375366211
2010-06-30,25.096271514892578
2010-07-01,24.94361114501953
2010-07-02,24.699365615844727
2010-07-06,24.47344398498535
2010-07-07,25.06574058532715
2010-07-08,25.05963897705078
2010-07-09,25.395471572875977
2010-07-12,25.505388259887695
2010-07-13,25.749622344970703
2010-07-14,25.33441734313965
2010-07-15,25.090160369873047
2010-07-16,24.119285583496094
2010-07-19,24.027685165405273
2010-07-20,24.906980514526367
2010-07-21,24.021581649780273
2010-07-22,24.485654830932617
2010-07-23,25.004680633544922
2010-07-26,25.95113182067871
2010-07-27,25.70076560974121
2010-07-28,25.35883140563965
2010-07-29,25.696712493896484
2010-07-30,25.893291473388672
2010-08-02,26.47074317932129
2010-08-03,26.06528663635254
2010-08-04,26.759462356567383
2010-08-05,26.734895706176758
2010-08-06,26.612030029296875
2010-08-09,26.851604461669922
2010-08-10,26.86390495300293
2010-08-11,26.120580673217773
2010-08-12,26.096017837524414
2010-08-13,26.280296325683594
2010-08-16,26.286447525024414
2010-08-17,26.949892044067383
2010-08-18,27.02362060546875
2010-08-19,26.421581268310547
2010-08-20,26.08987045288086
2010-08-23,25.917858123779297
2010-08-24,25.309690475463867
2010-08-25,25.19911766052246
2010-08-26,24.812097549438477
2010-08-27,25.14997100830078
2010-08-30,24.664657592773438
2010-08-31,24.793663024902344
2010-09-01,25.59840965270996
2010-09-02,26.4277286529541
2010-09-03,26.716461181640625
2010-09-07,26.556753158569336
2010-09-08,26.433876037597656
2010-09-09,26.446170806884766
2010-09-10,26.624326705932617
2010-09-13,27.085058212280273
2010-09-14,26.968339920043945
2010-09-15,27.25092887878418
2010-09-16,27.29391098022461
2010-09-17,27.45978355407715
2010-09-20,27.877511978149414
2010-09-21,27.64407730102539
2010-09-22,26.882320404052734
2010-09-23,26.857746124267578
2010-09-24,27.263200759887695
2010-09-27,27.66250991821289
2010-09-28,27.77309799194336
