Date,NSP
2010-01-04,7.9681549072265625
2010-01-05,7.95492696762085
2010-01-06,8.123616218566895
2010-01-07,8.312155723571777
2010-01-08,8.275772094726562
2010-01-11,8.209614753723145
2010-01-12,8.090542793273926
2010-01-13,8.133539199829102
2010-01-14,8.143468856811523
2010-01-15,7.994616508483887
2010-01-19,8.047540664672852
2010-01-20,7.915233612060547
2010-01-21,7.7564697265625
2010-01-22,7.624162197113037
2010-01-25,7.5976996421813965
2010-01-26,7.574544906616211
2010-01-27,7.67046594619751
2010-01-28,7.538161754608154
2010-01-29,7.554698467254639
2010-02-01,7.614235877990723
2010-02-02,7.601006984710693
2010-02-03,7.587778568267822
2010-02-04,7.41247034072876
2010-02-05,7.501780986785889
2010-02-08,7.468698978424072
2010-02-09,7.551392078399658
2010-02-10,7.558010101318359
2010-02-11,5.685871601104736
2010-02-12,5.5138726234436035
2010-02-16,5.623024940490723
2010-02-17,5.606489658355713
2010-02-18,5.623024940490723
2010-02-19,5.685871601104736
2010-02-22,5.758638858795166
2010-02-23,5.77186918258667
2010-02-24,5.791717529296875
2010-02-25,5.9350080490112305
2010-02-26,6.00498628616333
2010-03-01,6.181607246398926
2010-03-02,6.24159049987793
2010-03-03,6.2282586097717285
2010-03-04,6.318236351013184
2010-03-05,6.451532363891602
2010-03-08,6.478190898895264
2010-03-09,6.558170318603516
2010-03-10,6.554837226867676
2010-03-11,6.568166732788086
2010-03-12,6.674801826477051
2010-03-15,6.744783878326416
2010-03-16,6.794769763946533
2010-03-17,6.94139289855957
2010-03-18,7.058030605316162
2010-03-19,7.157999038696289
2010-03-22,7.2946271896362305
2010-03-23,7.331283092498779
2010-03-24,7.2946271896362305
2010-03-25,7.28463077545166
2010-03-26,7.304627418518066
2010-03-29,7.114680767059326
2010-03-30,7.157999038696289
2010-03-31,7.111345291137695
2010-04-01,7.061361312866211
2010-04-05,7.261305332183838
2010-04-06,7.331283092498779
2010-04-07,7.337949752807617
2010-04-08,7.334616661071777
2010-04-09,7.507903575897217
2010-04-12,7.504568576812744
2010-04-13,7.581214904785156
2010-04-14,7.861137866973877
2010-04-15,7.741171360015869
2010-04-16,7.587880611419678
2010-04-19,7.731172561645508
2010-04-20,7.884462833404541
2010-04-21,7.8711371421813965
2010-04-22,7.904457092285156
2010-04-23,7.877799034118652
2010-04-26,7.691183567047119
2010-04-27,7.46124792098999
2010-04-28,7.497905254364014
2010-04-29,7.554558753967285
2010-04-30,7.377938747406006
2010-05-03,9.160776138305664
2010-05-04,9.027478218078613
2010-05-05,8.834198951721191
2010-05-06,8.720898628234863
2010-05-07,8.484294891357422
2010-05-10,8.777547836303711
2010-05-11,8.827535629272461
2010-05-12,9.120787620544434
2010-05-13,8.964163780212402
2010-05-14,8.67091178894043
2010-05-17,8.620927810668945
2010-05-18,8.720898628234863
2010-05-19,8.580936431884766
2010-05-20,8.254363059997559
2010-05-21,8.29768180847168
2010-05-24,8.224371910095215
2010-05-25,8.031088829040527
2010-05-26,8.03109073638916
2010-05-27,8.185212135314941
2010-05-28,8.084698677062988
2010-06-01,7.890368461608887
2010-06-02,7.980833530426025
2010-06-03,8.148357391357422
2010-06-04,7.756350040435791
2010-06-07,7.662539482116699
2010-06-08,7.5486226081848145
2010-06-09,7.51176643371582
