Date,DX
2010-01-04,4.292468070983887
2010-01-05,4.3363189697265625
2010-01-06,4.365554332733154
2010-01-07,4.365554332733154
2010-01-08,4.389913558959961
2010-01-11,4.428893089294434
2010-01-12,4.414275646209717
2010-01-13,4.414275646209717
2010-01-14,4.428893089294434
2010-01-15,4.42401647567749
2010-01-19,4.428893089294434
2010-01-20,4.409402370452881
2010-01-21,4.389913558959961
2010-01-22,4.3850417137146
2010-01-25,4.404531955718994
2010-01-26,4.394787311553955
2010-01-27,4.399656772613525
2010-01-28,4.3850417137146
2010-01-29,4.409402370452881
2010-02-01,4.399656772613525
2010-02-02,4.380169868469238
2010-02-03,4.375296592712402
2010-02-04,4.326574802398682
2010-02-05,4.350935935974121
2010-02-08,4.380169868469238
2010-02-09,4.341189384460449
2010-02-10,4.341189384460449
2010-02-11,4.307083606719971
2010-02-12,4.31682825088501
2010-02-16,4.355806350708008
2010-02-17,4.360681056976318
2010-02-18,4.370424747467041
2010-02-19,4.341189384460449
2010-02-22,4.3217010498046875
2010-02-23,4.297338962554932
2010-02-24,4.346061706542969
2010-02-25,4.409402370452881
2010-02-26,4.297338962554932
2010-03-01,4.365554332733154
2010-03-02,4.3850417137146
2010-03-03,4.375296592712402
2010-03-04,4.3850417137146
2010-03-05,4.389913558959961
2010-03-08,4.380169868469238
2010-03-09,4.3850417137146
2010-03-10,4.3850417137146
2010-03-11,4.3850417137146
2010-03-12,4.3850417137146
2010-03-15,4.380169868469238
2010-03-16,4.3850417137146
2010-03-17,4.399656772613525
2010-03-18,4.438638687133789
2010-03-19,4.414275646209717
2010-03-22,4.536082744598389
2010-03-23,4.540951251983643
2010-03-24,4.531210422515869
2010-03-25,4.511720180511475
2010-03-26,4.482487678527832
2010-03-29,4.487485885620117
2010-03-30,4.507472991943359
2010-03-31,4.497476577758789
2010-04-01,4.507472991943359
2010-04-05,4.547451972961426
2010-04-06,4.547451972961426
2010-04-07,4.547451972961426
2010-04-08,4.537453651428223
2010-04-09,4.537453651428223
2010-04-12,4.54245138168335
2010-04-13,4.54245138168335
2010-04-14,4.567438125610352
2010-04-15,4.557445526123047
2010-04-16,4.532459735870361
2010-04-19,4.497476577758789
2010-04-20,4.522465229034424
2010-04-21,4.497476577758789
2010-04-22,4.54245138168335
2010-04-23,4.567438125610352
2010-04-26,4.622407913208008
2010-04-27,4.532459735870361
2010-04-28,4.592422962188721
2010-04-29,4.697368621826172
2010-04-30,4.632401943206787
2010-05-03,4.697368621826172
2010-05-04,4.587425708770752
2010-05-05,4.547451972961426
2010-05-06,4.39253568649292
2010-05-07,4.377547264099121
2010-05-10,4.552450180053711
2010-05-11,4.522465229034424
2010-05-12,4.642395973205566
2010-05-13,4.622407913208008
2010-05-14,4.6124138832092285
2010-05-17,4.617410182952881
2010-05-18,4.567438125610352
2010-05-19,4.617410182952881
2010-05-20,4.472494602203369
2010-05-21,4.522465229034424
2010-05-24,4.467494010925293
2010-05-25,4.517467498779297
2010-05-26,4.527462005615234
2010-05-27,4.617410182952881
2010-05-28,4.707359790802002
2010-06-01,4.632401943206787
2010-06-02,4.657386779785156
2010-06-03,4.592422962188721
2010-06-04,4.517467498779297
2010-06-07,4.522465229034424
2010-06-08,4.517467498779297
2010-06-09,4.547451972961426
2010-06-10,4.5974225997924805
2010-06-11,4.637402057647705
2010-06-14,4.6673808097839355
2010-06-15,4.712359428405762
