Date,SYRE
2016-04-07,244.25
2016-04-08,299.75
2016-04-11,260.5
2016-04-12,241.25
2016-04-13,251.75
2016-04-14,244.0
2016-04-15,249.0
2016-04-18,242.75
2016-04-19,212.25
2016-04-20,213.5
2016-04-21,214.75
2016-04-22,229.75
2016-04-25,242.5
2016-04-26,247.25
2016-04-27,238.0
2016-04-28,229.75
2016-04-29,219.0
2016-05-02,244.0
2016-05-03,235.0
2016-05-04,227.5
2016-05-05,215.375
2016-05-06,217.75
2016-05-09,220.25
2016-05-10,219.25
2016-05-11,203.625
2016-05-12,186.5
2016-05-13,179.25
2016-05-16,180.75
2016-05-17,182.0
2016-05-18,185.25
2016-05-19,184.0
2016-05-20,186.5
2016-05-23,182.75
2016-05-24,184.0
2016-05-25,184.5
2016-05-26,186.25
2016-05-27,181.0
2016-05-31,187.5
2016-06-01,184.5
2016-06-02,192.0
2016-06-03,190.0
2016-06-06,189.75
2016-06-07,183.75
2016-06-08,181.5
2016-06-09,181.25
2016-06-10,157.0
2016-06-13,154.25
2016-06-14,147.25
2016-06-15,134.0
2016-06-16,130.0
2016-06-17,111.5
2016-06-20,111.75
2016-06-21,109.0
2016-06-22,111.375
2016-06-23,120.0
2016-06-24,134.0
2016-06-27,136.25
2016-06-28,136.25
2016-06-29,130.75
2016-06-30,121.5
2016-07-01,121.25
2016-07-05,114.5
2016-07-06,114.0
2016-07-07,99.0
2016-07-08,105.25
2016-07-11,103.0
2016-07-12,105.0
2016-07-13,118.75
2016-07-14,116.25
2016-07-15,113.0
2016-07-18,112.0
2016-07-19,116.0
2016-07-20,114.25
2016-07-21,113.5
2016-07-22,116.25
2016-07-25,112.75
2016-07-26,117.5
2016-07-27,117.5
2016-07-28,120.25
2016-07-29,120.0
2016-08-01,119.25
2016-08-02,114.5
2016-08-03,115.5
2016-08-04,119.75
2016-08-05,117.25
2016-08-08,115.0
2016-08-09,118.5
2016-08-10,115.0
2016-08-11,114.75
2016-08-12,115.0
2016-08-15,117.25
2016-08-16,130.0
2016-08-17,147.5
2016-08-18,147.0
2016-08-19,129.0
2016-08-22,141.0
2016-08-23,139.25
2016-08-24,144.75
2016-08-25,146.75
2016-08-26,147.375
2016-08-29,146.0
2016-08-30,144.75
2016-08-31,141.0
2016-09-01,144.625
2016-09-02,156.25
2016-09-06,174.25
2016-09-07,173.75
2016-09-08,183.25
2016-09-09,173.75
2016-09-12,186.25
2016-09-13,194.25
2016-09-14,202.75
2016-09-15,194.0
2016-09-16,192.75
2016-09-19,173.5
2016-09-20,172.0
2016-09-21,159.25
2016-09-22,160.5
2016-09-23,162.25
2016-09-26,170.0
2016-09-27,171.5
2016-09-28,175.25
2016-09-29,166.25
2016-09-30,160.25
2016-10-03,160.25
2016-10-04,169.5
