Date,SYY
2010-01-04,18.0041446685791
2010-01-05,17.927255630493164
2010-01-06,17.978517532348633
2010-01-07,17.99773406982422
2010-01-08,17.882410049438477
2010-01-11,17.843961715698242
2010-01-12,17.74785804748535
2010-01-13,17.940073013305664
2010-01-14,18.055397033691406
2010-01-15,18.02336311340332
2010-01-19,18.189950942993164
2010-01-20,18.215579986572266
2010-01-21,17.81192970275879
2010-01-22,17.600488662719727
2010-01-25,17.786296844482422
2010-01-26,17.683786392211914
2010-01-27,17.690187454223633
2010-01-28,17.645341873168945
2010-01-29,17.93366241455078
2010-02-01,18.177143096923828
2010-02-02,18.04258155822754
2010-02-03,17.81192970275879
2010-02-04,17.48516273498535
2010-02-05,17.43389892578125
2010-02-08,17.299352645874023
2010-02-09,17.510786056518555
2010-02-10,17.56846046447754
2010-02-11,17.67738151550293
2010-02-12,17.645341873168945
2010-02-16,18.055397033691406
2010-02-17,18.241209030151367
2010-02-18,18.266834259033203
2010-02-19,18.670488357543945
2010-02-22,18.58078956604004
2010-02-23,18.52953338623047
2010-02-24,18.56156349182129
2010-02-25,18.71534538269043
2010-02-26,18.516714096069336
2010-03-01,18.56156349182129
2010-03-02,18.625640869140625
2010-03-03,18.420612335205078
2010-03-04,18.567968368530273
2010-03-05,18.606422424316406
2010-03-08,18.54876136779785
2010-03-09,18.388578414916992
2010-03-10,18.20276641845703
2010-03-11,18.35654067993164
2010-03-12,18.35013198852539
2010-03-15,18.375761032104492
2010-03-16,18.343725204467773
2010-03-17,18.619226455688477
2010-03-18,18.523128509521484
2010-03-19,18.43342399597168
2010-03-22,18.54876136779785
2010-03-23,18.856294631958008
2010-03-24,18.63844871520996
2010-03-25,18.58719825744629
2010-03-26,18.689708709716797
2010-03-29,19.0164737701416
2010-03-30,19.203868865966797
2010-03-31,19.061710357666016
2010-04-01,19.126319885253906
2010-04-05,19.210325241088867
2010-04-06,19.371864318847656
2010-04-07,19.26201629638672
2010-04-08,19.106937408447266
2010-04-09,19.30724334716797
2010-04-12,19.300785064697266
2010-04-13,19.565715789794922
2010-04-14,19.488174438476562
2010-04-15,19.33309555053711
2010-04-16,19.197404861450195
2010-04-19,19.33309555053711
2010-04-20,19.68201446533203
2010-04-21,19.707866668701172
2010-04-22,19.946943283081055
2010-04-23,20.15371322631836
2010-04-26,20.295866012573242
2010-04-27,19.785404205322266
2010-04-28,19.914640426635742
2010-04-29,20.179561614990234
2010-04-30,20.379873275756836
2010-05-03,20.050334930419922
2010-05-04,19.95340347290039
2010-05-05,20.056793212890625
2010-05-06,19.30724334716797
2010-05-07,19.01647186279297
2010-05-10,19.552785873413086
2010-05-11,19.630329132080078
2010-05-12,19.83063316345215
2010-05-13,19.869403839111328
2010-05-14,19.494638442993164
2010-05-17,19.623868942260742
2010-05-18,19.753093719482422
2010-05-19,19.669092178344727
2010-05-20,18.98417091369629
2010-05-21,19.08755874633789
2010-05-24,18.8226318359375
2010-05-25,18.674013137817383
2010-05-26,18.78386116027832
2010-05-27,19.287860870361328
2010-05-28,19.26201629638672
2010-06-01,19.11985969543457
2010-06-02,19.514028549194336
2010-06-03,19.5010929107666
2010-06-04,18.990631103515625
2010-06-07,19.061710357666016
2010-06-08,19.41708755493164
2010-06-09,19.636798858642578
2010-06-10,19.856481552124023
2010-06-11,19.998638153076172
2010-06-14,19.862943649291992
2010-06-15,19.992176055908203
2010-06-16,20.024486541748047
2010-06-17,20.043874740600586
2010-06-18,20.102020263671875
2010-06-21,19.95340347290039
2010-06-22,19.81770896911621
2010-06-23,19.662639617919922
2010-06-24,19.339563369750977
2010-06-25,19.132789611816406
2010-06-28,19.346023559570312
2010-06-29,18.880781173706055
2010-06-30,18.620084762573242
2010-07-01,18.60053825378418
2010-07-02,18.4245662689209
2010-07-06,18.502769470214844
2010-07-07,18.978540420532227
2010-07-08,19.193620681762695
2010-07-09,19.30440902709961
2010-07-12,19.2587890625
2010-07-13,19.51296043395996
2010-07-14,19.532516479492188
2010-07-15,19.669376373291016
2010-07-16,19.46733856201172
2010-07-19,19.454307556152344
2010-07-20,19.793212890625
2010-07-21,19.558582305908203
2010-07-22,19.930076599121094
2010-07-23,20.164703369140625
2010-07-26,20.301565170288086
2010-07-27,20.171218872070312
2010-07-28,20.106054306030273
2010-07-29,20.0604248046875
2010-07-30,20.184253692626953
2010-08-02,20.444948196411133
2010-08-03,20.490571975708008
2010-08-04,20.386293411254883
2010-08-05,20.125598907470703
2010-08-06,19.949630737304688
2010-08-09,20.236391067504883
2010-08-10,20.171218872070312
2010-08-11,19.669376373291016
2010-08-12,19.68893051147461
2010-08-13,19.53904151916504
2010-08-16,19.082822799682617
2010-08-17,19.030683517456055
2010-08-18,18.83515739440918
2010-08-19,18.444114685058594
2010-08-20,18.561433792114258
2010-08-23,18.65918731689453
2010-08-24,18.229049682617188
2010-08-25,18.398496627807617
2010-08-26,18.144315719604492
2010-08-27,18.281179428100586
2010-08-30,17.785865783691406
2010-08-31,17.916215896606445
2010-09-01,18.33984375
2010-09-02,18.535356521606445
2010-09-03,18.613571166992188
2010-09-07,18.463668823242188
2010-09-08,18.502769470214844
2010-09-09,18.567943572998047
2010-09-10,18.750436782836914
2010-09-13,18.874265670776367
2010-09-14,18.73088264465332
2010-09-15,18.90684700012207
2010-09-16,18.96550750732422
2010-09-17,19.011131286621094
2010-09-20,19.28486442565918
2010-09-21,19.36958885192871
2010-09-22,19.402172088623047
2010-09-23,19.252269744873047
2010-09-24,19.53904151916504
2010-09-27,19.2587890625
2010-09-28,19.2587890625
