Date,CMRE
2010-11-04,5.121706962585449
2010-11-05,5.078482627868652
2010-11-08,4.92720890045166
2010-11-09,4.7543230056762695
2010-11-10,4.667881965637207
2010-11-11,4.646272659301758
2010-11-12,4.7543230056762695
2010-11-15,4.79754638671875
2010-11-16,4.732714653015137
2010-11-17,4.667881965637207
2010-11-18,4.84508752822876
2010-11-19,4.836445331573486
2010-11-22,4.732714653015137
2010-11-23,4.788902282714844
2010-11-24,4.84508752822876
2010-11-26,4.853733062744141
2010-11-29,4.914242267608643
2010-11-30,4.892633438110352
2010-12-01,5.035262107849121
2010-12-02,5.177892208099365
2010-12-03,5.169248104095459
2010-12-06,5.0871262550354
2010-12-07,5.078482627868652
2010-12-08,5.147636413574219
2010-12-09,5.203825950622559
2010-12-10,5.333487033843994
2010-12-13,5.303232669830322
2010-12-14,5.5106964111328125
2010-12-15,5.519339084625244
2010-12-16,5.553915500640869
2010-12-17,5.523661136627197
2010-12-20,5.644681930541992
2010-12-21,5.7786664962768555
2010-12-22,5.843498706817627
2010-12-23,5.761375904083252
2010-12-27,5.904007911682129
2010-12-28,5.986126899719238
2010-12-29,6.046637058258057
2010-12-30,6.167656898498535
2010-12-31,6.249776363372803
2011-01-03,6.219521999359131
2011-01-04,6.193588733673096
2011-01-05,6.267064094543457
2011-01-06,6.284351348876953
2011-01-07,6.366474151611328
2011-01-10,6.292999267578125
2011-01-11,6.422663688659668
2011-01-12,6.504780292510986
2011-01-13,6.5523223876953125
2011-01-14,6.474524974822998
2011-01-18,6.4831695556640625
2011-01-19,6.4961347579956055
2011-01-20,6.478848934173584
2011-01-21,6.470202922821045
2011-01-24,6.470202922821045
2011-01-25,6.491816997528076
2011-01-26,6.592906951904297
2011-01-27,6.636857986450195
2011-01-28,6.68960428237915
2011-01-31,6.724763870239258
2011-02-01,6.830250263214111
2011-02-02,6.887387752532959
2011-02-03,6.89617919921875
2011-02-04,6.882994174957275
2011-02-07,6.865414619445801
2011-02-08,6.8434367179870605
2011-02-09,6.89617919921875
2011-02-10,6.904968738555908
2011-02-11,7.02803897857666
2011-02-14,7.146710395812988
2011-02-15,7.142312526702881
2011-02-16,7.155500888824463
2011-02-17,7.36647367477417
2011-02-18,7.471960544586182
