Date,MUSA
2013-08-19,37.828826904296875
2013-08-20,37.12775802612305
2013-08-21,36.51431655883789
2013-08-22,36.22220230102539
2013-08-23,36.27088165283203
2013-08-26,36.319557189941406
2013-08-27,35.88139343261719
2013-08-28,35.501644134521484
2013-08-29,35.637962341308594
2013-08-30,35.97877502441406
2013-09-03,36.524044036865234
2013-09-04,37.41987228393555
2013-09-05,37.37118148803711
2013-09-06,38.55911636352539
2013-09-09,38.80253982543945
2013-09-10,38.38384246826172
2013-09-11,37.85803985595703
2013-09-12,39.143341064453125
2013-09-13,39.48413848876953
2013-09-16,39.57177734375
2013-09-17,39.42571258544922
2013-09-18,39.873634338378906
2013-09-19,39.38676834106445
2013-09-20,39.62046432495117
2013-09-23,39.269935607910156
2013-09-24,39.902835845947266
2013-09-25,39.40625
2013-09-26,40.06837844848633
2013-09-27,39.93205642700195
2013-09-30,39.32834243774414
2013-10-01,39.46466827392578
2013-10-02,39.51335525512695
2013-10-03,39.43545913696289
2013-10-04,39.250450134277344
2013-10-07,38.948604583740234
2013-10-08,38.607810974121094
2013-10-09,38.90965270996094
2013-10-10,39.91258239746094
2013-10-11,40.23390579223633
2013-10-14,40.27285385131836
2013-10-15,39.756778717041016
2013-10-16,39.902835845947266
2013-10-17,39.57177734375
2013-10-18,40.18522262573242
2013-10-21,40.41890335083008
2013-10-22,40.38969802856445
2013-10-23,39.922306060791016
2013-10-24,39.74704360961914
2013-10-25,39.80546951293945
2013-10-28,39.43545913696289
2013-10-29,39.64967727661133
2013-10-30,39.46466827392578
2013-10-31,39.51335525512695
2013-11-01,40.11705780029297
2013-11-04,39.63993835449219
2013-11-05,39.980735778808594
2013-11-06,40.603919982910156
2013-11-07,41.0323486328125
2013-11-08,40.95446014404297
2013-11-11,41.178401947021484
2013-11-12,41.636051177978516
2013-11-13,41.587364196777344
2013-11-14,41.85027313232422
2013-11-15,42.4539794921875
2013-11-18,42.765560150146484
2013-11-19,42.84345626831055
2013-11-20,43.09663009643555
2013-11-21,44.17744445800781
2013-11-22,45.09273910522461
2013-11-25,43.7003288269043
2013-11-26,44.070335388183594
2013-11-27,44.829833984375
2013-11-29,44.06060028076172
2013-12-02,44.81037139892578
2013-12-03,44.62535858154297
2013-12-04,43.79771041870117
2013-12-05,44.15797424316406
2013-12-06,44.420875549316406
2013-12-09,44.38193893432617
2013-12-10,43.632164001464844
2013-12-11,42.14238739013672
2013-12-12,41.324462890625
2013-12-13,41.188140869140625
2013-12-16,41.022613525390625
2013-12-17,41.20761489868164
2013-12-18,41.149200439453125
2013-12-19,40.866825103759766
2013-12-20,41.626319885253906
2013-12-23,41.22709655761719
2013-12-24,40.808387756347656
2013-12-26,40.7791862487793
2013-12-27,40.7791862487793
2013-12-30,40.9933967590332
2013-12-31,40.467613220214844
2014-01-02,40.808387756347656
2014-01-03,40.866825103759766
2014-01-06,40.68181610107422
2014-01-07,41.451053619384766
2014-01-08,41.42183303833008
2014-01-09,42.01580047607422
2014-01-10,42.11317443847656
2014-01-13,40.68181610107422
2014-01-14,40.79865646362305
2014-01-15,40.51628112792969
2014-01-16,40.63312911987305
2014-01-17,40.27285385131836
2014-01-21,40.93498611450195
2014-01-22,40.59417724609375
2014-01-23,39.43545913696289
2014-01-24,38.773338317871094
2014-01-27,38.51042938232422
2014-01-28,38.452003479003906
2014-01-29,37.965145111083984
2014-01-30,38.0235710144043
2014-01-31,37.72172546386719
2014-02-03,36.631160736083984
2014-02-04,36.56300735473633
2014-02-05,37.546451568603516
2014-02-06,38.22804260253906
2014-02-07,38.17936325073242
2014-02-10,38.0722541809082
2014-02-11,38.42279815673828
2014-02-12,38.04304504394531
2014-02-13,38.578590393066406
2014-02-14,38.6954345703125
2014-02-18,38.48122024536133
2014-02-19,38.267005920410156
2014-02-20,38.130680084228516
2014-02-21,37.828826904296875
2014-02-24,37.78013610839844
2014-02-25,37.955421447753906
2014-02-26,38.41305923461914
2014-02-27,39.41598129272461
2014-02-28,39.49387741088867
2014-03-03,38.948604583740234
2014-03-04,39.76652908325195
2014-03-05,39.53282928466797
2014-03-06,39.64967727661133
2014-03-07,40.09759521484375
2014-03-10,40.04890441894531
2014-03-11,40.28258514404297
2014-03-12,39.94179153442383
2014-03-13,39.57177734375
2014-03-14,39.67888641357422
2014-03-17,39.980735778808594
2014-03-18,40.672080993652344
2014-03-19,40.36048126220703
2014-03-20,39.76652908325195
2014-03-21,39.82494354248047
2014-03-24,39.873634338378906
2014-03-25,39.93205642700195
2014-03-26,39.46466827392578
2014-03-27,38.91939163208008
2014-03-28,39.61072540283203
2014-03-31,39.523094177246094
2014-04-01,39.88336181640625
2014-04-02,39.97099304199219
2014-04-03,40.925235748291016
2014-04-04,39.863895416259766
2014-04-07,39.61072540283203
2014-04-08,39.63019943237305
2014-04-09,39.67888641357422
2014-04-10,39.1141357421875
2014-04-11,38.90965270996094
2014-04-14,39.269935607910156
2014-04-15,39.591251373291016
2014-04-16,39.669151306152344
2014-04-17,39.47441101074219
2014-04-21,39.51335525512695
2014-04-22,39.62046432495117
2014-04-23,40.37022399902344
2014-04-24,41.0323486328125
2014-04-25,40.45785903930664
2014-04-28,41.791847229003906
2014-04-29,41.6555290222168
2014-04-30,41.382896423339844
2014-05-01,41.12972640991211
2014-05-02,41.9087028503418
2014-05-05,43.79771041870117
2014-05-06,42.483184814453125
2014-05-07,43.76849365234375
2014-05-08,43.992435455322266
2014-05-09,45.90093231201172
2014-05-12,47.54650115966797
2014-05-13,47.449134826660156
2014-05-14,45.988548278808594
