Date,CLF
2010-01-04,40.20941162109375
2010-01-05,40.82659912109375
2010-01-06,42.23613739013672
2010-01-07,41.602264404296875
2010-01-08,44.3045654296875
2010-01-11,44.104408264160156
2010-01-12,41.90251159667969
2010-01-13,42.99510955810547
2010-01-14,43.16193389892578
2010-01-15,41.493839263916016
2010-01-19,43.00346374511719
2010-01-20,41.0184326171875
2010-01-21,37.31525421142578
2010-01-22,35.338558197021484
2010-01-25,35.77226638793945
2010-01-26,34.69634246826172
2010-01-27,34.20425796508789
2010-01-28,33.39523696899414
2010-01-29,33.32018280029297
2010-02-01,35.92240524291992
2010-02-02,37.14845275878906
2010-02-03,37.15678405761719
2010-02-04,33.55370330810547
2010-02-05,34.77140808105469
2010-02-08,33.80392837524414
2010-02-09,35.65550231933594
2010-02-10,35.96410369873047
2010-02-11,38.28582000732422
2010-02-12,38.335960388183594
2010-02-16,40.25820541381836
2010-02-17,39.61466979980469
2010-02-18,42.5398063659668
2010-02-19,44.796321868896484
2010-02-22,45.5401496887207
2010-02-23,44.06087112426758
2010-02-24,45.08884811401367
2010-02-25,46.40932846069336
2010-02-26,47.136451721191406
2010-03-01,49.37625503540039
2010-03-02,49.01689529418945
2010-03-03,47.98054885864258
2010-03-04,49.01689529418945
2010-03-05,50.688392639160156
2010-03-08,50.28722381591797
2010-03-09,49.45983123779297
2010-03-10,49.90277862548828
2010-03-11,50.40423583984375
2010-03-12,53.772315979003906
2010-03-15,52.777767181396484
2010-03-16,55.38531494140625
2010-03-17,54.68328857421875
2010-03-18,53.9561882019043
2010-03-19,53.496524810791016
2010-03-22,54.52449035644531
2010-03-23,58.26866149902344
2010-03-24,59.97359848022461
2010-03-25,57.69199752807617
2010-03-26,59.55572509765625
2010-03-29,60.88456726074219
2010-03-30,59.54736328125
2010-03-31,59.29663848876953
2010-04-01,60.4666862487793
2010-04-05,62.556068420410156
2010-04-06,61.86238479614258
2010-04-07,60.516849517822266
2010-04-08,61.22724151611328
2010-04-09,62.53936004638672
2010-04-12,61.828983306884766
2010-04-13,61.402748107910156
2010-04-14,63.040802001953125
2010-04-15,61.670166015625
2010-04-16,58.7032585144043
2010-04-19,57.424560546875
2010-04-20,58.58625030517578
2010-04-21,57.55827331542969
2010-04-22,58.176734924316406
2010-04-23,60.88456726074219
2010-04-26,61.00992202758789
2010-04-27,57.282474517822266
2010-04-28,58.678184509277344
2010-04-29,53.76396560668945
2010-04-30,52.25960159301758
2010-05-03,49.267608642578125
2010-05-04,45.590301513671875
2010-05-05,49.08374786376953
2010-05-06,46.80214309692383
2010-05-07,46.90243148803711
2010-05-10,51.1313362121582
2010-05-11,47.46238327026367
2010-05-12,48.04048538208008
2010-05-13,47.16915512084961
2010-05-14,45.225406646728516
2010-05-17,44.337318420410156
2010-05-18,42.762237548828125
2010-05-19,42.65330505371094
2010-05-20,39.670677185058594
2010-05-21,42.284671783447266
2010-05-24,42.108726501464844
2010-05-25,43.30680465698242
2010-05-26,44.62217712402344
2010-05-27,48.333717346191406
2010-05-28,46.80051040649414
2010-06-01,42.98005676269531
2010-06-02,45.535404205322266
2010-06-03,44.58866882324219
2010-06-04,41.23740005493164
2010-06-07,40.20688247680664
2010-06-08,41.983055114746094
2010-06-09,42.56114959716797
2010-06-10,45.97106170654297
2010-06-11,46.89267349243164
2010-06-14,47.018341064453125
2010-06-15,48.5347900390625
2010-06-16,48.182899475097656
2010-06-17,47.219417572021484
2010-06-18,47.10212326049805
2010-06-21,48.501277923583984
2010-06-22,46.817264556884766
2010-06-23,47.16915512084961
2010-06-24,45.191890716552734
2010-06-25,47.22779083251953
2010-06-28,45.610809326171875
2010-06-29,40.62578582763672
2010-06-30,39.511478424072266
2010-07-01,39.251766204833984
2010-07-02,39.2852783203125
2010-07-06,37.27452087402344
2010-07-07,40.575523376464844
2010-07-08,41.40496063232422
2010-07-09,42.7873649597168
2010-07-12,40.17336654663086
2010-07-13,40.96929931640625
2010-07-14,40.751461029052734
2010-07-15,40.60065841674805
2010-07-16,39.00042724609375
2010-07-19,38.975284576416016
2010-07-20,42.16738510131836
2010-07-21,42.96330261230469
2010-07-22,45.677825927734375
2010-07-23,46.834022521972656
2010-07-26,47.8729133605957
2010-07-27,46.33133316040039
2010-07-28,45.35946273803711
2010-07-29,47.07699203491211
2010-07-30,47.39535140991211
2010-08-02,50.771759033203125
2010-08-03,50.00935745239258
2010-08-04,52.31334686279297
2010-08-05,51.63471603393555
2010-08-06,50.29420852661133
2010-08-09,52.33010482788086
2010-08-10,51.29958724975586
2010-08-11,48.72160339355469
2010-08-12,49.284210205078125
2010-08-13,49.11627197265625
2010-08-16,50.77894973754883
2010-08-17,52.79431915283203
2010-08-18,53.41572952270508
2010-08-19,51.64387512207031
2010-08-20,51.45914077758789
2010-08-23,50.224727630615234
2010-08-24,48.54524612426758
2010-08-25,48.70479965209961
2010-08-26,48.21774673461914
2010-08-27,50.56902313232422
2010-08-30,49.56972885131836
2010-08-31,51.38356399536133
2010-09-01,54.54097366333008
2010-09-02,55.30514144897461
2010-09-03,56.32963180541992
2010-09-07,56.077701568603516
2010-09-08,56.52276611328125
2010-09-09,55.002838134765625
2010-09-10,55.02802658081055
2010-09-13,56.72429275512695
2010-09-14,53.05464553833008
2010-09-15,53.13861846923828
2010-09-16,53.30656051635742
2010-09-17,51.1904182434082
2010-09-20,51.90420150756836
2010-09-21,50.913307189941406
2010-09-22,52.27368927001953
2010-09-23,51.31638717651367
2010-09-24,52.550804138183594
2010-09-27,52.41645812988281
2010-09-28,52.710350036621094
