Date,ARMK
2013-12-12,14.268108367919922
2013-12-13,14.978372573852539
2013-12-16,14.896658897399902
2013-12-17,14.745808601379395
2013-12-18,15.085224151611328
2013-12-19,14.896658897399902
2013-12-20,15.034939765930176
2013-12-23,15.1920747756958
2013-12-24,15.330360412597656
2013-12-26,16.02804946899414
2013-12-27,16.329753875732422
2013-12-30,16.222898483276367
2013-12-31,16.480606079101562
2014-01-02,15.946335792541504
2014-01-03,16.059478759765625
2014-01-06,15.330360412597656
2014-01-07,15.305220603942871
2014-01-08,15.305220603942871
2014-01-09,15.500068664550781
2014-01-10,15.575493812561035
2014-01-13,15.701204299926758
2014-01-14,15.644631385803223
2014-01-15,15.606925964355469
2014-01-16,15.600643157958984
2014-01-17,15.405784606933594
2014-01-21,15.63835334777832
2014-01-22,15.657209396362305
2014-01-23,15.701204299926758
2014-01-24,15.047506332397461
2014-01-27,14.858945846557617
2014-01-28,15.368078231811523
2014-01-29,15.210928916931152
2014-01-30,15.531496047973633
2014-01-31,15.531496047973633
2014-02-03,15.594353675842285
2014-02-04,15.70749282836914
2014-02-05,16.405183792114258
2014-02-06,16.248043060302734
2014-02-07,16.09718894958496
2014-02-10,16.625171661376953
2014-02-11,16.794883728027344
2014-02-12,17.37314796447754
2014-02-13,17.647319793701172
2014-02-14,17.678829193115234
2014-02-18,17.88051414489746
2014-02-19,17.88681411743164
2014-02-20,17.836402893066406
2014-02-21,17.804882049560547
2014-02-24,17.811185836791992
2014-02-25,17.937236785888672
2014-02-26,17.975053787231445
2014-02-27,17.779672622680664
2014-02-28,17.748153686523438
2014-03-03,17.496047973632812
2014-03-04,17.937236785888672
2014-03-05,17.96244239807129
2014-03-06,17.987659454345703
2014-03-07,18.397329330444336
2014-03-10,18.630525588989258
2014-03-11,18.220855712890625
2014-03-12,18.044376373291016
2014-03-13,17.798582077026367
2014-03-14,17.256549835205078
2014-03-17,17.30067253112793
2014-03-18,17.61579704284668
2014-03-19,17.65992546081543
2014-03-20,18.195640563964844
2014-03-21,18.838512420654297
2014-03-24,18.346904754638672
2014-03-25,17.855297088623047
2014-03-26,17.56537628173828
2014-03-27,18.019168853759766
2014-03-28,17.949844360351562
2014-03-31,18.227153778076172
2014-04-01,18.082195281982422
2014-04-02,18.20194435119629
2014-04-03,18.075889587402344
2014-04-04,17.559085845947266
2014-04-07,17.357397079467773
2014-04-08,17.155715942382812
2014-04-09,17.61579704284668
2014-04-10,17.250244140625
2014-04-11,17.155715942382812
2014-04-14,17.451932907104492
2014-04-15,17.58428192138672
2014-04-16,17.577983856201172
2014-04-17,17.672527313232422
2014-04-21,17.76706314086914
2014-04-22,17.949844360351562
2014-04-23,17.89312171936035
2014-04-24,17.792274475097656
2014-04-25,17.63471221923828
2014-04-28,17.502355575561523
2014-04-29,17.62210464477539
2014-04-30,17.76706314086914
2014-05-01,17.68512725830078
2014-05-02,17.72294807434082
2014-05-05,17.754453659057617
2014-05-06,17.672527313232422
2014-05-07,17.344789505004883
2014-05-08,16.87209129333496
2014-05-09,16.99814796447754
2014-05-12,17.048566818237305
2014-05-13,17.187219619750977
2014-05-14,17.14310073852539
2014-05-15,17.045146942138672
2014-05-16,17.01985740661621
2014-05-19,16.678586959838867
2014-05-20,16.634342193603516
2014-05-21,16.684904098510742
2014-05-22,16.665937423706055
2014-05-23,16.80498504638672
2014-05-27,16.501623153686523
2014-05-28,16.956663131713867
2014-05-29,16.32465362548828
2014-05-30,16.672264099121094
2014-06-02,16.962982177734375
2014-06-03,16.830263137817383
2014-06-04,16.823944091796875
2014-06-05,16.887144088745117
2014-06-06,16.912425994873047
2014-06-09,16.937702178955078
2014-06-10,16.665937423706055
2014-06-11,16.501623153686523
2014-06-12,16.545867919921875
2014-06-13,16.44474220275879
2014-06-16,16.451065063476562
2014-06-17,16.488983154296875
2014-06-18,16.28041648864746
2014-06-19,16.305700302124023
2014-06-20,16.090818405151367
2014-06-23,16.135061264038086
2014-06-24,16.04025650024414
2014-06-25,16.052894592285156
2014-06-26,16.116098403930664
2014-06-27,16.37522315979004
2014-06-30,16.356266021728516
2014-07-01,16.463703155517578
2014-07-02,16.937702178955078
2014-07-03,16.69123077392578
2014-07-07,16.596416473388672
2014-07-08,17.032508850097656
2014-07-09,17.089384078979492
2014-07-10,16.962982177734375
2014-07-11,16.868181228637695
2014-07-14,17.2663516998291
2014-07-15,17.19682502746582
2014-07-16,17.19682502746582
2014-07-17,17.127309799194336
2014-07-18,17.0704288482666
2014-07-21,17.2094669342041
2014-07-22,17.28530502319336
2014-07-23,17.24738883972168
2014-07-24,17.297943115234375
2014-07-25,17.253705978393555
2014-07-28,17.2663516998291
2014-07-29,17.291629791259766
2014-07-30,17.278987884521484
2014-07-31,17.03882598876953
2014-08-01,17.07674789428711
2014-08-04,17.17786979675293
2014-08-05,16.748104095458984
2014-08-06,16.646982192993164
2014-08-07,16.716508865356445
2014-08-08,16.779701232910156
2014-08-11,16.792343139648438
2014-08-12,16.741785049438477
2014-08-13,16.672264099121094
2014-08-14,16.880821228027344
2014-08-15,16.79526138305664
2014-08-18,16.76991844177246
2014-08-19,16.79526138305664
2014-08-20,16.820613861083984
2014-08-21,16.7001953125
2014-08-22,16.522735595703125
2014-08-25,16.59879493713379
2014-08-26,16.5480899810791
2014-08-27,16.402318954467773
2014-08-28,16.541751861572266
2014-08-29,16.414993286132812
2014-09-02,16.478376388549805
2014-09-03,16.478376388549805
2014-09-04,16.573440551757812
2014-09-05,16.693859100341797
2014-09-08,17.042444229125977
2014-09-09,17.023420333862305
