Date,GNL
2015-06-02,9.170306205749512
2015-06-03,9.081754684448242
2015-06-04,8.916413307189941
2015-06-05,9.123088836669922
2015-06-08,8.94593620300293
2015-06-09,8.877045631408691
2015-06-10,8.808158874511719
2015-06-11,8.837678909301758
2015-06-12,8.837678909301758
2015-06-15,8.699897766113281
2015-06-16,8.699897766113281
2015-06-17,8.90656852722168
2015-06-18,9.142769813537598
2015-06-19,9.103403091430664
2015-06-22,8.973494529724121
2015-06-23,8.955778121948242
2015-06-24,9.054193496704102
2015-06-25,9.093560218811035
2015-06-26,9.083718299865723
2015-06-29,8.827838897705078
2015-06-30,8.699897766113281
2015-07-01,8.680217742919922
2015-07-02,8.621169090270996
2015-07-06,8.422009468078613
2015-07-07,8.5012788772583
2015-07-08,8.46164608001709
2015-07-09,8.18421745300293
2015-07-10,8.590453147888184
2015-07-13,8.441826820373535
2015-07-14,8.481462478637695
2015-07-15,8.511184692382812
2015-07-16,8.36256217956543
2015-07-17,8.293204307556152
2015-07-20,8.174306869506836
2015-07-21,8.075223922729492
2015-07-22,8.035591125488281
2015-07-23,8.025679588317871
2015-07-24,8.015776634216309
2015-07-27,8.11485767364502
2015-07-28,8.154489517211914
2015-07-29,8.422009468078613
2015-07-30,8.223845481872559
2015-07-31,8.085129737854004
2015-08-03,8.124761581420898
2015-08-04,8.213934898376465
2015-08-05,8.13310718536377
2015-08-06,8.113149642944336
2015-08-07,8.13310718536377
2015-08-10,8.003376960754395
2015-08-11,7.79380989074707
2015-08-12,8.073233604431152
2015-08-13,8.202963829040527
2015-08-14,8.362629890441895
2015-08-17,8.512316703796387
2015-08-18,8.662008285522461
2015-08-19,8.711905479431152
2015-08-20,8.662008285522461
2015-08-21,8.432489395141602
2015-08-24,8.063251495361328
2015-08-25,8.083209037780762
2015-08-26,8.252856254577637
2015-08-27,8.462427139282227
2015-08-28,8.751823425292969
2015-08-31,8.61211109161377
2015-09-01,8.512316703796387
2015-09-02,8.482378005981445
2015-09-03,8.792895317077637
2015-09-04,8.672307014465332
2015-09-08,8.792895317077637
2015-09-09,8.73260498046875
2015-09-10,8.903438568115234
2015-09-11,8.983826637268066
2015-09-14,9.024022102355957
2015-09-15,9.044124603271484
2015-09-16,8.843140602111816
2015-09-17,8.833091735839844
2015-09-18,8.712506294250488
2015-09-21,9.003924369812012
2015-09-22,8.933584213256836
2015-09-23,9.19485855102539
2015-09-24,9.174761772155762
2015-09-25,9.064218521118164
2015-09-28,8.923532485961914
2015-09-29,9.114465713500977
2015-09-30,9.245101928710938
2015-10-01,9.204907417297363
2015-10-02,9.184809684753418
2015-10-05,9.154664039611816
2015-10-06,9.123306274414062
2015-10-07,9.254793167114258
2015-10-08,9.244681358337402
2015-10-09,9.254793167114258
2015-10-12,9.092965126037598
2015-10-13,9.113189697265625
2015-10-14,9.15364933013916
2015-10-15,9.163768768310547
2015-10-16,9.234565734863281
2015-10-19,9.305368423461914
2015-10-20,9.305368423461914
2015-10-21,9.32559585571289
2015-10-22,9.28514289855957
2015-10-23,9.173881530761719
2015-10-26,9.28514289855957
2015-10-27,9.335711479187012
2015-10-28,9.244681358337402
2015-10-29,9.143538475036621
2015-10-30,9.28514289855957
2015-11-02,9.22445297241211
2015-11-03,9.254793167114258
2015-11-04,9.30467700958252
2015-11-05,9.30467700958252
2015-11-06,9.263956069946289
2015-11-09,8.887292861938477
2015-11-10,8.81602954864502
2015-11-11,9.151976585388184
2015-11-12,8.989092826843262
2015-11-13,9.253777503967285
2015-11-16,9.06035327911377
2015-11-17,9.111258506774902
2015-11-18,9.080717086791992
