Date,ASGN
2010-01-04,7.400000095367432
2010-01-05,7.190000057220459
2010-01-06,7.039999961853027
2010-01-07,7.400000095367432
2010-01-08,7.409999847412109
2010-01-11,7.409999847412109
2010-01-12,7.199999809265137
2010-01-13,7.179999828338623
2010-01-14,7.159999847412109
2010-01-15,7.139999866485596
2010-01-19,7.25
2010-01-20,7.0
2010-01-21,7.0
2010-01-22,6.980000019073486
2010-01-25,6.980000019073486
2010-01-26,6.900000095367432
2010-01-27,7.130000114440918
2010-01-28,6.929999828338623
2010-01-29,6.980000019073486
2010-02-01,7.010000228881836
2010-02-02,7.010000228881836
2010-02-03,6.989999771118164
2010-02-04,6.78000020980835
2010-02-05,6.650000095367432
2010-02-08,6.570000171661377
2010-02-09,6.760000228881836
2010-02-10,6.670000076293945
2010-02-11,6.840000152587891
2010-02-12,6.989999771118164
2010-02-16,7.289999961853027
2010-02-17,7.28000020980835
2010-02-18,7.170000076293945
2010-02-19,7.340000152587891
2010-02-22,6.960000038146973
2010-02-23,6.840000152587891
2010-02-24,6.869999885559082
2010-02-25,6.800000190734863
2010-02-26,6.590000152587891
2010-03-01,7.03000020980835
2010-03-02,6.949999809265137
2010-03-03,6.889999866485596
2010-03-04,6.989999771118164
2010-03-05,6.980000019073486
2010-03-08,6.989999771118164
2010-03-09,7.0
2010-03-10,7.059999942779541
2010-03-11,7.25
2010-03-12,7.349999904632568
2010-03-15,7.340000152587891
2010-03-16,7.369999885559082
2010-03-17,7.570000171661377
2010-03-18,7.659999847412109
2010-03-19,7.400000095367432
2010-03-22,7.670000076293945
2010-03-23,7.840000152587891
2010-03-24,7.739999771118164
2010-03-25,7.5
2010-03-26,7.460000038146973
2010-03-29,7.260000228881836
2010-03-30,7.300000190734863
2010-03-31,7.130000114440918
2010-04-01,7.139999866485596
2010-04-05,7.75
2010-04-06,7.559999942779541
2010-04-07,7.409999847412109
2010-04-08,7.380000114440918
2010-04-09,7.070000171661377
2010-04-12,7.050000190734863
2010-04-13,7.110000133514404
2010-04-14,7.150000095367432
2010-04-15,7.21999979019165
2010-04-16,7.179999828338623
2010-04-19,7.110000133514404
2010-04-20,7.079999923706055
2010-04-21,7.079999923706055
2010-04-22,7.320000171661377
2010-04-23,7.210000038146973
2010-04-26,7.099999904632568
2010-04-27,7.059999942779541
2010-04-28,7.150000095367432
2010-04-29,7.389999866485596
2010-04-30,7.03000020980835
2010-05-03,7.059999942779541
2010-05-04,7.0
2010-05-05,6.670000076293945
2010-05-06,6.260000228881836
2010-05-07,5.949999809265137
2010-05-10,6.239999771118164
2010-05-11,6.239999771118164
2010-05-12,6.460000038146973
2010-05-13,6.400000095367432
2010-05-14,5.989999771118164
2010-05-17,5.960000038146973
