Date,DJCO
2010-01-04,59.20000076293945
2010-01-05,61.0
2010-01-06,59.5
2010-01-07,59.5
2010-01-08,59.5
2010-01-11,60.0
2010-01-12,60.0
2010-01-13,60.5
2010-01-14,61.0
2010-01-15,65.1500015258789
2010-01-19,62.0099983215332
2010-01-20,63.0
2010-01-21,63.0
2010-01-22,64.5
2010-01-25,64.9000015258789
2010-01-26,64.5199966430664
2010-01-27,64.94999694824219
2010-01-28,64.95999908447266
2010-01-29,64.75
2010-02-01,64.0
2010-02-02,64.23999786376953
2010-02-03,64.23999786376953
2010-02-04,65.5
2010-02-05,63.849998474121094
2010-02-08,64.97000122070312
2010-02-09,64.81999969482422
2010-02-10,64.81999969482422
2010-02-11,64.0
2010-02-12,63.9900016784668
2010-02-16,64.12999725341797
2010-02-17,64.12999725341797
2010-02-18,64.12999725341797
2010-02-19,64.5
2010-02-22,65.69999694824219
2010-02-23,64.2300033569336
2010-02-24,64.5
2010-02-25,65.5
2010-02-26,65.23999786376953
2010-03-01,65.0
2010-03-02,65.0
2010-03-03,66.25
2010-03-04,68.0
2010-03-05,67.37000274658203
2010-03-08,67.0
2010-03-09,68.04000091552734
2010-03-10,69.0
2010-03-11,69.70999908447266
2010-03-12,69.70999908447266
2010-03-15,69.5999984741211
2010-03-16,69.5
2010-03-17,69.5
2010-03-18,69.5
2010-03-19,69.5
2010-03-22,69.5
2010-03-23,69.5
2010-03-24,65.9000015258789
2010-03-25,68.97000122070312
2010-03-26,68.97000122070312
2010-03-29,68.33999633789062
2010-03-30,66.55999755859375
2010-03-31,66.77999877929688
2010-04-01,66.77999877929688
2010-04-05,68.87999725341797
2010-04-06,68.87999725341797
2010-04-07,67.5
2010-04-08,67.5
2010-04-09,69.0
2010-04-12,69.0
2010-04-13,70.0
2010-04-14,70.0
2010-04-15,71.0
2010-04-16,70.0
2010-04-19,71.0
2010-04-20,71.0
2010-04-21,71.0
2010-04-22,71.12999725341797
2010-04-23,72.5
2010-04-26,72.98999786376953
2010-04-27,69.5
2010-04-28,69.9000015258789
2010-04-29,71.04000091552734
2010-04-30,71.30999755859375
2010-05-03,71.0
2010-05-04,71.26000213623047
2010-05-05,71.0
2010-05-06,71.25
2010-05-07,72.0
2010-05-10,71.0
2010-05-11,72.0
2010-05-12,71.0
2010-05-13,71.0
2010-05-14,70.0199966430664
2010-05-17,71.0
2010-05-18,71.0
2010-05-19,71.0
2010-05-20,70.0
2010-05-21,70.0999984741211
2010-05-24,70.80000305175781
2010-05-25,70.80000305175781
2010-05-26,71.30999755859375
2010-05-27,71.0
2010-05-28,71.0
2010-06-01,71.0
2010-06-02,71.0
2010-06-03,71.0
2010-06-04,71.0
2010-06-07,71.5
2010-06-08,71.0
2010-06-09,71.0
2010-06-10,71.0
2010-06-11,71.0
2010-06-14,71.0
2010-06-15,71.0
2010-06-16,71.5
2010-06-17,71.5
2010-06-18,71.5
2010-06-21,71.06999969482422
2010-06-22,71.0
2010-06-23,71.0
2010-06-24,71.0999984741211
2010-06-25,68.29000091552734
2010-06-28,70.0
2010-06-29,71.0
