Date,SXC
2011-07-21,12.189833641052246
2011-07-22,12.512507438659668
2011-07-25,12.655916213989258
2011-07-26,12.55553150177002
2011-07-27,12.240031242370605
2011-07-28,12.189833641052246
2011-07-29,12.283050537109375
2011-08-01,12.404950141906738
2011-08-02,12.046425819396973
2011-08-03,12.118131637573242
2011-08-04,11.042558670043945
2011-08-05,10.662520408630371
2011-08-08,9.056331634521484
2011-08-09,8.934432983398438
2011-08-10,8.38947582244873
2011-08-11,8.977458953857422
2011-08-12,10.031519889831543
2011-08-15,10.805931091308594
2011-08-16,10.676863670349121
2011-08-17,10.61949634552002
2011-08-18,10.24662971496582
2011-08-19,9.995665550231934
2011-08-22,10.017176628112793
2011-08-23,10.024345397949219
2011-08-24,9.923961639404297
2011-08-25,9.902451515197754
2011-08-26,9.9669828414917
2011-08-29,10.239462852478027
2011-08-30,10.031519889831543
2011-08-31,10.153414726257324
2011-09-01,10.024345397949219
2011-09-02,9.730356216430664
2011-09-06,10.16775894165039
2011-09-07,10.038689613342285
2011-09-08,9.909621238708496
2011-09-09,10.01000690460205
2011-09-12,9.859426498413086
2011-09-13,9.916788101196289
2011-09-14,9.83791446685791
2011-09-15,9.923961639404297
2011-09-16,9.974152565002441
2011-09-19,10.053030967712402
2011-09-20,9.866596221923828
2011-09-21,9.328808784484863
2011-09-22,8.86989974975586
2011-09-23,8.432499885559082
2011-09-26,8.224552154541016
2011-09-27,8.55439567565918
2011-09-28,8.55439567565918
2011-09-29,8.28908634185791
2011-09-30,7.887540340423584
2011-10-03,7.0987868309021
2011-10-04,7.263706684112549
2011-10-05,7.6294050216674805
2011-10-06,7.521846771240234
2011-10-07,6.998400688171387
2011-10-10,7.184833526611328
2011-10-11,7.356924057006836
2011-10-12,7.529016017913818
2011-10-13,8.167191505432129
2011-10-14,8.332110404968262
2011-10-17,8.181529998779297
2011-10-18,8.224552154541016
2011-10-19,7.995098114013672
2011-10-20,7.858861446380615
2011-10-21,8.38947582244873
2011-10-24,8.42532730102539
2011-10-25,8.188701629638672
2011-10-26,8.353622436523438
2011-10-27,9.149548530578613
2011-10-28,9.292956352233887
2011-10-31,9.049161911010742
2011-11-01,8.454007148742676
2011-11-02,8.661954879760742
2011-11-03,8.604588508605957
2011-11-04,8.626100540161133
2011-11-07,8.454007148742676
2011-11-08,8.733659744262695
2011-11-09,7.94490385055542
2011-11-10,7.973586559295654
2011-11-11,8.33928108215332
2011-11-14,7.887540340423584
2011-11-15,7.830178260803223
2011-11-16,7.493163108825684
2011-11-17,7.586380481719971
2011-11-18,7.543357849121094
2011-11-21,7.572041034698486
2011-11-22,8.016608238220215
2011-11-23,7.880371570587158
2011-11-25,7.579207420349121
2011-11-28,8.274746894836426
2011-11-29,8.188701629638672
2011-11-30,8.274746894836426
2011-12-01,7.851688861846924
2011-12-02,7.686767101287842
2011-12-05,7.665255069732666
2011-12-06,7.593551158905029
2011-12-07,7.851688861846924
2011-12-08,7.880371570587158
2011-12-09,7.744132041931152
2011-12-12,7.7728118896484375
2011-12-13,7.607891082763672
2011-12-14,7.901879787445068
2011-12-15,8.016608238220215
2011-12-16,8.238895416259766
2011-12-19,8.052462577819824
2011-12-20,8.367963790893555
2011-12-21,8.210211753845215
2011-12-22,8.310598373413086
2011-12-23,8.2532377243042
2011-12-27,8.260406494140625
2011-12-28,8.109825134277344
2011-12-29,8.016608238220215
2011-12-30,8.030951499938965
2012-01-03,8.224552154541016
2012-01-04,8.332110404968262
2012-01-05,8.403817176818848
2012-01-06,8.38947582244873
2012-01-09,8.410987854003906
2012-01-10,8.2532377243042
2012-01-11,8.066802978515625
2012-01-12,8.669123649597168
2012-01-13,9.056331634521484
2012-01-17,9.608460426330566
2012-01-18,9.221251487731934
2012-01-19,9.171058654785156
2012-01-20,9.536755561828613
2012-01-23,9.923961639404297
2012-01-24,9.737527847290039
2012-01-25,9.87376880645752
2012-01-26,9.687336921691895
2012-01-27,9.902451515197754
2012-01-30,9.62279987335205
2012-01-31,9.629969596862793
2012-02-01,10.174927711486816
2012-02-02,10.289655685424805
2012-02-03,10.777247428894043
2012-02-06,10.856127738952637
2012-02-07,11.178794860839844
2012-02-08,11.221820831298828
2012-02-09,10.942172050476074
2012-02-10,10.827444076538086
2012-02-13,10.66969108581543
2012-02-14,10.569302558898926
2012-02-15,10.239462852478027
2012-02-16,10.51193904876709
2012-02-17,10.36136245727539
2012-02-21,10.282486915588379
2012-02-22,10.017176628112793
2012-02-23,10.318337440490723
2012-02-24,10.34702205657959
2012-02-27,10.34702205657959
2012-02-28,10.461749076843262
2012-02-29,10.275313377380371
2012-03-01,10.53345012664795
2012-03-02,10.160588264465332
2012-03-05,9.931132316589355
2012-03-06,9.565438270568848
2012-03-07,9.902451515197754
2012-03-08,9.959814071655273
2012-03-09,10.24662971496582
2012-03-12,10.289655685424805
2012-03-13,10.425895690917969
2012-03-14,10.325509071350098
2012-03-15,10.024345397949219
2012-03-16,9.952642440795898
2012-03-19,10.433066368103027
2012-03-20,10.325509071350098
2012-03-21,10.282486915588379
2012-03-22,10.045858383178711
2012-03-23,10.117565155029297
2012-03-26,10.268142700195312
2012-03-27,10.210780143737793
2012-03-28,9.9669828414917
2012-03-29,10.225119590759277
2012-03-30,10.189269065856934
2012-04-02,10.397212982177734
2012-04-03,10.325509071350098
2012-04-04,10.038689613342285
2012-04-05,10.433066368103027
2012-04-09,10.275313377380371
2012-04-10,10.038689613342285
2012-04-11,10.096052169799805
2012-04-12,10.447405815124512
2012-04-13,10.225119590759277
2012-04-16,10.325509071350098
