Date,CNS
2010-01-04,10.389636039733887
2010-01-05,10.310359954833984
2010-01-06,10.51735782623291
2010-01-07,10.570210456848145
2010-01-08,10.266317367553711
2010-01-11,10.314764976501465
2010-01-12,10.217869758605957
2010-01-13,9.988847732543945
2010-01-14,9.790656089782715
2010-01-15,9.632102012634277
2010-01-19,9.702571868896484
2010-01-20,9.451530456542969
2010-01-21,9.099189758300781
2010-01-22,8.834931373596191
2010-01-25,8.993488311767578
2010-01-26,8.856954574584961
2010-01-27,9.103593826293945
2010-01-28,9.01991081237793
2010-01-29,8.958251953125
2010-02-01,9.24012565612793
2010-02-02,9.39867877960205
2010-02-03,9.337017059326172
2010-02-04,8.742447853088379
2010-02-05,8.738038063049316
2010-02-08,8.583890914916992
2010-02-09,8.698399543762207
2010-02-10,8.702808380126953
2010-02-11,8.773275375366211
2010-02-12,8.971467971801758
2010-02-16,9.314998626708984
2010-02-17,9.41629695892334
2010-02-18,9.521997451782227
2010-02-19,9.504380226135254
2010-02-22,9.570443153381348
2010-02-23,9.592464447021484
2010-02-24,9.72899341583252
2010-02-25,9.706976890563965
2010-02-26,9.583662033081055
2010-03-01,9.887548446655273
2010-03-02,10.015274047851562
2010-03-03,10.024084091186523
2010-03-04,10.147403717041016
2010-03-05,10.191442489624023
2010-03-08,10.323573112487793
2010-03-09,10.34118938446045
2010-03-10,10.222274780273438
2010-03-11,10.288336753845215
2010-03-12,10.407245635986328
2010-03-15,10.297144889831543
2010-03-16,10.310359954833984
2010-03-17,10.579014778137207
2010-03-18,10.570210456848145
2010-03-19,10.530569076538086
2010-03-22,10.680314064025879
2010-03-23,10.852083206176758
2010-03-24,10.900529861450195
2010-03-25,11.010631561279297
2010-03-26,10.909340858459473
2010-03-29,11.041996955871582
2010-03-30,11.046420097351074
2010-03-31,11.037580490112305
2010-04-01,11.267528533935547
2010-04-05,11.59034252166748
2010-04-06,11.625720977783203
2010-04-07,12.014863967895508
2010-04-08,11.899889945983887
2010-04-09,12.05466365814209
2010-04-12,12.072351455688477
2010-04-13,12.315567970275879
2010-04-14,12.647224426269531
2010-04-15,12.83295726776123
2010-04-16,12.695867538452148
2010-04-19,12.311149597167969
2010-04-20,12.381900787353516
2010-04-21,12.377476692199707
2010-04-22,12.165218353271484
2010-04-23,12.262503623962402
2010-04-26,11.895464897155762
2010-04-27,11.723003387451172
2010-04-28,11.70089340209961
2010-04-29,12.377476692199707
2010-04-30,11.97064208984375
2010-05-03,12.160791397094727
2010-05-04,11.820289611816406
2010-05-05,11.64783000946045
2010-05-06,11.103911399841309
2010-05-07,10.913763999938965
2010-05-10,11.546121597290039
2010-05-11,11.466525077819824
2010-05-12,11.51516342163086
2010-05-13,11.488636016845703
2010-05-14,11.35596752166748
2010-05-17,11.378079414367676
2010-05-18,11.254264831542969
2010-05-19,11.0508451461792
2010-05-20,10.590947151184082
2010-05-21,10.67496395111084
2010-05-24,10.378686904907227
2010-05-25,10.122201919555664
2010-05-26,10.246023178100586
2010-05-27,10.975667953491211
