Date,OEC
2014-07-25,13.844708442687988
2014-07-28,13.649711608886719
2014-07-29,13.649711608886719
2014-07-30,13.610715866088867
2014-07-31,13.259722709655762
2014-08-01,12.869730949401855
2014-08-04,12.70593547821045
2014-08-05,12.70593547821045
2014-08-06,12.510939598083496
2014-08-07,12.534337043762207
2014-08-08,13.259722709655762
2014-08-11,13.52491283416748
2014-08-12,13.688711166381836
2014-08-13,13.649711608886719
2014-08-14,13.454719543457031
2014-08-15,13.579516410827637
2014-08-18,13.493715286254883
2014-08-19,13.407918930053711
2014-08-20,13.415719032287598
2014-08-21,13.493715286254883
2014-08-22,13.610715866088867
2014-08-25,13.431316375732422
2014-08-26,13.27531909942627
2014-08-27,13.236321449279785
2014-08-28,13.236321449279785
2014-08-29,13.314318656921387
2014-09-02,13.329923629760742
2014-09-03,13.35331916809082
2014-09-04,13.462514877319336
2014-09-05,14.125503540039062
2014-09-08,14.19570255279541
2014-09-09,14.141103744506836
2014-09-10,14.102104187011719
2014-09-11,14.039706230163574
2014-09-12,14.03190803527832
2014-09-15,14.024103164672852
2014-09-16,14.13330078125
2014-09-17,14.2503023147583
2014-09-18,14.18010425567627
2014-09-19,14.024103164672852
2014-09-22,14.016302108764648
2014-09-23,14.000710487365723
2014-09-24,14.086503028869629
2014-09-25,14.000710487365723
2014-09-26,14.03190803527832
2014-09-29,13.813507080078125
2014-09-30,13.743311882019043
2014-10-01,13.52491283416748
2014-10-02,13.36112117767334
2014-10-03,13.244119644165039
2014-10-06,12.8931303024292
2014-10-07,12.73713493347168
2014-10-08,12.354940414428711
2014-10-09,11.894752502441406
2014-10-10,11.247364044189453
2014-10-13,10.826172828674316
2014-10-14,10.256784439086914
2014-10-15,10.521979331970215
2014-10-16,10.724776268005371
2014-10-17,11.114765167236328
2014-10-20,12.152143478393555
2014-10-21,12.456338882446289
2014-10-22,12.503137588500977
2014-10-23,12.51873779296875
2014-10-24,12.581135749816895
2014-10-27,12.323742866516113
2014-10-28,12.261341094970703
2014-10-29,11.855751037597656
2014-10-30,11.879152297973633
