Date,BMRC
2010-01-04,11.051302909851074
2010-01-05,10.954062461853027
2010-01-06,10.860180854797363
2010-01-07,10.816594123840332
2010-01-08,11.001006126403809
2010-01-11,11.101597785949707
2010-01-12,10.799829483032227
2010-01-13,10.813241958618164
2010-01-14,10.76965618133545
2010-01-15,10.85012435913086
2010-01-19,11.054654121398926
2010-01-20,10.742830276489258
2010-01-21,10.662359237670898
2010-01-22,10.695887565612793
2010-01-25,10.685827255249023
2010-01-26,10.602005958557129
2010-01-27,10.66906452178955
2010-01-28,10.699243545532227
2010-01-29,10.659004211425781
2010-02-01,10.702590942382812
2010-02-02,10.577949523925781
2010-02-03,10.305081367492676
2010-02-04,10.062528610229492
2010-02-05,10.143379211425781
2010-02-08,9.968201637268066
2010-02-09,10.102952003479004
2010-02-10,9.921039581298828
2010-02-11,10.33876895904541
2010-02-12,10.466778755187988
2010-02-16,10.389299392700195
2010-02-17,10.193909645080566
2010-02-18,10.271392822265625
2010-02-19,10.352241516113281
2010-02-22,10.557738304138184
2010-02-23,10.85081672668457
2010-02-24,10.759861946105957
2010-02-25,10.709330558776855
2010-02-26,10.786812782287598
2010-03-01,10.847453117370605
2010-03-02,10.712697982788086
2010-03-03,10.689119338989258
2010-03-04,10.611635208129883
2010-03-05,10.840714454650879
2010-03-08,10.719436645507812
2010-03-09,10.894614219665527
2010-03-10,11.167481422424316
2010-03-11,11.147272109985352
2010-03-12,11.113585472106934
2010-03-15,11.164114952087402
2010-03-16,10.941777229309082
2010-03-17,11.005780220031738
2010-03-18,10.948514938354492
2010-03-19,10.96535873413086
2010-03-22,11.063051223754883
2010-03-23,11.164114952087402
2010-03-24,11.18095874786377
2010-03-25,11.154010772705078
2010-03-26,11.167481422424316
2010-03-29,11.137166023254395
2010-03-30,11.319080352783203
2010-03-31,11.143903732299805
2010-04-01,11.150638580322266
2010-04-05,11.17758846282959
2010-04-06,11.251703262329102
2010-04-07,10.867664337158203
2010-04-08,10.96535873413086
2010-04-09,10.719436645507812
2010-04-12,10.877768516540527
2010-04-13,11.056315422058105
2010-04-14,11.251703262329102
2010-04-15,11.100107192993164
2010-04-16,11.120322227478027
2010-04-19,11.359508514404297
2010-04-20,11.453827857971191
2010-04-21,11.416776657104492
2010-04-22,11.524572372436523
2010-04-23,11.433615684509277
2010-04-26,11.410032272338867
2010-04-27,11.255074501037598
2010-04-28,11.383090019226074
2010-04-29,11.778987884521484
2010-04-30,11.34247875213623
