Date,SHBI
2010-01-04,10.756494522094727
2010-01-05,10.349889755249023
2010-01-06,10.16507339477539
2010-01-07,10.1946439743042
2010-01-08,10.135499000549316
2010-01-11,10.024608612060547
2010-01-12,9.958073616027832
2010-01-13,9.965466499328613
2010-01-14,9.861968040466309
2010-01-15,9.647579193115234
2010-01-19,10.091141700744629
2010-01-20,10.046788215637207
2010-01-21,9.972861289978027
2010-01-22,10.091141700744629
2010-01-25,10.017216682434082
2010-01-26,9.847182273864746
2010-01-27,10.017216682434082
2010-01-28,9.743681907653809
2010-01-29,9.832396507263184
2010-02-01,9.788043022155762
2010-02-02,9.802826881408691
2010-02-03,8.908299446105957
2010-02-04,8.242948532104492
2010-02-05,8.124665260314941
2010-02-08,8.361233711242676
2010-02-09,8.383411407470703
2010-02-10,8.487462997436523
2010-02-11,8.591512680053711
2010-02-12,8.84420108795166
2010-02-16,9.059734344482422
2010-02-17,8.89622688293457
2010-02-18,8.873929023742676
2010-02-19,8.836771011352539
2010-02-22,9.074596405029297
2010-02-23,8.89622688293457
2010-02-24,8.784744262695312
2010-02-25,8.762449264526367
2010-02-26,8.413141250610352
2010-03-01,8.695558547973633
2010-03-02,8.955683708190918
2010-03-03,9.401611328125
2010-03-04,9.632003784179688
2010-03-05,9.832672119140625
2010-03-08,9.877264976501465
2010-03-09,10.025906562805176
2010-03-10,10.248872756958008
2010-03-11,10.115095138549805
2010-03-12,9.921856880187988
2010-03-15,9.535385131835938
2010-03-16,9.661733627319336
2010-03-17,9.743488311767578
2010-03-18,9.67660140991211
2010-03-19,10.338052749633789
2010-03-22,10.479263305664062
2010-03-23,10.82114315032959
2010-03-24,10.538723945617676
2010-03-25,10.31575870513916
2010-03-26,9.892129898071289
2010-03-29,10.033339500427246
2010-03-30,10.204277038574219
2010-03-31,10.590746879577637
2010-04-01,10.115095138549805
2010-04-05,10.553584098815918
2010-04-06,10.44953727722168
2010-04-07,10.598176956176758
2010-04-08,10.66506576538086
2010-04-09,10.627904891967773
2010-04-12,10.590746879577637
2010-04-13,10.694795608520508
2010-04-14,10.917760848999023
2010-04-15,10.940055847167969
2010-04-16,10.850870132446289
2010-04-19,10.776546478271484
2010-04-20,10.895462989807129
2010-04-21,10.813708305358887
2010-04-22,10.888030052185059
2010-04-23,10.947484016418457
2010-04-26,10.969781875610352
2010-04-27,10.568448066711426
2010-04-28,10.516423225402832
2010-04-29,10.776546478271484
2010-04-30,10.471833229064941
2010-05-03,10.12995433807373
2010-05-04,9.57254695892334
2010-05-05,9.475929260253906
2010-05-06,9.43876838684082
2010-05-07,9.513092994689941
2010-05-10,9.669167518615723
2010-05-11,9.795514106750488
2010-05-12,10.382645606994629
2010-05-13,10.285612106323242
2010-05-14,10.08407974243164
2010-05-17,10.121399879455566
2010-05-18,9.897477149963379
2010-05-19,9.66608715057373
2010-05-20,9.554125785827637
2010-05-21,9.546658515930176
2010-05-24,9.479482650756836
2010-05-25,9.248095512390137
2010-05-26,9.330201148986816
2010-05-27,9.763118743896484
2010-05-28,9.561589241027832
2010-06-01,9.479482650756836
2010-06-02,10.009441375732422
2010-06-03,9.957191467285156
2010-06-04,9.479482650756836
2010-06-07,9.41230583190918
2010-06-08,9.360058784484863
2010-06-09,9.472020149230957
2010-06-10,9.621302604675293
2010-06-11,9.748196601867676
2010-06-14,9.576515197753906
2010-06-15,9.852693557739258
2010-06-16,9.919872283935547
2010-06-17,10.024368286132812
2010-06-18,10.18111515045166
2010-06-21,10.03929328918457
2010-06-22,10.03929328918457
2010-06-23,10.14379596710205
2010-06-24,9.681013107299805
2010-06-25,9.151063919067383
2010-06-28,9.001779556274414
2010-06-29,8.897276878356934
2010-06-30,8.889817237854004
2010-07-01,8.770389556884766
2010-07-02,8.777854919433594
2010-07-06,8.837568283081055
2010-07-07,8.382253646850586
2010-07-08,8.47928524017334
2010-07-09,8.509142875671387
2010-07-12,8.330004692077637
2010-07-13,8.867423057556152
2010-07-14,8.919672966003418
2010-07-15,8.606176376342773
2010-07-16,8.419572830200195
2010-07-19,8.464359283447266
2010-07-20,8.404644966125488
2010-07-21,8.25536060333252
2010-07-22,8.374788284301758
2010-07-23,8.270289421081543
2010-07-26,8.404644966125488
2010-07-27,8.180720329284668
2010-07-28,8.210575103759766
2010-07-29,8.210575103759766
2010-07-30,8.225505828857422
2010-08-02,8.232967376708984
2010-08-03,8.330004692077637
2010-08-04,8.5389986038208
2010-08-05,8.344934463500977
2010-08-06,8.546464920043945
2010-08-09,8.598714828491211
2010-08-10,8.44196605682373
2010-08-11,8.232967376708984
2010-08-12,7.932767868041992
2010-08-13,7.970296859741211
2010-08-16,7.857720375061035
2010-08-17,7.917759895324707
2010-08-18,7.910253524780273
2010-08-19,7.6776018142700195
2010-08-20,7.82019567489624
2010-08-23,7.662588596343994
2010-08-24,7.339878082275391
2010-08-25,7.294844150543213
2010-08-26,7.047182083129883
2010-08-27,7.054686546325684
2010-08-30,7.047182083129883
2010-08-31,7.249814510345459
2010-09-01,7.797680377960205
2010-09-02,7.512491703033447
2010-09-03,7.437438011169434
2010-09-07,7.204782485961914
2010-09-08,7.227302074432373
2010-09-09,7.129735946655273
2010-09-10,7.204782485961914
2010-09-13,7.242311477661133
2010-09-14,7.114724636077881
2010-09-15,7.204782485961914
2010-09-16,7.204782485961914
2010-09-17,7.294844150543213
2010-09-20,7.279837608337402
2010-09-21,7.242311477661133
2010-09-22,7.084704399108887
2010-09-23,7.077202796936035
2010-09-24,7.264824390411377
2010-09-27,7.054686546325684
2010-09-28,7.054686546325684
