Date,ZION
2010-01-04,9.971841812133789
2010-01-05,10.323440551757812
2010-01-06,11.221125602722168
2010-01-07,12.477890968322754
2010-01-08,12.275912284851074
2010-01-11,12.35071849822998
2010-01-12,12.006608009338379
2010-01-13,12.231029510498047
2010-01-14,12.500330924987793
2010-01-15,12.163702011108398
2010-01-19,12.799562454223633
2010-01-20,13.405508041381836
2010-01-21,13.734663009643555
2010-01-22,13.211006164550781
2010-01-25,13.405508041381836
2010-01-26,14.273270606994629
2010-01-27,14.168542861938477
2010-01-28,14.4677734375
2010-01-29,14.190980911254883
2010-02-01,14.90165901184082
2010-02-02,14.894174575805664
2010-02-03,13.929158210754395
2010-02-04,13.083834648132324
2010-02-05,13.465353012084961
2010-02-08,13.465353012084961
2010-02-09,13.630017280578613
2010-02-10,13.862049102783203
2010-02-11,13.600079536437988
2010-02-12,13.360566139221191
2010-02-16,13.667447090148926
2010-02-17,13.51026439666748
2010-02-18,13.263256072998047
2010-02-19,13.802172660827637
2010-02-22,14.124027252197266
2010-02-23,13.60757064819336
2010-02-24,13.974327087402344
2010-02-25,13.802172660827637
2010-02-26,13.877023696899414
2010-03-01,13.6973876953125
2010-03-02,13.951871871948242
2010-03-03,13.772237777709961
2010-03-04,13.53271484375
2010-03-05,14.026724815368652
2010-03-08,14.168932914733887
2010-03-09,14.415934562683105
2010-03-10,15.336577415466309
2010-03-11,16.0401611328125
2010-03-12,15.71082592010498
2010-03-15,15.89794921875
2010-03-16,16.6314697265625
2010-03-17,17.35750389099121
2010-03-18,17.01320457458496
2010-03-19,16.54913330078125
2010-03-22,16.92337989807129
2010-03-23,17.0805606842041
2010-03-24,17.260202407836914
2010-03-25,16.94584083557129
2010-03-26,16.638961791992188
2010-03-29,16.279682159423828
2010-03-30,16.21231460571289
2010-03-31,16.347047805786133
2010-04-01,16.376981735229492
2010-04-05,17.37247085571289
2010-04-06,18.16588020324707
2010-04-07,17.77666473388672
2010-04-08,17.9338436126709
2010-04-09,17.91139030456543
2010-04-12,18.63742446899414
2010-04-13,18.390424728393555
2010-04-14,19.730226516723633
2010-04-15,19.5655517578125
2010-04-16,19.108976364135742
2010-04-19,19.034122467041016
