Date,RPRX
2020-06-16,39.57372283935547
2020-06-17,43.22873306274414
2020-06-18,45.26522445678711
2020-06-19,43.575557708740234
2020-06-22,45.6120491027832
2020-06-23,45.3096923828125
2020-06-24,44.68717575073242
2020-06-25,46.341278076171875
2020-06-26,44.10023880004883
2020-06-29,43.33545684814453
2020-06-30,43.17538070678711
2020-07-01,41.32563400268555
2020-07-02,40.66754913330078
2020-07-06,41.0054931640625
2020-07-07,41.8414306640625
2020-07-08,42.704044342041016
2020-07-09,43.00640869140625
2020-07-10,42.36612319946289
2020-07-13,39.182430267333984
2020-07-14,38.702205657958984
2020-07-15,38.23978042602539
2020-07-16,37.5283317565918
2020-07-17,39.29804229736328
2020-07-20,40.792057037353516
2020-07-21,38.30202865600586
2020-07-22,38.30202865600586
2020-07-23,38.14194869995117
2020-07-24,37.270442962646484
2020-07-27,38.435428619384766
2020-07-28,37.28822708129883
2020-07-29,38.284236907958984
2020-07-30,38.04412078857422
2020-07-31,38.284236907958984
2020-08-03,39.23578643798828
2020-08-04,38.41763687133789
2020-08-05,37.28822708129883
2020-08-06,39.0401496887207
2020-08-07,38.91564178466797
2020-08-10,40.69423294067383
2020-08-11,40.70313262939453
2020-08-12,40.00946807861328
2020-08-13,40.44523239135742
2020-08-14,40.38298416137695
2020-08-17,40.86320495605469
2020-08-18,39.68043518066406
2020-08-19,39.0401496887207
2020-08-20,38.47100067138672
2020-08-21,37.32380676269531
2020-08-24,37.99966812133789
2020-08-25,37.15483856201172
2020-08-26,37.297115325927734
2020-08-27,36.461177825927734
2020-08-28,37.41273498535156
2020-08-31,36.79911804199219
2020-09-01,36.9947509765625
2020-09-02,37.12815475463867
2020-09-03,36.22996520996094
2020-09-04,35.3762321472168
2020-09-08,34.71815872192383
2020-09-09,34.54030227661133
2020-09-10,35.07387161254883
2020-09-11,34.291297912597656
2020-09-14,35.550113677978516
2020-09-15,36.3402099609375
2020-09-16,36.25539016723633
2020-09-17,36.853538513183594
2020-09-18,37.478485107421875
2020-09-21,36.237545013427734
2020-09-22,37.24636459350586
2020-09-23,37.299930572509766
2020-09-24,35.916133880615234
2020-09-25,35.773292541503906
2020-09-28,36.79104995727539
2020-09-29,37.505271911621094
2020-09-30,37.558837890625
2020-10-01,38.023067474365234
2020-10-02,37.91594314575195
2020-10-05,38.74622344970703
2020-10-06,39.10332489013672
2020-10-07,39.80860900878906
2020-10-08,39.371158599853516
2020-10-09,39.353309631347656
2020-10-12,39.64792251586914
2020-10-13,40.00502395629883
2020-10-14,38.20163345336914
2020-10-15,37.92487335205078
2020-10-16,37.32670974731445
2020-10-19,35.95185089111328
2020-10-20,35.79114532470703
2020-10-21,34.81802749633789
2020-10-22,35.00551223754883
2020-10-23,34.826961517333984
2020-10-26,34.61270523071289
