Date,PK
2017-01-04,14.931087493896484
2017-01-05,14.182043075561523
2017-01-06,14.416743278503418
2017-01-09,14.646450996398926
2017-01-10,14.591520309448242
2017-01-11,14.826221466064453
2017-01-12,14.571544647216797
2017-01-13,14.526602745056152
2017-01-17,14.554220199584961
2017-01-18,14.46584701538086
2017-01-19,14.366421699523926
2017-01-20,14.388514518737793
2017-01-23,14.360901832580566
2017-01-24,14.819342613220215
2017-01-25,15.040275573730469
2017-01-26,15.205986976623535
2017-01-27,15.338544845581055
2017-01-30,14.946380615234375
2017-01-31,14.990569114685059
2017-02-01,14.62602424621582
2017-02-02,14.63154411315918
2017-02-03,14.896671295166016
2017-02-06,14.692305564880371
2017-02-07,14.758584022521973
2017-02-08,14.97951889038086
2017-02-09,15.205986976623535
2017-02-10,15.10103702545166
2017-02-13,15.277788162231445
2017-02-14,15.217028617858887
2017-02-15,15.30540943145752
2017-02-16,15.316450119018555
2017-02-17,14.924291610717773
2017-02-21,14.846960067749023
2017-02-22,14.764108657836914
2017-02-23,14.482413291931152
2017-02-24,14.31671142578125
2017-02-27,14.360901832580566
2017-02-28,14.106823921203613
2017-03-01,14.377470016479492
2017-03-02,14.802773475646973
2017-03-03,14.918761253356934
2017-03-06,14.968476295471191
2017-03-07,14.565264701843262
2017-03-08,14.504508018493652
2017-03-09,14.3719482421875
2017-03-10,14.360901832580566
2017-03-13,14.222810745239258
2017-03-14,14.239383697509766
2017-03-15,14.614975929260254
2017-03-16,14.68678092956543
2017-03-17,14.708874702453613
2017-03-20,14.609453201293945
2017-03-21,14.460314750671387
2017-03-22,14.45479679107666
2017-03-23,14.498984336853027
2017-03-24,14.482413291931152
2017-03-27,14.45479679107666
2017-03-28,14.438225746154785
2017-03-29,14.421382904052734
2017-03-30,14.438225746154785
2017-03-31,14.415764808654785
2017-04-03,14.477537155151367
2017-04-04,14.674092292785645
2017-04-05,14.505617141723633
2017-04-06,14.763943672180176
2017-04-07,14.84256362915039
2017-04-10,14.814484596252441
2017-04-11,14.848184585571289
2017-04-12,14.808870315551758
2017-04-13,14.719017028808594
2017-04-17,14.780790328979492
2017-04-18,14.820100784301758
2017-04-19,14.982956886291504
2017-04-20,14.881875038146973
2017-04-21,14.84256362915039
2017-04-24,14.932418823242188
2017-04-25,14.943650245666504
2017-04-26,15.044736862182617
2017-04-27,15.044736862182617
2017-04-28,14.415764808654785
2017-05-01,14.460687637329102
2017-05-02,14.719017028808594
2017-05-03,14.674092292785645
2017-05-04,14.623550415039062
2017-05-05,14.696556091308594
2017-05-08,14.219209671020508
2017-05-09,14.410147666931152
2017-05-10,14.382072448730469
2017-05-11,14.23044204711914
2017-05-12,13.99458122253418
2017-05-15,14.25852108001709
2017-05-16,14.471921920776367
2017-05-17,14.12374210357666
2017-05-18,14.286598205566406
2017-05-19,14.241670608520508
2017-05-22,14.320300102233887
2017-05-23,14.426997184753418
2017-05-24,14.471921920776367
2017-05-25,14.303447723388672
2017-05-26,14.387687683105469
2017-05-30,14.320300102233887
2017-05-31,14.45507526397705
2017-06-01,14.640397071838379
2017-06-02,15.32552433013916
2017-06-05,15.297442436218262
2017-06-06,15.190742492675781
2017-06-07,15.151436805725098
2017-06-08,15.067194938659668
2017-06-09,15.32552433013916
2017-06-12,15.578234672546387
2017-06-13,15.634391784667969
2017-06-14,15.645624160766602
2017-06-15,15.59508228302002
2017-06-16,15.611928939819336
2017-06-19,15.611928939819336
2017-06-20,15.499612808227539
2017-06-21,15.477150917053223
2017-06-22,15.331136703491211
2017-06-23,15.437836647033691
2017-06-26,15.381678581237793
2017-06-27,15.353607177734375
2017-06-28,15.507650375366211
2017-06-29,15.393543243408203
2017-06-30,15.38212776184082
2017-07-03,15.718758583068848
2017-07-05,15.416364669799805
2017-07-06,15.250903129577637
2017-07-07,15.319371223449707
2017-07-10,15.313661575317383
2017-07-11,15.410659790039062
2017-07-12,15.404953956604004
2017-07-13,15.250903129577637
2017-07-14,15.330780982971191
