Date,DNTH
2018-06-21,232.32000732421875
2018-06-22,232.0
2018-06-25,228.0
2018-06-26,228.0
2018-06-27,224.63999938964844
2018-06-28,218.8800048828125
2018-06-29,216.0
2018-07-02,217.44000244140625
2018-07-03,207.67999267578125
2018-07-05,208.16000366210938
2018-07-06,207.67999267578125
2018-07-09,205.60000610351562
2018-07-10,200.63999938964844
2018-07-11,196.0
2018-07-12,193.27999877929688
2018-07-13,213.75999450683594
2018-07-16,208.16000366210938
2018-07-17,221.27999877929688
2018-07-18,224.16000366210938
2018-07-19,226.55999755859375
2018-07-20,240.0
2018-07-23,225.75999450683594
2018-07-24,226.55999755859375
2018-07-25,223.52000427246094
2018-07-26,219.36000061035156
2018-07-27,222.8800048828125
2018-07-30,221.60000610351562
2018-07-31,220.0
2018-08-01,209.1199951171875
2018-08-02,212.8000030517578
2018-08-03,211.0399932861328
2018-08-06,204.47999572753906
2018-08-07,205.27999877929688
2018-08-08,211.67999267578125
2018-08-09,214.24000549316406
2018-08-10,208.0
2018-08-13,206.24000549316406
2018-08-14,202.72000122070312
2018-08-15,206.24000549316406
2018-08-16,203.0399932861328
2018-08-17,221.1199951171875
2018-08-20,211.52000427246094
2018-08-21,221.9199981689453
2018-08-22,228.0
2018-08-23,227.1999969482422
2018-08-24,227.0399932861328
2018-08-27,226.24000549316406
2018-08-28,231.52000427246094
2018-08-29,231.1999969482422
2018-08-30,251.1999969482422
2018-08-31,233.60000610351562
2018-09-04,229.27999877929688
2018-09-05,212.8000030517578
2018-09-06,209.75999450683594
2018-09-07,201.75999450683594
2018-09-10,202.39999389648438
2018-09-11,198.72000122070312
2018-09-12,194.24000549316406
2018-09-13,192.0
2018-09-14,193.1199951171875
2018-09-17,189.1199951171875
2018-09-18,189.9199981689453
2018-09-19,185.60000610351562
2018-09-20,185.9199981689453
2018-09-21,181.1199951171875
2018-09-24,191.83999633789062
2018-09-25,186.72000122070312
2018-09-26,192.0
2018-09-27,195.36000061035156
2018-09-28,192.16000366210938
2018-10-01,186.39999389648438
2018-10-02,179.67999267578125
2018-10-03,177.44000244140625
2018-10-04,177.44000244140625
2018-10-05,176.8000030517578
2018-10-08,165.9199981689453
2018-10-09,167.1999969482422
2018-10-10,152.63999938964844
2018-10-11,144.9600067138672
2018-10-12,159.67999267578125
2018-10-15,153.1199951171875
2018-10-16,158.0800018310547
2018-10-17,159.52000427246094
2018-10-18,157.9199981689453
2018-10-19,161.1199951171875
2018-10-22,158.72000122070312
2018-10-23,148.8000030517578
2018-10-24,147.67999267578125
2018-10-25,147.1999969482422
2018-10-26,146.72000122070312
2018-10-29,146.39999389648438
2018-10-30,145.60000610351562
2018-10-31,140.32000732421875
2018-11-01,132.16000366210938
2018-11-02,136.0
2018-11-05,144.9600067138672
2018-11-06,146.55999755859375
2018-11-07,145.9199981689453
2018-11-08,140.9600067138672
2018-11-09,139.0399932861328
2018-11-12,126.08000183105469
2018-11-13,109.91999816894531
2018-11-14,106.55999755859375
2018-11-15,114.72000122070312
2018-11-16,124.31999969482422
2018-11-19,122.4000015258789
2018-11-20,122.08000183105469
2018-11-21,125.27999877929688
2018-11-23,140.9600067138672
2018-11-26,141.44000244140625
2018-11-27,143.1999969482422
2018-11-28,144.16000366210938
2018-11-29,146.39999389648438
2018-11-30,156.47999572753906
2018-12-03,146.8800048828125
2018-12-04,140.32000732421875
2018-12-06,138.0800018310547
2018-12-07,125.27999877929688
2018-12-10,124.16000366210938
2018-12-11,133.44000244140625
2018-12-12,126.72000122070312
2018-12-13,119.83999633789062
2018-12-14,110.72000122070312
2018-12-17,107.68000030517578
2018-12-18,100.31999969482422
2018-12-19,96.31999969482422
2018-12-20,93.91999816894531
2018-12-21,96.0
2018-12-24,94.87999725341797
2018-12-26,93.27999877929688
2018-12-27,89.12000274658203
2018-12-28,91.19999694824219
2018-12-31,91.19999694824219
2019-01-02,96.0
2019-01-03,92.16000366210938
2019-01-04,98.23999786376953
2019-01-07,91.19999694824219
2019-01-08,92.0
2019-01-09,94.23999786376953
2019-01-10,93.44000244140625
2019-01-11,97.91999816894531
2019-01-14,96.16000366210938
2019-01-15,107.04000091552734
2019-01-16,110.72000122070312
2019-01-17,109.27999877929688
2019-01-18,112.0
2019-01-22,110.4000015258789
2019-01-23,111.83999633789062
2019-01-24,112.0
2019-01-25,115.83999633789062
2019-01-28,111.68000030517578
2019-01-29,105.91999816894531
2019-01-30,109.91999816894531
2019-01-31,112.16000366210938
2019-02-01,112.16000366210938
2019-02-04,106.23999786376953
2019-02-05,114.08000183105469
2019-02-06,120.80000305175781
2019-02-07,116.63999938964844
2019-02-08,119.83999633789062
2019-02-11,136.47999572753906
2019-02-12,129.44000244140625
2019-02-13,141.27999877929688
2019-02-14,134.8800048828125
2019-02-15,147.83999633789062
2019-02-19,141.75999450683594
2019-02-20,147.0399932861328
2019-02-21,138.72000122070312
2019-02-22,150.24000549316406
2019-02-25,168.32000732421875
2019-02-26,194.8800048828125
2019-02-27,201.44000244140625
2019-02-28,209.75999450683594
