Date,FNLC
2010-01-04,7.384517192840576
2010-01-05,7.1710615158081055
2010-01-06,7.195047378540039
2010-01-07,7.300573825836182
2010-01-08,7.290981769561768
2010-01-11,7.238217830657959
2010-01-12,7.1710615158081055
2010-01-13,7.367729187011719
2010-01-14,7.243017673492432
2010-01-15,7.228623390197754
2010-01-19,7.362931251525879
2010-01-20,7.108706951141357
2010-01-21,6.5858659744262695
2010-01-22,6.868870735168457
2010-01-25,6.820906162261963
2010-01-26,6.777736663818359
2010-01-27,6.734563827514648
2010-01-28,6.6913909912109375
2010-01-29,6.748956203460693
2010-02-01,6.7921247482299805
2010-02-02,6.667410373687744
2010-02-03,6.672207355499268
2010-02-04,6.422778129577637
2010-02-05,6.605053424835205
2010-02-08,6.422778129577637
2010-02-09,6.557086944580078
2010-02-10,6.629035949707031
2010-02-11,6.806515216827393
2010-02-12,6.758551597595215
2010-02-16,6.705784320831299
2010-02-17,6.643426418304443
2010-02-18,6.710578441619873
2010-02-19,6.63862943649292
2010-02-22,6.80171537399292
2010-02-23,6.734563827514648
2010-02-24,6.820906162261963
2010-02-25,6.76814079284668
2010-02-26,6.796921253204346
2010-03-01,6.926431655883789
2010-03-02,6.835294246673584
2010-03-03,6.825700759887695
2010-03-04,6.88326358795166
2010-03-05,7.079923152923584
2010-03-08,7.003180980682373
2010-03-09,7.051144123077393
2010-03-10,7.0895185470581055
2010-03-11,7.113503456115723
2010-03-12,6.9648051261901855
2010-03-15,7.118300437927246
2010-03-16,7.147080898284912
2010-03-17,7.1710615158081055
2010-03-18,7.175858974456787
2010-03-19,7.569190979003906
2010-03-22,7.669919967651367
2010-03-23,7.5787835121154785
2010-03-24,7.4636664390563965
2010-03-25,7.554801940917969
2010-03-26,7.406102657318115
2010-03-29,7.593174457550049
2010-03-30,7.799430847167969
2010-03-31,7.73874568939209
2010-04-01,7.787295341491699
2010-04-05,7.777585029602051
2010-04-06,7.695052146911621
2010-04-07,7.661065578460693
2010-04-08,7.568820953369141
2010-04-09,7.641645908355713
2010-04-12,7.398900032043457
2010-04-13,7.563967227935791
2010-04-14,7.573678970336914
2010-04-15,7.80671501159668
2010-04-16,7.743598937988281
2010-04-19,7.656213760375977
2010-04-20,7.855262279510498
2010-04-21,7.816425800323486
2010-04-22,7.845555782318115
2010-04-23,7.792148113250732
2010-04-26,7.801855564117432
2010-04-27,7.636790752410889
2010-04-28,7.5833892822265625
2010-04-29,7.7144670486450195
2010-04-30,7.7144670486450195
2010-05-03,7.753309726715088
2010-05-04,7.432882785797119
2010-05-05,7.146441459655762
2010-05-06,6.869717121124268
2010-05-07,6.733774662017822
2010-05-10,7.301802635192871
2010-05-11,7.758167266845703
2010-05-12,7.942652225494385
2010-05-13,7.782437324523926
2010-05-14,7.80671501159668
2010-05-17,7.748456954956055
2010-05-18,7.48628568649292
2010-05-19,7.311513900756836
2010-05-20,6.884278774261475
2010-05-21,7.039636135101318
2010-05-24,6.9571027755737305
2010-05-25,7.010504722595215
2010-05-26,6.9425368309021
2010-05-27,7.161011219024658
2010-05-28,7.146441459655762
2010-06-01,6.932827472686768
2010-06-02,7.17557430267334
2010-06-03,7.335788249969482
2010-06-04,6.7240681648254395
2010-06-07,6.777471542358398
2010-06-08,6.830874443054199
2010-06-09,6.830874443054199
2010-06-10,6.903697490692139
2010-06-11,6.8988423347473145
2010-06-14,6.792036056518555
2010-06-15,7.0639119148254395
2010-06-16,7.054203033447266
2010-06-17,7.1852850914001465
2010-06-18,7.398900032043457
2010-06-21,7.306658744812012
2010-06-22,7.097896575927734
2010-06-23,7.287238121032715
2010-06-24,7.054203033447266
2010-06-25,6.379367828369141
2010-06-28,6.5104498863220215
2010-06-29,6.427913665771484
2010-06-30,6.374512195587158
2010-07-01,6.293200969696045
2010-07-02,6.2291340827941895
2010-07-06,6.105929851531982
2010-07-07,6.2439188957214355
2010-07-08,6.273486614227295
2010-07-09,6.524817943572998
2010-07-12,6.332623481750488
2010-07-13,6.643094539642334
2010-07-14,6.5987396240234375
