Date,CHCO
2010-01-04,19.406789779663086
2010-01-05,18.31053352355957
2010-01-06,18.239425659179688
2010-01-07,18.78458595275879
2010-01-08,18.84977149963379
2010-01-11,18.375713348388672
2010-01-12,18.180166244506836
2010-01-13,18.228105545043945
2010-01-14,18.767396926879883
2010-01-15,18.377906799316406
2010-01-19,18.80933952331543
2010-01-20,18.659534454345703
2010-01-21,19.318675994873047
2010-01-22,19.228792190551758
2010-01-25,19.306690216064453
2010-01-26,18.977113723754883
2010-01-27,19.636260986328125
2010-01-28,18.995094299316406
2010-01-29,18.83331298828125
2010-02-01,18.76140594482422
2010-02-02,18.60560417175293
2010-02-03,18.49175453186035
2010-02-04,18.198137283325195
2010-02-05,18.5996150970459
2010-02-08,18.294021606445312
2010-02-09,18.455810546875
2010-02-10,18.539701461791992
2010-02-11,18.533706665039062
2010-02-12,18.419849395751953
2010-02-16,18.47977638244629
2010-02-17,18.413856506347656
2010-02-18,18.395885467529297
2010-02-19,18.533706665039062
2010-02-22,18.815330505371094
2010-02-23,18.947166442871094
2010-02-24,19.13890266418457
2010-02-25,19.360618591308594
2010-02-26,19.228792190551758
2010-03-01,19.180858612060547
2010-03-02,19.156890869140625
2010-03-03,19.228792190551758
2010-03-04,19.486454010009766
2010-03-05,20.079673767089844
2010-03-08,20.10964012145996
2010-03-09,20.139596939086914
2010-03-10,20.7867488861084
2010-03-11,20.816709518432617
2010-03-12,20.583011627197266
2010-03-15,20.63694190979004
2010-03-16,20.92456817626953
2010-03-17,20.307371139526367
2010-03-18,20.08567237854004
2010-03-19,20.229473114013672
2010-03-22,20.445199966430664
2010-03-23,20.40325164794922
2010-03-24,20.22348976135254
2010-03-25,20.241466522216797
2010-03-26,20.34333038330078
2010-03-29,20.229473114013672
2010-03-30,20.40325164794922
2010-03-31,20.547061920166016
2010-04-01,20.6489315032959
2010-04-05,20.846675872802734
2010-04-06,21.475849151611328
2010-04-07,21.409931182861328
2010-04-08,21.547754287719727
2010-04-09,21.361995697021484
2010-04-12,21.433902740478516
2010-04-13,21.107215881347656
2010-04-14,21.258460998535156
2010-04-15,21.246366500854492
2010-04-16,21.083019256591797
2010-04-19,21.2766056060791
2010-04-20,21.409698486328125
2010-04-21,21.808975219726562
2010-04-22,22.196151733398438
2010-04-23,22.553081512451172
2010-04-26,21.911821365356445
2010-04-27,20.931781768798828
2010-04-28,20.943878173828125
2010-04-29,22.038867950439453
2010-04-30,21.197959899902344
2010-05-03,21.155622482299805
2010-05-04,20.14533233642578
2010-05-05,20.236072540283203
