Date,COST
2010-01-04,42.221553802490234
2010-01-05,42.09362030029297
2010-01-06,42.6408576965332
2010-01-07,42.43474578857422
2010-01-08,42.129150390625
2010-01-11,42.17890167236328
2010-01-12,41.95148468017578
2010-01-13,42.21443557739258
2010-01-14,41.73117446899414
2010-01-15,41.78092575073242
2010-01-19,41.89463424682617
2010-01-20,41.4113655090332
2010-01-21,40.878360748291016
2010-01-22,40.55855178833008
2010-01-25,40.89967727661133
2010-01-26,41.16974639892578
2010-01-27,40.88547134399414
2010-01-28,40.757530212402344
2010-01-29,40.81438446044922
2010-02-01,41.15550994873047
2010-02-02,41.76671600341797
2010-02-03,41.51797866821289
2010-02-04,41.589046478271484
2010-02-05,41.63169860839844
2010-02-08,41.31898498535156
2010-02-09,41.75959014892578
2010-02-10,42.16593551635742
2010-02-11,42.536624908447266
2010-02-12,42.25859832763672
2010-02-16,43.249481201171875
2010-02-17,43.520381927490234
2010-02-18,43.45621871948242
2010-02-19,43.58453369140625
2010-02-22,43.33503723144531
2010-02-23,43.13544464111328
2010-02-24,43.38493728637695
2010-02-25,43.76987838745117
2010-02-26,43.46335983276367
2010-03-01,43.94808578491211
2010-03-02,43.755611419677734
2010-03-03,43.25661849975586
2010-03-04,43.3421630859375
2010-03-05,43.25661849975586
2010-03-08,43.249481201171875
2010-03-09,42.86455154418945
2010-03-10,42.657814025878906
2010-03-11,42.700599670410156
2010-03-12,42.89305877685547
2010-03-15,43.163944244384766
2010-03-16,43.420589447021484
2010-03-17,43.719974517822266
2010-03-18,43.67720413208008
2010-03-19,43.285133361816406
2010-03-22,43.399192810058594
2010-03-23,43.31365203857422
2010-03-24,42.8217658996582
2010-03-25,42.80751037597656
2010-03-26,42.86455154418945
2010-03-29,42.87167739868164
2010-03-30,42.89305877685547
2010-03-31,42.56514358520508
2010-04-01,42.87167739868164
2010-04-05,43.35641860961914
2010-04-06,44.01225280761719
2010-04-07,43.99800109863281
2010-04-08,43.47047424316406
2010-04-09,43.63444137573242
2010-04-12,43.021366119384766
2010-04-13,42.69346237182617
2010-04-14,42.500980377197266
2010-04-15,42.08039855957031
2010-04-16,42.19445037841797
2010-04-19,42.3940544128418
2010-04-20,42.408302307128906
2010-04-21,42.422569274902344
2010-04-22,42.92869567871094
2010-04-23,42.91444396972656
2010-04-26,42.8217658996582
2010-04-27,42.18019104003906
2010-04-28,41.95207214355469
2010-04-29,42.30852508544922
2010-04-30,42.11603927612305
2010-05-03,42.27998352050781
2010-05-04,42.68634033203125
2010-05-05,43.17631530761719
2010-05-06,41.50962829589844
2010-05-07,40.99459457397461
2010-05-10,41.14481735229492
2010-05-11,41.44525909423828
2010-05-12,41.4023551940918
2010-05-13,41.25212478637695
2010-05-14,41.30219650268555
2010-05-17,41.738525390625
2010-05-18,41.3308219909668
2010-05-19,41.32365417480469
2010-05-20,40.479583740234375
2010-05-21,41.08760452270508
2010-05-24,40.6011962890625
2010-05-25,40.41520690917969
2010-05-26,40.04324722290039
2010-05-27,42.01750564575195
2010-05-28,41.6670036315918
2010-06-01,41.4738655090332
2010-06-02,42.167728424072266
2010-06-03,41.4381103515625
2010-06-04,40.179141998291016
2010-06-07,39.95024871826172
2010-06-08,40.529666900634766
2010-06-09,41.05898666381836
2010-06-10,41.237815856933594
2010-06-11,41.14481735229492
2010-06-14,41.14481735229492
2010-06-15,42.31794357299805
2010-06-16,41.731388092041016
2010-06-17,41.90304183959961
2010-06-18,41.638404846191406
2010-06-21,41.3308219909668
2010-06-22,41.20920944213867
2010-06-23,41.08760452270508
2010-06-24,40.21492004394531
2010-06-25,40.37227249145508
2010-06-28,40.52251052856445
2010-06-29,39.792884826660156
2010-06-30,39.22062683105469
2010-07-01,39.270713806152344
2010-07-02,38.791446685791016
2010-07-06,38.626922607421875
2010-07-07,38.834373474121094
2010-07-08,39.8501091003418
2010-07-09,40.19346618652344
2010-07-12,40.007469177246094
2010-07-13,40.42234420776367
2010-07-14,40.307918548583984
2010-07-15,40.450984954833984
2010-07-16,39.32792663574219
2010-07-19,39.213478088378906
2010-07-20,39.406620025634766
2010-07-21,38.347957611083984
2010-07-22,39.270713806152344
2010-07-23,40.02178192138672
2010-07-26,39.8501091003418
2010-07-27,40.92308044433594
2010-07-28,40.42234420776367
2010-07-29,40.20777130126953
2010-07-30,40.565425872802734
2010-08-02,40.65841293334961
2010-08-03,40.450984954833984
2010-08-04,41.208370208740234
2010-08-05,40.53352355957031
2010-08-06,40.59096908569336
2010-08-09,41.03607940673828
2010-08-10,40.906837463378906
2010-08-11,40.10997009277344
2010-08-12,39.96638488769531
2010-08-13,39.707923889160156
2010-08-16,39.75100326538086
2010-08-17,40.081260681152344
2010-08-18,39.97355270385742
2010-08-19,39.4925537109375
2010-08-20,39.51409912109375
2010-08-23,39.413578033447266
2010-08-24,39.91612243652344
2010-08-25,40.971458435058594
2010-08-26,40.40430450439453
2010-08-27,40.33970642089844
2010-08-30,40.25354766845703
2010-08-31,40.5622444152832
2010-09-01,41.48836135864258
2010-09-02,42.062705993652344
2010-09-03,42.04833221435547
2010-09-07,42.09859848022461
2010-09-08,42.507808685302734
2010-09-09,42.313961029052734
2010-09-10,42.74470901489258
2010-09-13,43.110843658447266
2010-09-14,43.82159423828125
2010-09-15,43.92927551269531
2010-09-16,43.965171813964844
2010-09-17,44.001068115234375
2010-09-20,43.99388885498047
2010-09-21,43.98671340942383
2010-09-22,44.747703552246094
2010-09-23,44.869747161865234
2010-09-24,45.98250961303711
2010-09-27,45.752777099609375
2010-09-28,46.6645393371582
