Date,SCHW
2010-01-04,16.18535614013672
2010-01-05,16.136259078979492
2010-01-06,15.841678619384766
2010-01-07,15.784407615661621
2010-01-08,15.678030967712402
2010-01-11,15.63711929321289
2010-01-12,15.62075138092041
2010-01-13,15.62893009185791
2010-01-14,15.694393157958984
2010-01-15,15.547102928161621
2010-01-19,15.784407615661621
2010-01-20,15.56347370147705
2010-01-21,15.66984748840332
2010-01-22,15.399823188781738
2010-01-25,15.514381408691406
2010-01-26,15.244343757629395
2010-01-27,15.334355354309082
2010-01-28,15.07251262664795
2010-01-29,14.966140747070312
2010-02-01,15.088874816894531
2010-02-02,14.917034149169922
2010-02-03,14.867942810058594
2010-02-04,14.393349647521973
2010-02-05,14.786120414733887
2010-02-08,14.49972152709961
2010-02-09,14.319707870483398
2010-02-10,14.672773361206055
2010-02-11,14.516766548156738
2010-02-12,14.459296226501465
2010-02-16,14.623506546020508
2010-02-17,14.56602668762207
2010-02-18,14.623506546020508
2010-02-19,15.378902435302734
2010-02-22,15.36248779296875
2010-02-23,15.116156578063965
2010-02-24,15.132582664489746
2010-02-25,14.99299144744873
2010-02-26,15.034049034118652
2010-03-01,14.984789848327637
2010-03-02,14.99299144744873
2010-03-03,14.878046035766602
2010-03-04,15.132582664489746
2010-03-05,15.567747116088867
2010-03-08,15.633440971374512
2010-03-09,15.575963020324707
2010-03-10,15.649862289428711
2010-03-11,15.682700157165527
2010-03-12,15.132582664489746
2010-03-15,14.97657299041748
2010-03-16,15.165422439575195
2010-03-17,15.181842803955078
2010-03-18,15.428173065185547
2010-03-19,15.255742073059082
2010-03-22,15.222896575927734
2010-03-23,15.206477165222168
2010-03-24,15.149005889892578
2010-03-25,15.370699882507324
2010-03-26,15.40354061126709
2010-03-29,15.378902435302734
2010-03-30,15.3953218460083
2010-03-31,15.346057891845703
2010-04-01,15.288582801818848
2010-04-05,15.502063751220703
2010-04-06,15.79765510559082
2010-04-07,15.822285652160645
2010-04-08,15.699124336242676
2010-04-09,15.789435386657715
2010-04-12,16.05219268798828
2010-04-13,16.101451873779297
2010-04-14,15.887965202331543
2010-04-15,15.846922874450684
2010-04-16,15.567747116088867
2010-04-19,15.649862289428711
