Date,DMRC
2010-01-04,14.396971702575684
2010-01-05,14.435364723205566
2010-01-06,14.396971702575684
2010-01-07,14.454560279846191
2010-01-08,14.550540924072266
2010-01-11,14.5889310836792
2010-01-12,14.512147903442383
2010-01-13,14.617725372314453
2010-01-14,14.608128547668457
2010-01-15,14.627323150634766
2010-01-19,14.886470794677734
2010-01-20,14.98244857788086
2010-01-21,14.742500305175781
2010-01-22,14.876871109008789
2010-01-25,15.030439376831055
2010-01-26,14.905664443969727
2010-01-27,15.15521240234375
2010-01-28,15.279987335205078
2010-01-29,15.299182891845703
2010-02-01,15.068829536437988
2010-02-02,15.260791778564453
2010-02-03,15.231995582580566
2010-02-04,15.059234619140625
2010-02-05,14.771293640136719
2010-02-08,14.992048263549805
2010-02-09,15.049635887145996
2010-02-10,15.15521240234375
2010-02-11,15.088027954101562
2010-02-12,15.068829536437988
2010-02-16,15.068829536437988
2010-02-17,14.867273330688477
2010-02-18,14.704108238220215
2010-02-19,15.059234619140625
2010-02-22,14.915264129638672
2010-02-23,15.251194953918457
2010-02-24,15.107222557067871
2010-02-25,15.347172737121582
2010-02-26,16.748477935791016
2010-03-01,16.172595977783203
2010-03-02,16.748477935791016
2010-03-03,17.372344970703125
2010-03-04,17.324356079101562
2010-03-05,18.188173294067383
2010-03-08,19.5126953125
2010-03-09,19.464704513549805
2010-03-10,18.255359649658203
2010-03-11,18.533700942993164
2010-03-12,18.533700942993164
2010-03-15,18.149782180786133
2010-03-16,17.996217727661133
2010-03-17,17.708274841308594
2010-03-18,17.765865325927734
2010-03-19,18.735260009765625
2010-03-22,18.053800582885742
2010-03-23,18.053800582885742
2010-03-24,17.535511016845703
2010-03-25,16.834863662719727
2010-03-26,16.508529663085938
2010-03-29,16.115013122558594
2010-03-30,16.80606460571289
2010-03-31,16.575716018676758
2010-04-01,16.738882064819336
2010-04-05,16.70048713684082
2010-04-06,17.180387496948242
2010-04-07,16.911645889282227
2010-04-08,16.614105224609375
2010-04-09,16.79646873474121
2010-04-12,16.681291580200195
2010-04-13,16.191797256469727
2010-04-14,15.942251205444336
2010-04-15,16.422147750854492
2010-04-16,16.36455726623535
2010-04-19,16.79646873474121
2010-04-20,16.84445571899414
2010-04-21,16.834863662719727
2010-04-22,16.84445571899414
2010-04-23,16.652496337890625
2010-04-26,16.79646873474121
2010-04-27,16.921241760253906
2010-04-28,16.8636531829834
2010-04-29,17.324356079101562
2010-04-30,17.285964965820312
2010-05-03,17.564308166503906
2010-05-04,17.276369094848633
2010-05-05,17.362749099731445
2010-05-06,16.978830337524414
2010-05-07,16.662094116210938
2010-05-10,16.738882064819336
2010-05-11,16.84445571899414
2010-05-12,17.036418914794922
2010-05-13,17.919429779052734
2010-05-14,17.468326568603516
2010-05-17,18.27455711364746
2010-05-18,18.389732360839844
2010-05-19,18.111391067504883
2010-05-20,17.468326568603516
2010-05-21,16.998023986816406
2010-05-24,16.950035095214844
