Date,NU
2021-12-09,10.329999923706055
2021-12-10,11.850000381469727
2021-12-13,10.8100004196167
2021-12-14,9.920000076293945
2021-12-15,10.010000228881836
2021-12-16,10.0
2021-12-17,9.800000190734863
2021-12-20,8.9399995803833
2021-12-21,9.229999542236328
2021-12-22,9.119999885559082
2021-12-23,9.829999923706055
2021-12-27,9.739999771118164
2021-12-28,9.399999618530273
2021-12-29,9.319999694824219
2021-12-30,9.399999618530273
2021-12-31,9.380000114440918
2022-01-03,9.979999542236328
2022-01-04,9.739999771118164
2022-01-05,9.039999961853027
2022-01-06,9.520000457763672
2022-01-07,9.359999656677246
2022-01-10,9.0
2022-01-11,9.34000015258789
2022-01-12,9.0
2022-01-13,8.670000076293945
2022-01-14,8.119999885559082
2022-01-18,7.690000057220459
2022-01-19,7.829999923706055
2022-01-20,7.949999809265137
2022-01-21,7.539999961853027
2022-01-24,7.260000228881836
2022-01-25,7.420000076293945
2022-01-26,7.070000171661377
2022-01-27,6.889999866485596
2022-01-28,6.75
2022-01-31,7.420000076293945
2022-02-01,7.559999942779541
2022-02-02,6.989999771118164
2022-02-03,6.789999961853027
2022-02-04,7.360000133514404
2022-02-07,7.769999980926514
2022-02-08,8.899999618530273
2022-02-09,10.199999809265137
2022-02-10,9.279999732971191
2022-02-11,8.539999961853027
2022-02-14,8.680000305175781
2022-02-15,9.149999618530273
2022-02-16,9.050000190734863
2022-02-17,10.09000015258789
2022-02-18,9.850000381469727
2022-02-22,8.800000190734863
2022-02-23,7.519999980926514
2022-02-24,7.940000057220459
2022-02-25,7.78000020980835
2022-02-28,7.650000095367432
2022-03-01,7.920000076293945
2022-03-02,7.769999980926514
2022-03-03,7.369999885559082
2022-03-04,7.159999847412109
2022-03-07,6.829999923706055
2022-03-08,7.579999923706055
2022-03-09,7.960000038146973
2022-03-10,7.050000190734863
2022-03-11,6.539999961853027
2022-03-14,5.929999828338623
2022-03-15,5.980000019073486
2022-03-16,6.880000114440918
2022-03-17,7.440000057220459
2022-03-18,7.860000133514404
2022-03-21,7.559999942779541
2022-03-22,8.020000457763672
2022-03-23,7.909999847412109
2022-03-24,8.149999618530273
2022-03-25,7.949999809265137
2022-03-28,8.0600004196167
2022-03-29,8.359999656677246
2022-03-30,8.0600004196167
2022-03-31,7.71999979019165
2022-04-01,8.0600004196167
2022-04-04,8.069999694824219
2022-04-05,7.849999904632568
2022-04-06,7.510000228881836
2022-04-07,7.309999942779541
2022-04-08,7.28000020980835
2022-04-11,7.400000095367432
2022-04-12,7.050000190734863
2022-04-13,7.159999847412109
2022-04-14,7.03000020980835
2022-04-18,6.889999866485596
2022-04-19,7.190000057220459
2022-04-20,7.159999847412109
2022-04-21,6.889999866485596
2022-04-22,6.679999828338623
2022-04-25,6.920000076293945
2022-04-26,6.309999942779541
2022-04-27,6.329999923706055
2022-04-28,6.159999847412109
2022-04-29,6.010000228881836
2022-05-02,5.960000038146973
2022-05-03,5.46999979019165
2022-05-04,5.769999980926514
2022-05-05,5.420000076293945
2022-05-06,5.230000019073486
2022-05-09,4.380000114440918
2022-05-10,4.369999885559082
2022-05-11,3.690000057220459
2022-05-12,4.0
2022-05-13,4.820000171661377
2022-05-16,4.349999904632568
2022-05-17,4.079999923706055
2022-05-18,3.819999933242798
2022-05-19,4.329999923706055
2022-05-20,3.809999942779541
2022-05-23,3.740000009536743
2022-05-24,3.3299999237060547
2022-05-25,3.5899999141693115
2022-05-26,3.5299999713897705
2022-05-27,4.03000020980835
2022-05-31,3.809999942779541
2022-06-01,3.819999933242798
2022-06-02,4.440000057220459
2022-06-03,4.5
2022-06-06,4.289999961853027
2022-06-07,4.320000171661377
2022-06-08,4.329999923706055
2022-06-09,3.859999895095825
2022-06-10,3.640000104904175
2022-06-13,3.509999990463257
2022-06-14,3.430000066757202
2022-06-15,3.5199999809265137
2022-06-16,3.309999942779541
2022-06-17,3.4700000286102295
2022-06-21,3.859999895095825
2022-06-22,3.940000057220459
2022-06-23,4.0
2022-06-24,4.059999942779541
2022-06-27,3.9800000190734863
2022-06-28,3.8399999141693115
2022-06-29,3.869999885559082
2022-06-30,3.740000009536743
2022-07-01,3.9100000858306885
2022-07-05,4.159999847412109
2022-07-06,4.059999942779541
2022-07-07,4.170000076293945
2022-07-08,3.9800000190734863
2022-07-11,3.7699999809265137
2022-07-12,3.950000047683716
2022-07-13,3.9800000190734863
2022-07-14,3.819999933242798
2022-07-15,3.8499999046325684
2022-07-18,3.890000104904175
2022-07-19,4.070000171661377
2022-07-20,4.619999885559082
2022-07-21,4.53000020980835
2022-07-22,4.21999979019165
2022-07-25,4.159999847412109
2022-07-26,3.7899999618530273
2022-07-27,4.039999961853027
2022-07-28,4.210000038146973
2022-07-29,4.210000038146973
2022-08-01,4.050000190734863
2022-08-02,4.090000152587891
2022-08-03,4.449999809265137
2022-08-04,4.670000076293945
2022-08-05,4.489999771118164
2022-08-08,4.75
2022-08-09,4.25
2022-08-10,4.420000076293945
2022-08-11,4.079999923706055
2022-08-12,4.25
2022-08-15,4.679999828338623
2022-08-16,5.519999980926514
2022-08-17,5.079999923706055
2022-08-18,5.039999961853027
2022-08-19,4.650000095367432
2022-08-22,4.53000020980835
2022-08-23,4.559999942779541
2022-08-24,4.949999809265137
2022-08-25,4.989999771118164
2022-08-26,4.940000057220459
2022-08-29,4.920000076293945
2022-08-30,4.889999866485596
2022-08-31,4.900000095367432
2022-09-01,4.900000095367432
2022-09-02,4.940000057220459
2022-09-06,4.71999979019165
2022-09-07,4.980000019073486
2022-09-08,5.059999942779541
