Date,SLG
2010-01-04,26.885635375976562
2010-01-05,26.385616302490234
2010-01-06,26.20978355407715
2010-01-07,26.87464714050293
2010-01-08,26.68232536315918
2010-01-11,27.16035270690918
2010-01-12,27.264766693115234
2010-01-13,27.918651580810547
2010-01-14,27.797758102416992
2010-01-15,27.501039505004883
2010-01-19,28.418651580810547
2010-01-20,28.012046813964844
2010-01-21,26.21527671813965
2010-01-22,25.275680541992188
2010-01-25,25.23171615600586
2010-01-26,25.12181854248047
2010-01-27,25.237218856811523
2010-01-28,25.077871322631836
2010-01-29,24.99545669555664
2010-02-01,26.127368927001953
2010-02-02,26.369125366210938
2010-02-03,26.242761611938477
2010-02-04,24.781152725219727
2010-02-05,25.02292251586914
2010-02-08,24.275632858276367
2010-02-09,24.319591522216797
2010-02-10,24.588842391967773
2010-02-11,24.907527923583984
2010-02-12,25.253694534301758
2010-02-16,26.34166145324707
2010-02-17,26.319669723510742
2010-02-18,26.43505859375
2010-02-19,26.4405517578125
2010-02-22,27.237281799316406
2010-02-23,26.808696746826172
2010-02-24,27.451580047607422
2010-02-25,27.742815017700195
2010-02-26,28.055994033813477
2010-03-01,28.297761917114258
2010-03-02,28.79779052734375
2010-03-03,28.610963821411133
2010-03-04,29.02857208251953
2010-03-05,30.440710067749023
2010-03-08,31.56711769104004
2010-03-09,31.31985092163086
2010-03-10,31.38031768798828
2010-03-11,31.523174285888672
2010-03-12,30.99567985534668
2010-03-15,30.589069366455078
2010-03-16,31.36382484436035
2010-03-17,31.64954948425293
2010-03-18,31.17699432373047
2010-03-19,30.319820404052734
2010-03-22,30.501150131225586
2010-03-23,30.165979385375977
2010-03-24,30.10003089904785
2010-03-25,30.73192024230957
2010-03-26,29.973655700683594
2010-03-29,30.89295768737793
2010-03-30,31.4103946685791
2010-03-31,31.526004791259766
2010-04-01,31.817760467529297
2010-04-05,33.24350357055664
2010-04-06,34.94999694824219
2010-04-07,32.9462776184082
2010-04-08,33.304073333740234
2010-04-09,34.01969909667969
