Date,ARHS
2021-11-04,12.369024276733398
2021-11-05,11.79888916015625
2021-11-08,12.069461822509766
2021-11-09,11.808552742004395
2021-11-10,11.093467712402344
2021-11-11,10.91952896118164
2021-11-12,11.025825500488281
2021-11-15,11.112794876098633
2021-11-16,11.595959663391113
2021-11-17,11.95350170135498
2021-11-18,11.170775413513184
2021-11-19,11.170775413513184
2021-11-22,10.813232421875
2021-11-23,10.020841598510742
2021-11-24,9.711616516113281
2021-11-26,9.837239265441895
2021-11-29,9.759933471679688
2021-11-30,9.363737106323242
2021-12-01,8.474714279174805
2021-12-02,8.5713472366333
2021-12-03,8.13649845123291
2021-12-06,8.523030281066895
2021-12-07,8.909563064575195
2021-12-08,8.79360294342041
2021-12-09,9.614983558654785
2021-12-10,11.4703369140625
2021-12-13,10.59097671508789
2021-12-14,10.70693588256836
2021-12-15,10.784242630004883
2021-12-16,10.832559585571289
2021-12-17,11.14178466796875
2021-12-20,10.43636417388916
2021-12-21,10.619966506958008
2021-12-22,10.204444885253906
2021-12-23,10.078822135925293
2021-12-27,10.494343757629395
2021-12-28,11.480000495910645
2021-12-29,12.89084243774414
2021-12-30,13.122760772705078
2021-12-31,12.803872108459473
2022-01-03,12.195084571838379
2022-01-04,11.866532325744629
2022-01-05,11.24808120727539
2022-01-06,12.030808448791504
2022-01-07,11.547643661499023
2022-01-10,10.552323341369629
2022-01-11,10.368720054626465
2022-01-12,10.10781192779541
2022-01-13,10.37838363647461
2022-01-14,10.059494972229004
2022-01-18,9.035185813903809
2022-01-19,9.112492561340332
2022-01-20,8.803265571594238
2022-01-21,8.31043815612793
2022-01-24,9.247777938842773
2022-01-25,8.706633567810059
2022-01-26,8.126834869384766
2022-01-27,7.972222328186035
2022-01-28,8.24279499053955
2022-01-31,8.581010818481445
2022-02-01,8.783939361572266
2022-02-02,7.962558746337891
2022-02-03,8.020539283752441
2022-02-04,8.213805198669434
2022-02-07,8.223468780517578
2022-02-08,8.175151824951172
2022-02-09,8.542357444763184
2022-02-10,8.194478034973145
2022-02-11,7.730639934539795
2022-02-14,7.218484878540039
2022-02-15,7.440740585327148
2022-02-16,7.208821773529053
2022-02-17,6.764309883117676
2022-02-18,7.073535919189453
2022-02-22,6.329461574554443
2022-02-23,6.377778053283691
2022-02-24,6.513063907623291
2022-02-25,6.764309883117676
2022-02-28,6.455084323883057
2022-03-01,6.571043968200684
2022-03-02,6.860942840576172
2022-03-03,6.6870036125183105
2022-03-04,6.2618184089660645
2022-03-07,6.2618184089660645
2022-03-08,6.387441158294678
2022-03-09,6.812626838684082
2022-03-10,6.53239107131958
2022-03-11,6.223165035247803
2022-03-14,6.087879180908203
2022-03-15,6.348788261413574
2022-03-16,6.8512797355651855
2022-03-17,7.334444999694824
2022-03-18,7.402087688446045
2022-03-21,7.2474751472473145
2022-03-22,7.392424583435059
2022-03-23,7.2957916259765625
2022-03-24,7.353771209716797
2022-03-25,7.025218963623047
2022-03-28,7.112188816070557
2022-03-29,6.957575798034668
2022-03-30,8.407071113586426
2022-03-31,8.223468780517578
2022-04-01,8.252457618713379
2022-04-04,8.677642822265625
2022-04-05,8.600337028503418
2022-04-06,8.059192657470703
2022-04-07,7.817609786987305
2022-04-08,8.049529075622559
2022-04-11,7.817609786987305
2022-04-12,7.856263160705566
2022-04-13,7.6726603507995605
2022-04-14,7.450404167175293
2022-04-18,7.189495086669922
2022-04-19,7.730639934539795
2022-04-20,7.489057540893555
2022-04-21,6.9962286949157715
2022-04-22,6.947912693023682
2022-04-25,7.2474751472473145
2022-04-26,6.880269527435303
2022-04-27,7.005892276763916
2022-04-28,7.160505294799805
2022-04-29,6.928586006164551
2022-05-02,7.073535919189453
2022-05-03,7.4117512702941895
2022-05-04,7.2474751472473145
2022-05-05,6.938249111175537
2022-05-06,7.150842189788818
2022-05-09,6.947912693023682
2022-05-10,6.5903706550598145
2022-05-11,6.0298991203308105
2022-05-12,5.9815826416015625
2022-05-13,5.942929744720459
2022-05-16,5.875286102294922
2022-05-17,6.319797992706299
2022-05-18,5.759326934814453
2022-05-19,5.691683292388916
2022-05-20,5.392121315002441
2022-05-23,5.759326934814453
2022-05-24,5.179528713226318
2022-05-25,5.508080959320068
2022-05-26,5.720673561096191
2022-05-27,5.749663352966309
2022-05-31,5.595050811767578
2022-06-01,5.575724124908447
2022-06-02,5.788316249847412
2022-06-03,5.682020664215088
2022-06-06,5.566061019897461
2022-06-07,5.595050811767578
2022-06-08,5.498417854309082
2022-06-09,5.382458209991455
2022-06-10,5.343804836273193
2022-06-13,5.150538921356201
2022-06-14,5.092558860778809
2022-06-15,5.2085185050964355
2022-06-16,4.812323570251465
2022-06-17,5.073232650756836
2022-06-21,5.2761616706848145
2022-06-22,5.227845191955566
2022-06-23,5.382458209991455
2022-06-24,5.5370707511901855
2022-06-27,5.256834983825684
2022-06-28,4.879966735839844
2022-06-29,4.850976467132568
2022-06-30,4.348484992980957
2022-07-01,4.319494724273682
2022-07-05,4.367811679840088
2022-07-06,4.445117950439453
2022-07-07,4.80265998840332
2022-07-08,4.7833333015441895
2022-07-11,4.696363925933838
2022-07-12,4.406464576721191
2022-07-13,4.483770847320557
2022-07-14,4.551414489746094
2022-07-15,4.7833333015441895
2022-07-18,5.179528713226318
2022-07-19,5.35346794128418
2022-07-20,5.45976448059082
2022-07-21,5.401784896850586
2022-07-22,5.334141731262207
2022-07-25,5.082895755767822
2022-07-26,4.97659969329834
2022-07-27,5.073232650756836
2022-07-28,5.237508773803711
2022-07-29,5.324478626251221
