Date,EFX
2010-01-04,26.42984390258789
2010-01-05,26.42144775390625
2010-01-06,26.706985473632812
2010-01-07,26.81617546081543
2010-01-08,26.824573516845703
2010-01-11,26.572616577148438
2010-01-12,26.413047790527344
2010-01-13,26.681793212890625
2010-01-14,26.8581600189209
2010-01-15,26.65659523010254
2010-01-19,26.81617546081543
2010-01-20,26.681793212890625
2010-01-21,26.547426223754883
2010-01-22,26.396249771118164
2010-01-25,26.748979568481445
2010-01-26,26.530622482299805
2010-01-27,27.00093650817871
2010-01-28,26.648197174072266
2010-01-29,26.874961853027344
2010-02-01,28.05074119567871
2010-02-02,28.033946990966797
2010-02-03,27.74840545654297
2010-02-04,26.639808654785156
2010-02-05,26.513826370239258
2010-02-08,26.186288833618164
2010-02-09,26.42984390258789
2010-02-10,26.329065322875977
2010-02-11,26.539030075073242
2010-02-12,26.404647827148438
2010-02-16,26.84136199951172
2010-02-17,27.286487579345703
2010-02-18,26.91649627685547
2010-02-19,26.9080867767334
2010-02-22,26.882862091064453
2010-02-23,26.664236068725586
2010-02-24,27.16034698486328
2010-02-25,27.16034698486328
2010-02-26,27.1267147064209
2010-03-01,27.46307373046875
2010-03-02,27.555557250976562
2010-03-03,27.46307373046875
2010-03-04,27.53874969482422
2010-03-05,28.03486442565918
2010-03-08,27.78260612487793
2010-03-09,27.78260612487793
2010-03-10,27.925548553466797
2010-03-11,27.992815017700195
2010-03-12,28.177827835083008
2010-03-15,28.379621505737305
2010-03-16,29.136409759521484
2010-03-17,29.55685043334961
2010-03-18,30.02774429321289
2010-03-19,29.876386642456055
2010-03-22,30.195907592773438
2010-03-23,30.15387725830078
2010-03-24,30.14546775817871
2010-03-25,30.18751335144043
2010-03-26,30.34726905822754
2010-03-29,30.607946395874023
2010-03-30,30.422950744628906
2010-03-31,30.103418350219727
2010-04-01,30.044559478759766
2010-04-05,30.229557037353516
2010-04-06,30.095020294189453
2010-04-07,29.800697326660156
2010-04-08,29.935245513916016
2010-04-09,29.910011291503906
2010-04-12,29.767070770263672
2010-04-13,29.935245513916016
