Date,LW
2016-11-10,26.62889862060547
2016-11-11,26.242589950561523
2016-11-14,26.505985260009766
2016-11-15,26.716699600219727
2016-11-16,27.831727981567383
2016-11-17,28.542877197265625
2016-11-18,28.69213104248047
2016-11-21,27.866840362548828
2016-11-22,28.709697723388672
2016-11-23,28.990644454956055
2016-11-25,28.61311912536621
2016-11-28,28.74481964111328
2016-11-29,29.13990020751953
2016-11-30,29.39452362060547
2016-12-01,28.542877197265625
2016-12-02,28.964305877685547
2016-12-05,29.543766021728516
2016-12-06,29.69301986694336
2016-12-07,30.509531021118164
2016-12-08,31.5455379486084
2016-12-09,31.94063949584961
2016-12-12,32.24791717529297
2016-12-13,32.116233825683594
2016-12-14,30.8607234954834
2016-12-15,30.184688568115234
2016-12-16,30.957298278808594
2016-12-19,30.272483825683594
2016-12-20,30.68512725830078
2016-12-21,30.746597290039062
2016-12-22,31.89673614501953
2016-12-23,32.353271484375
2016-12-27,32.78348922729492
2016-12-28,32.6869010925293
2016-12-29,33.161006927490234
2016-12-30,33.23125076293945
2017-01-03,32.915191650390625
2017-01-04,32.46739959716797
2017-01-05,32.15134811401367
2017-01-06,32.33572006225586
2017-01-09,32.38839340209961
2017-01-10,32.34450149536133
2017-01-11,32.38839340209961
2017-01-12,32.44985580444336
2017-01-13,32.67812728881836
2017-01-17,32.38839340209961
2017-01-18,32.16891098022461
2017-01-19,32.44985580444336
2017-01-20,32.58154296875
2017-01-23,32.28302764892578
2017-01-24,32.915191650390625
2017-01-25,32.19524002075195
2017-01-26,32.06110763549805
2017-01-27,32.15817642211914
2017-01-30,32.458213806152344
2017-01-31,32.9700927734375
2017-02-01,33.33189392089844
2017-02-02,33.9055290222168
2017-02-03,34.329132080078125
2017-02-06,34.629173278808594
2017-02-07,34.77919387817383
2017-02-08,34.55857849121094
2017-02-09,34.48796844482422
2017-02-10,34.65564727783203
2017-02-13,34.796844482421875
2017-02-14,34.99099349975586
2017-02-15,34.97334671020508
2017-02-16,35.21161651611328
2017-02-17,34.96451950073242
2017-02-21,34.96451950073242
2017-02-22,35.16748809814453
2017-02-23,34.858612060546875
2017-02-24,34.92921829223633
2017-02-27,34.840965270996094
2017-02-28,34.58504104614258
2017-03-01,35.255733489990234
2017-03-02,35.494014739990234
2017-03-03,35.652862548828125
2017-03-06,35.670509338378906
2017-03-07,35.95292282104492
2017-03-08,35.93526840209961
2017-03-09,36.16471481323242
2017-03-10,36.53536605834961
2017-03-13,36.65008544921875
2017-03-14,37.25018310546875
2017-03-15,37.382564544677734
2017-03-16,37.05604553222656
2017-03-17,37.285491943359375
2017-03-20,37.48846435546875
2017-03-21,37.83262634277344
