Date,YOU
2021-06-30,35.88618087768555
2021-07-01,42.991641998291016
2021-07-02,43.063411712646484
2021-07-06,40.09382629394531
2021-07-07,36.792301177978516
2021-07-08,37.96757507324219
2021-07-09,37.85991668701172
2021-07-12,40.23738098144531
2021-07-13,37.00762176513672
2021-07-14,36.1104621887207
2021-07-15,35.88618087768555
2021-07-16,37.94963073730469
2021-07-19,35.168453216552734
2021-07-20,37.689456939697266
2021-07-21,37.8150634765625
2021-07-22,39.017250061035156
2021-07-23,38.57763671875
2021-07-26,40.86537551879883
2021-07-27,39.75291442871094
2021-07-28,40.61417770385742
2021-07-29,41.55618667602539
2021-07-30,44.34634780883789
2021-08-02,55.71329879760742
2021-08-03,46.77763748168945
2021-08-04,51.837581634521484
2021-08-05,48.62576675415039
2021-08-06,52.645023345947266
2021-08-09,53.021820068359375
2021-08-10,52.00804901123047
2021-08-11,52.07981491088867
2021-08-12,47.289005279541016
2021-08-13,47.06472396850586
2021-08-16,44.732120513916016
2021-08-17,42.049625396728516
2021-08-18,43.197998046875
2021-08-19,42.30083084106445
2021-08-20,42.83015060424805
2021-08-23,43.09929656982422
2021-08-24,45.94327926635742
2021-08-25,46.54437255859375
2021-08-26,44.436058044433594
2021-08-27,43.26975631713867
2021-08-30,43.68244171142578
2021-08-31,41.69076919555664
2021-09-01,42.973697662353516
2021-09-02,42.3995246887207
2021-09-03,42.93781280517578
2021-09-07,43.897769927978516
2021-09-08,41.55618667602539
2021-09-09,40.73978042602539
2021-09-10,39.08005142211914
2021-09-13,40.1925163269043
2021-09-14,38.26363754272461
2021-09-15,39.78879928588867
2021-09-16,38.685298919677734
2021-09-17,37.5997428894043
2021-09-20,37.17808151245117
2021-09-21,36.837162017822266
2021-09-22,38.99032974243164
2021-09-23,39.69908142089844
2021-09-24,41.403682708740234
2021-09-27,40.06692123413086
2021-09-28,38.721187591552734
2021-09-29,36.28092575073242
2021-09-30,36.828189849853516
2021-10-01,37.13321304321289
2021-10-04,34.746788024902344
2021-10-05,36.23606872558594
2021-10-06,35.96692657470703
2021-10-07,37.56385803222656
2021-10-08,35.634979248046875
2021-10-11,33.91243362426758
2021-10-12,34.12775421142578
2021-10-13,34.4776496887207
2021-10-14,35.661895751953125
2021-10-15,36.2001838684082
2021-10-18,36.469337463378906
2021-10-19,37.16012954711914
2021-10-20,36.28092575073242
2021-10-21,38.62250518798828
2021-10-22,38.51483917236328
2021-10-25,40.34503936767578
