Date,NVAX
2010-01-04,56.20000076293945
2010-01-05,54.79999923706055
2010-01-06,54.20000076293945
2010-01-07,52.599998474121094
2010-01-08,53.0
2010-01-11,60.400001525878906
2010-01-12,57.400001525878906
2010-01-13,55.599998474121094
2010-01-14,53.599998474121094
2010-01-15,52.400001525878906
2010-01-19,52.400001525878906
2010-01-20,51.79999923706055
2010-01-21,48.79999923706055
2010-01-22,47.599998474121094
2010-01-25,49.0
2010-01-26,47.20000076293945
2010-01-27,48.400001525878906
2010-01-28,46.0
2010-01-29,43.400001525878906
2010-02-01,46.0
2010-02-02,45.0
2010-02-03,44.20000076293945
2010-02-04,41.20000076293945
2010-02-05,44.400001525878906
2010-02-08,41.79999923706055
2010-02-09,41.0
2010-02-10,44.0
2010-02-11,46.79999923706055
2010-02-12,48.0
2010-02-16,49.0
2010-02-17,48.599998474121094
2010-02-18,48.400001525878906
2010-02-19,48.79999923706055
2010-02-22,47.400001525878906
2010-02-23,44.20000076293945
2010-02-24,44.20000076293945
2010-02-25,44.400001525878906
2010-02-26,43.599998474121094
2010-03-01,45.599998474121094
2010-03-02,46.79999923706055
2010-03-03,46.400001525878906
2010-03-04,46.20000076293945
2010-03-05,47.20000076293945
2010-03-08,48.20000076293945
2010-03-09,47.20000076293945
2010-03-10,48.0
2010-03-11,49.599998474121094
2010-03-12,46.599998474121094
2010-03-15,47.0
2010-03-16,46.20000076293945
2010-03-17,46.20000076293945
2010-03-18,45.400001525878906
2010-03-19,44.0
2010-03-22,45.20000076293945
2010-03-23,46.79999923706055
2010-03-24,51.79999923706055
2010-03-25,49.400001525878906
2010-03-26,47.20000076293945
2010-03-29,49.599998474121094
2010-03-30,47.0
2010-03-31,46.20000076293945
2010-04-01,46.599998474121094
2010-04-05,47.599998474121094
2010-04-06,47.0
2010-04-07,46.79999923706055
2010-04-08,48.79999923706055
2010-04-09,50.79999923706055
2010-04-12,52.400001525878906
2010-04-13,50.400001525878906
2010-04-14,51.599998474121094
2010-04-15,53.20000076293945
2010-04-16,51.20000076293945
2010-04-19,50.79999923706055
2010-04-20,51.400001525878906
2010-04-21,50.20000076293945
2010-04-22,57.20000076293945
