Date,ATUS
2017-06-22,29.3983154296875
2017-06-23,30.82733726501465
2017-06-26,30.467836380004883
2017-06-27,29.53312873840332
2017-06-28,29.578065872192383
2017-06-29,29.371353149414062
2017-06-30,29.02982521057129
2017-07-03,28.67032241821289
2017-07-05,28.041194915771484
2017-07-06,28.652347564697266
2017-07-07,29.164640426635742
2017-07-10,29.00286293029785
2017-07-11,28.53550910949707
2017-07-12,28.67032241821289
2017-07-13,28.355756759643555
2017-07-14,28.571460723876953
2017-07-17,28.679309844970703
2017-07-18,28.769184112548828
2017-07-19,28.4366455078125
2017-07-20,28.256895065307617
2017-07-21,27.951318740844727
2017-07-24,27.825490951538086
2017-07-25,27.93334197998047
2017-07-26,28.40069580078125
2017-07-27,30.449861526489258
2017-07-28,29.272489547729492
2017-07-31,30.054407119750977
2017-08-01,30.386947631835938
2017-08-02,29.317426681518555
2017-08-03,29.07476234436035
2017-08-04,29.191600799560547
2017-08-07,27.93334197998047
2017-08-08,27.90637969970703
2017-08-09,27.942331314086914
2017-08-10,27.89739418029785
2017-08-11,28.30183219909668
2017-08-14,28.16701889038086
2017-08-15,27.879417419433594
2017-08-16,27.457000732421875
2017-08-17,27.26826286315918
2017-08-18,27.3311767578125
2017-08-21,27.609790802001953
2017-08-22,27.73561668395996
2017-08-23,27.7625789642334
2017-08-24,27.582828521728516
2017-08-25,27.573841094970703
2017-08-28,27.90637969970703
2017-08-29,27.72662925720215
2017-08-30,27.86144256591797
2017-08-31,27.421052932739258
2017-09-01,27.412063598632812
2017-09-05,26.9716739654541
2017-09-06,27.223325729370117
2017-09-07,26.288618087768555
2017-09-08,25.3359375
2017-09-11,25.758352279663086
2017-09-12,26.513307571411133
2017-09-13,26.684072494506836
2017-09-14,26.495332717895508
2017-09-15,24.536043167114258
2017-09-18,24.0147647857666
2017-09-19,24.257429122924805
2017-09-20,24.580982208251953
2017-09-21,24.212491989135742
2017-09-22,24.536043167114258
2017-09-25,24.86858367919922
2017-09-26,24.886560440063477
2017-09-27,25.03036117553711
2017-09-28,24.26641845703125
2017-09-29,24.54503059387207
2017-10-02,24.742759704589844
