Date,VNT
2020-09-24,33.50679016113281
2020-09-25,33.50679016113281
2020-09-28,32.52129364013672
2020-09-29,30.057558059692383
2020-09-30,30.55030632019043
2020-10-01,33.50679016113281
2020-10-02,34.492279052734375
2020-10-05,33.753150939941406
2020-10-06,34.492279052734375
2020-10-07,33.753150939941406
2020-10-08,33.014034271240234
2020-10-09,27.869766235351562
2020-10-12,27.44599723815918
2020-10-13,26.371809005737305
2020-10-14,27.603675842285156
2020-10-15,27.347454071044922
2020-10-16,27.850051879882812
2020-10-19,27.840194702148438
2020-10-20,28.02743911743164
2020-10-21,28.13584327697754
2020-10-22,29.42683982849121
2020-10-23,29.85060691833496
2020-10-26,29.06220817565918
2020-10-27,28.244247436523438
2020-10-28,27.850051879882812
2020-10-29,27.869766235351562
2020-10-30,28.323087692260742
2020-11-02,29.525390625
2020-11-03,29.377565383911133
2020-11-04,29.07206153869629
2020-11-05,28.92424201965332
2020-11-06,28.520183563232422
2020-11-09,28.12598991394043
2020-11-10,27.850051879882812
2020-11-11,28.58917236328125
2020-11-12,28.12598991394043
2020-11-13,28.155548095703125
2020-11-16,28.687719345092773
2020-11-17,30.195524215698242
2020-11-18,30.737546920776367
2020-11-19,30.27436637878418
2020-11-20,30.727693557739258
2020-11-23,31.338703155517578
2020-11-24,32.28477096557617
2020-11-25,33.171714782714844
2020-11-27,33.59548568725586
2020-11-30,32.68881607055664
2020-12-01,32.52129364013672
2020-12-02,32.609989166259766
2020-12-03,32.69867706298828
2020-12-04,32.59028244018555
2020-12-07,32.03839111328125
2020-12-08,31.535795211791992
2020-12-09,31.49637794494629
2020-12-10,31.44710350036621
2020-12-11,30.727693557739258
2020-12-14,31.78217124938965
2020-12-15,32.30448913574219
2020-12-16,32.21578598022461
2020-12-17,33.014034271240234
2020-12-18,33.41808319091797
2020-12-21,33.674320220947266
2020-12-22,33.54621124267578
2020-12-23,33.65460968017578
2020-12-24,33.47721862792969
2020-12-28,32.89578628540039
2020-12-29,32.205936431884766
2020-12-30,32.383323669433594
2020-12-31,32.91549301147461
2021-01-04,32.72824478149414
2021-01-05,32.57057571411133
2021-01-06,33.09287643432617
2021-01-07,33.723594665527344
2021-01-08,34.31489562988281
2021-01-11,34.236053466796875
