Date,LIN
2010-01-04,60.43436050415039
2010-01-05,59.30809020996094
2010-01-06,59.83415222167969
2010-01-07,59.98977279663086
2010-01-08,60.382530212402344
2010-01-11,60.95304489135742
2010-01-12,60.301021575927734
2010-01-13,61.368011474609375
2010-01-14,60.026851654052734
2010-01-15,59.98977279663086
2010-01-19,60.078712463378906
2010-01-20,59.83415222167969
2010-01-21,58.90797805786133
2010-01-22,57.974334716796875
2010-01-25,58.85607147216797
2010-01-26,58.285545349121094
2010-01-27,56.88507080078125
2010-01-28,56.4256477355957
2010-01-29,55.81064987182617
2010-02-01,56.91470718383789
2010-02-02,57.23332595825195
2010-02-03,56.97398376464844
2010-02-04,55.26972198486328
2010-02-05,54.839962005615234
2010-02-08,54.936283111572266
2010-02-09,55.71432113647461
2010-02-10,55.73655319213867
2010-02-11,56.48494338989258
2010-02-12,57.00362777709961
2010-02-16,57.737186431884766
2010-02-17,57.82611846923828
2010-02-18,57.58159255981445
2010-02-19,57.21852493286133
2010-02-22,56.98139190673828
2010-02-23,56.433074951171875
2010-02-24,56.31451416015625
2010-02-25,55.580928802490234
2010-02-26,55.67727279663086
2010-03-01,56.35896682739258
2010-03-02,57.033267974853516
2010-03-03,57.0929069519043
2010-03-04,57.5848274230957
2010-03-05,58.874244689941406
2010-03-08,59.05311584472656
2010-03-09,59.05311584472656
2010-03-10,58.88915252685547
2010-03-11,59.26182556152344
2010-03-12,59.32145309448242
2010-03-15,59.43324661254883
2010-03-16,60.066795349121094
2010-03-17,61.147525787353516
2010-03-18,61.214622497558594
2010-03-19,60.834495544433594
2010-03-22,61.16988754272461
2010-03-23,61.61709976196289
2010-03-24,61.3264045715332
2010-03-25,60.640743255615234
2010-03-26,60.80469512939453
2010-03-29,60.99846267700195
2010-03-30,61.684173583984375
2010-03-31,61.863059997558594
2010-04-01,62.4742317199707
2010-04-05,62.571109771728516
2010-04-06,62.80961990356445
2010-04-07,62.93635940551758
2010-04-08,62.97361373901367
2010-04-09,63.31648635864258
2010-04-12,63.34626007080078
2010-04-13,63.30899429321289
2010-04-14,64.0096435546875
2010-04-15,65.3214340209961
2010-04-16,64.70278930664062
2010-04-19,64.94129943847656
2010-04-20,65.69410705566406
2010-04-21,65.26181030273438
2010-04-22,65.37360382080078
2010-04-23,65.75372314453125
2010-04-26,65.7909927368164
2010-04-27,64.40467071533203
2010-04-28,62.86181640625
2010-04-29,62.839439392089844
