Date,CNNE
2017-11-20,17.66537094116211
2017-11-21,17.012165069580078
2017-11-22,16.983346939086914
2017-11-24,17.30994987487793
2017-11-27,17.42521858215332
2017-11-28,17.72300910949707
2017-11-29,17.607736587524414
2017-11-30,17.492464065551758
2017-12-01,17.012165069580078
2017-12-04,15.782602310180664
2017-12-05,16.234081268310547
2017-12-06,16.061172485351562
2017-12-07,16.30132484436035
2017-12-08,16.44541358947754
2017-12-11,16.358959197998047
2017-12-12,16.195659637451172
2017-12-13,16.17644500732422
2017-12-14,15.955511093139648
2017-12-15,16.032358169555664
2017-12-18,16.109201431274414
2017-12-19,15.85944938659668
2017-12-20,16.032358169555664
2017-12-21,16.253293991088867
2017-12-22,16.349355697631836
2017-12-26,16.44541358947754
2017-12-27,16.42620086669922
2017-12-28,16.560684204101562
2017-12-29,16.358959197998047
2018-01-02,16.291717529296875
2018-01-03,16.26289939880371
2018-01-04,16.368568420410156
2018-01-05,16.272504806518555
2018-01-08,16.464624404907227
2018-01-09,16.30132484436035
2018-01-10,16.253293991088867
2018-01-11,16.32053565979004
2018-01-12,16.42620086669922
2018-01-16,16.089994430541992
2018-01-17,17.040985107421875
2018-01-18,17.1274356842041
2018-01-19,17.674978256225586
2018-01-22,17.530887603759766
2018-01-23,17.30994987487793
2018-01-24,17.29073715209961
2018-01-25,17.021770477294922
2018-01-26,16.983346939086914
2018-01-29,16.810440063476562
2018-01-30,16.839256286621094
2018-01-31,16.72398567199707
2018-02-01,16.877681732177734
2018-02-02,16.551076889038086
2018-02-05,16.022750854492188
2018-02-06,16.272504806518555
2018-02-07,16.483837127685547
2018-02-08,16.022750854492188
2018-02-09,16.253293991088867
2018-02-12,16.483837127685547
2018-02-13,16.79122543334961
2018-02-14,17.204282760620117
2018-02-15,16.95452880859375
2018-02-16,17.473251342773438
2018-02-20,17.05059051513672
2018-02-21,17.213890075683594
2018-02-22,17.002559661865234
2018-02-23,17.165861129760742
2018-02-26,17.530887603759766
2018-02-27,17.473251342773438
2018-02-28,17.655763626098633
2018-03-01,17.87670135498047
2018-03-02,17.91512680053711
2018-03-05,18.222517013549805
2018-03-06,17.963157653808594
2018-03-07,18.31857681274414
2018-03-08,18.347394943237305
2018-03-09,18.25133514404297
2018-03-12,18.020790100097656
2018-03-13,18.06882095336914
2018-03-14,17.85749053955078
2018-03-15,18.049610137939453
2018-03-16,17.867095947265625
2018-03-19,18.67399787902832
2018-03-20,18.289762496948242
2018-03-21,18.203306198120117
2018-03-22,18.030397415161133
2018-03-23,17.81906509399414
2018-03-26,18.23212242126465
2018-03-27,17.991971969604492
2018-03-28,18.184093475341797
2018-03-29,18.116849899291992
2018-04-02,17.80946159362793
2018-04-03,17.85749053955078
2018-04-04,17.972761154174805
2018-04-05,18.078426361083984
2018-04-06,18.030397415161133
2018-04-09,17.934337615966797
2018-04-10,18.088029861450195
2018-04-11,18.12645721435547
2018-04-12,18.174484252929688
2018-04-13,18.539512634277344
2018-04-16,18.510696411132812
2018-04-17,19.125476837158203
2018-04-18,19.18311309814453
2018-04-19,18.885330200195312
2018-04-20,19.30799102783203
2018-04-23,19.701831817626953
2018-04-24,19.84592628479004
2018-04-25,19.538536071777344
2018-04-26,19.884349822998047
2018-04-27,19.836320877075195
2018-04-30,19.84592628479004
2018-05-01,19.82671356201172
2018-05-02,19.769075393676758
2018-05-03,19.97080421447754
2018-05-04,20.153316497802734
2018-05-07,20.287799835205078
2018-05-08,20.335826873779297
2018-05-09,20.34543800354004
2018-05-10,20.00922393798828
2018-05-11,19.95159149169922
2018-05-14,19.48089599609375
2018-05-15,19.317596435546875
2018-05-16,19.20232582092285
2018-05-17,19.615381240844727
2018-05-18,19.231143951416016
2018-05-21,19.298383712768555
2018-05-22,19.07744598388672
2018-05-23,19.087053298950195
2018-05-24,19.394445419311523
2018-05-25,19.45207977294922
2018-05-29,19.442474365234375
2018-05-30,19.404050827026367
2018-05-31,19.20232582092285
2018-06-01,19.279172897338867
2018-06-04,19.394445419311523
2018-06-05,19.64419937133789
2018-06-06,19.66341209411621
2018-06-07,19.404050827026367
2018-06-08,19.74986457824707
2018-06-11,19.461687088012695
2018-06-12,19.82671356201172
2018-06-13,19.47129249572754
2018-06-14,19.605775833129883
2018-06-15,19.346412658691406
2018-06-18,19.673015594482422
2018-06-19,19.500110626220703
2018-06-20,19.250356674194336
2018-06-21,18.981388092041016
2018-06-22,18.64518165588379
2018-06-25,18.337787628173828
2018-06-26,18.164878845214844
2018-06-27,17.674978256225586
2018-06-28,17.71339988708496
2018-06-29,17.81906509399414
2018-07-02,17.751821517944336
2018-07-03,17.73261070251465
2018-07-05,17.847885131835938
2018-07-06,17.92473030090332
2018-07-09,18.164878845214844
2018-07-10,18.212907791137695
2018-07-11,18.462663650512695
2018-07-12,18.67399787902832
2018-07-13,18.750843048095703
2018-07-16,18.875720977783203
2018-07-17,18.904539108276367
2018-07-18,19.05823516845703
2018-07-19,19.01020622253418
2018-07-20,18.990991592407227
2018-07-23,18.837299346923828
2018-07-24,18.914146423339844
2018-07-25,18.875720977783203
2018-07-26,18.68360137939453
2018-07-27,18.193700790405273
2018-07-30,17.492464065551758
2018-07-31,17.530887603759766
2018-08-01,17.607736587524414
2018-08-02,17.578916549682617
2018-08-03,17.79985237121582
2018-08-06,18.14566993713379
2018-08-07,18.10724449157715
2018-08-08,18.529909133911133
2018-08-09,18.078426361083984
2018-08-10,18.10724449157715
2018-08-13,17.434829711914062
2018-08-14,17.77103614807129
2018-08-15,17.972761154174805
2018-08-16,18.568328857421875
