Date,CMTG
2021-11-03,12.68192195892334
2021-11-04,12.68192195892334
2021-11-05,12.711761474609375
2021-11-08,12.644621849060059
2021-11-09,12.644621849060059
2021-11-10,12.644621849060059
2021-11-11,12.413362503051758
2021-11-12,12.383523941040039
2021-11-15,12.711761474609375
2021-11-16,12.719220161437988
2021-11-17,12.9952392578125
2021-11-18,13.316018104553223
2021-11-19,13.092217445373535
2021-11-22,13.077298164367676
2021-11-23,12.935561180114746
2021-11-24,12.711761474609375
2021-11-26,12.72668170928955
2021-11-29,12.607320785522461
2021-11-30,12.72668170928955
2021-12-01,12.980320930480957
2021-12-02,13.66663646697998
2021-12-03,13.689013481140137
2021-12-06,13.129520416259766
2021-12-07,12.763981819152832
2021-12-08,12.637161254882812
2021-12-09,12.525263786315918
2021-12-10,12.838580131530762
2021-12-13,12.271623611450195
2021-12-14,12.361143112182617
2021-12-15,11.562929153442383
2021-12-16,12.017985343933105
2021-12-17,12.510344505310059
2021-12-20,11.906087875366211
2021-12-21,12.010525703430176
2021-12-22,11.99560546875
2021-12-23,12.070204734802246
2021-12-27,12.04782485961914
2021-12-28,12.070204734802246
2021-12-29,11.935925483703613
2021-12-30,12.019927978515625
2021-12-31,12.516302108764648
2022-01-03,12.630851745605469
2022-01-04,12.867586135864258
2022-01-05,12.913403511047363
2022-01-06,12.79885482788086
2022-01-07,12.95158576965332
2022-01-10,13.020316123962402
2022-01-11,13.845062255859375
2022-01-12,13.906152725219727
2022-01-13,13.852699279785156
2022-01-14,13.761059761047363
2022-01-18,14.165797233581543
2022-01-19,13.92906379699707
2022-01-20,13.814517974853516
2022-01-21,13.669421195983887
2022-01-24,13.295230865478516
2022-01-25,13.48614501953125
2022-01-26,13.531963348388672
2022-01-27,13.394508361816406
2022-01-28,13.631240844726562
2022-01-31,13.48614501953125
2022-02-01,13.302867889404297
2022-02-02,13.432689666748047
2022-02-03,13.547237396240234
2022-02-04,13.440325736999512
2022-02-07,12.714853286743164
2022-02-08,13.463235855102539
2022-02-09,13.50141716003418
2022-02-10,13.48614501953125
2022-02-11,13.547237396240234
2022-02-14,13.608328819274902
2022-02-15,12.966858863830566
2022-02-16,12.791219711303711
2022-02-17,12.745401382446289
2022-02-18,12.753036499023438
2022-02-22,12.478121757507324
2022-02-23,13.096681594848633
2022-02-24,13.257049560546875
2022-02-25,13.195956230163574
2022-02-28,13.104318618774414
2022-03-01,13.363960266113281
2022-03-02,13.2265043258667
2022-03-03,12.982132911682129
2022-03-04,12.844674110412598
2022-03-07,13.073774337768555
2022-03-08,12.730127334594727
2022-03-09,12.982132911682129
2022-03-10,13.394508361816406
2022-03-11,13.127227783203125
2022-03-14,13.371597290039062
2022-03-15,13.173046112060547
