Date,CTO
2010-01-04,6.0808820724487305
2010-01-05,6.001427173614502
2010-01-06,5.9169020652771
2010-01-07,6.011571407318115
2010-01-08,6.030167102813721
2010-01-11,6.075811386108398
2010-01-12,6.055525302886963
2010-01-13,6.045380592346191
2010-01-14,6.1873884201049805
2010-01-15,6.0994791984558105
2010-01-19,6.0589070320129395
2010-01-20,5.905067443847656
2010-01-21,5.663320541381836
2010-01-22,5.587244033813477
2010-01-25,5.643033027648926
2010-01-26,5.511169910430908
2010-01-27,5.639651775360107
2010-01-28,5.54498291015625
2010-01-29,5.592316150665283
2010-02-01,5.5855512619018555
2010-02-02,5.468904972076416
2010-02-03,5.409737586975098
2010-02-04,5.284637451171875
2010-02-05,5.301544189453125
2010-02-08,5.09861421585083
2010-02-09,5.193314552307129
2010-02-10,5.186549663543701
2010-02-11,5.326909065246582
2010-02-12,5.274486064910889
2010-02-16,5.3083062171936035
2010-02-17,5.394552707672119
2010-02-18,5.428374290466309
2010-02-19,5.43513822555542
2010-02-22,5.433445930480957
2010-02-23,5.360729694366455
2010-02-24,5.403006553649902
2010-02-25,5.330290794372559
2010-02-26,5.370877742767334
2010-03-01,5.382713794708252
2010-03-02,5.453739643096924
2010-03-03,5.497708320617676
2010-03-04,5.528146266937256
2010-03-05,5.783502578735352
2010-03-08,5.729386806488037
2010-03-09,5.918789863586426
2010-03-10,6.033782005310059
2010-03-11,6.010106563568115
2010-03-12,6.003341197967529
2010-03-15,5.954300403594971
2010-03-16,5.94077205657959
2010-03-17,5.8021016120910645
2010-03-18,5.8156328201293945
2010-03-19,5.585644245147705
2010-03-22,5.578877925872803
2010-03-23,5.6059370040893555
2010-03-24,5.496016025543213
2010-03-25,5.512928485870361
2010-03-26,5.494324684143066
2010-03-29,5.421609878540039
2010-03-30,5.470651149749756
2010-03-31,5.328598976135254
2010-04-01,5.396244049072266
2010-04-05,5.494324684143066
2010-04-06,5.4841790199279785
2010-04-07,5.685417175292969
2010-04-08,5.698947429656982
2010-04-09,5.53829288482666
2010-04-12,5.423299789428711
2010-04-13,5.531530380249023
2010-04-14,5.727694511413574
2010-04-15,5.741225719451904
2010-04-16,5.86129093170166
2010-04-19,5.854527473449707
2010-04-20,5.840995788574219
2010-04-21,5.824088096618652
2010-04-22,5.7868852615356445
2010-04-23,5.846071720123291
2010-04-26,5.840995788574219
2010-04-27,5.791957378387451
2010-04-28,5.69049072265625
2010-04-29,5.879894256591797
2010-04-30,5.7801194190979
2010-05-03,5.825778484344482
2010-05-04,5.724312782287598
2010-05-05,5.497708320617676
2010-05-06,5.240664958953857
2010-05-07,5.235591411590576
2010-05-10,5.616085529327393
2010-05-11,5.709094047546387
2010-05-12,5.813971519470215
2010-05-13,5.8258137702941895
2010-05-14,5.6498870849609375
2010-05-17,5.653271198272705
2010-05-18,5.644814968109131
2010-05-19,5.4891886711120605
2010-05-20,5.18977689743042
2010-05-21,5.147489070892334
2010-05-24,5.110272407531738
2010-05-25,5.115346908569336
2010-05-26,4.788871765136719
2010-05-27,5.171169757843018
2010-05-28,5.0324602127075195
2010-06-01,4.978329181671143
2010-06-02,5.117040634155273
2010-06-03,5.169478416442871
2010-06-04,4.952956199645996
