Date,DLB
2010-01-04,37.73481750488281
2010-01-05,37.93588638305664
2010-01-06,38.61648941040039
2010-01-07,39.0650749206543
2010-01-08,39.39763259887695
2010-01-11,38.771183013916016
2010-01-12,38.63969421386719
2010-01-13,39.42084503173828
2010-01-14,39.575523376464844
2010-01-15,38.771183013916016
2010-01-19,38.879451751708984
2010-01-20,38.098297119140625
2010-01-21,38.17565155029297
2010-01-22,36.837646484375
2010-01-25,39.02640914916992
2010-01-26,38.34579849243164
2010-01-27,38.85624694824219
2010-01-28,38.879451751708984
2010-01-29,38.92585754394531
2010-02-01,39.52137756347656
2010-02-02,39.134681701660156
2010-02-03,38.69383239746094
2010-02-04,39.38991165161133
2010-02-05,40.54229736328125
2010-02-08,39.59099578857422
2010-02-09,40.008644104003906
2010-02-10,40.46495056152344
2010-02-11,40.882606506347656
2010-02-12,41.052734375
2010-02-16,41.0759391784668
2010-02-17,41.052734375
2010-02-18,41.083675384521484
2010-02-19,41.38530731201172
2010-02-22,40.789798736572266
2010-02-23,40.5113639831543
2010-02-24,40.604164123535156
2010-02-25,40.59642028808594
2010-02-26,41.19969177246094
2010-03-01,42.41394805908203
2010-03-02,43.13322067260742
2010-03-03,43.28790283203125
2010-03-04,43.34979248046875
2010-03-05,43.968502044677734
2010-03-08,43.86796569824219
2010-03-09,43.736473083496094
2010-03-10,44.069061279296875
2010-03-11,44.30881118774414
2010-03-12,44.7883186340332
2010-03-15,44.29334259033203
2010-03-16,44.13093185424805
2010-03-17,45.45346450805664
2010-03-18,45.40705871582031
2010-03-19,44.85795211791992
2010-03-22,45.44572448730469
2010-03-23,45.9097785949707
2010-03-24,45.36838150024414
2010-03-25,45.476661682128906
2010-03-26,45.77829360961914
2010-03-29,45.8711051940918
2010-03-30,45.685489654541016
2010-03-31,45.37611389160156
2010-04-01,45.71642303466797
2010-04-05,46.37382125854492
2010-04-06,45.70095443725586
2010-04-07,45.86335372924805
2010-04-08,45.39932632446289
2010-04-09,45.91753005981445
2010-04-12,45.484397888183594
2010-04-13,45.15956497192383
2010-04-14,45.81697463989258
2010-04-15,45.70095443725586
2010-04-16,45.73188018798828
2010-04-19,45.3529167175293
2010-04-20,46.00257873535156
2010-04-21,46.42797088623047
2010-04-22,47.038944244384766
2010-04-23,47.58808135986328
2010-04-26,48.21452713012695
2010-04-27,47.851036071777344
2010-04-28,47.858768463134766
2010-04-29,48.353755950927734
2010-04-30,53.14892578125
2010-05-03,52.80861282348633
2010-05-04,51.12257385253906
2010-05-05,51.223121643066406
2010-05-06,50.44972229003906
2010-05-07,49.33599090576172
2010-05-10,52.4373893737793
2010-05-11,51.888248443603516
2010-05-12,53.07157516479492
2010-05-13,51.94239044189453
2010-05-14,50.00886154174805
2010-05-17,49.676300048828125
2010-05-18,49.2818489074707
2010-05-19,48.9183464050293
2010-05-20,46.86880874633789
2010-05-21,47.92064666748047
2010-05-24,48.02118682861328
2010-05-25,47.951576232910156
2010-05-26,49.18904495239258
2010-05-27,51.60209655761719
2010-05-28,51.052978515625
2010-06-01,50.27183151245117
