Date,AA
2010-01-04,35.45497131347656
2010-01-05,34.34767150878906
2010-01-06,36.13639450073242
2010-01-07,35.36978530883789
2010-01-08,36.242862701416016
2010-01-11,37.15851593017578
2010-01-12,33.0487174987793
2010-01-13,34.02824020385742
2010-01-14,33.66625213623047
2010-01-15,33.282958984375
2010-01-19,33.26166915893555
2010-01-20,32.431182861328125
2010-01-21,30.344343185424805
2010-01-22,28.534334182739258
2010-01-25,28.513036727905273
2010-01-26,28.83245277404785
2010-01-27,28.321382522583008
2010-01-28,27.512203216552734
2010-01-29,27.107622146606445
2010-02-01,28.44915771484375
2010-02-02,29.109275817871094
2010-02-03,28.78916358947754
2010-02-04,27.551382064819336
2010-02-05,28.127580642700195
2010-02-08,27.871496200561523
2010-02-09,28.34099769592285
2010-02-10,28.084901809692383
2010-02-11,28.981229782104492
2010-02-12,28.34099769592285
2010-02-16,29.322694778442383
2010-02-17,29.02390480041504
2010-02-18,29.045251846313477
2010-02-19,28.874521255493164
2010-02-22,28.895872116088867
2010-02-23,28.127580642700195
2010-02-24,27.871496200561523
2010-02-25,28.405027389526367
2010-02-26,28.383670806884766
2010-03-01,28.405027389526367
2010-03-02,28.255624771118164
2010-03-03,28.469039916992188
2010-03-04,28.661113739013672
2010-03-05,29.53609848022461
2010-03-08,29.408052444458008
2010-03-09,29.17329978942871
2010-03-10,28.959884643554688
2010-03-11,29.109275817871094
2010-03-12,29.02390480041504
2010-03-15,28.831838607788086
2010-03-16,29.450740814208984
2010-03-17,30.859254837036133
2010-03-18,30.51778793334961
2010-03-19,30.43242645263672
2010-03-22,30.603147506713867
2010-03-23,30.944616317749023
2010-03-24,30.560468673706055
2010-03-25,30.112316131591797
2010-03-26,30.45377540588379
2010-03-29,30.816572189331055
2010-03-30,30.7311954498291
2010-03-31,30.389747619628906
2010-04-01,31.37143898010254
2010-04-05,31.43546485900879
2010-04-06,32.07569122314453
2010-04-07,31.456787109375
2010-04-08,31.734235763549805
2010-04-09,30.709869384765625
2010-04-12,31.0939998626709
2010-04-13,30.603147506713867
2010-04-14,30.795230865478516
2010-04-15,30.539127349853516
2010-04-16,29.685483932495117
2010-04-19,29.280004501342773
2010-04-20,29.344039916992188
2010-04-21,29.258655548095703
2010-04-22,29.55743980407715
2010-04-23,30.112316131591797
2010-04-26,29.98426628112793
2010-04-27,28.68245506286621
2010-04-28,28.959884643554688
2010-04-29,29.280004501342773
2010-04-30,28.661113739013672
2010-05-03,28.06356430053711
2010-05-04,26.847118377685547
2010-05-05,26.654584884643555
2010-05-06,25.542205810546875
2010-05-07,25.67055320739746
2010-05-10,26.93268585205078
2010-05-11,25.948644638061523
2010-05-12,26.654584884643555
2010-05-13,27.381919860839844
2010-05-14,26.4406681060791
2010-05-17,25.884469985961914
2010-05-18,25.285497665405273
2010-05-19,25.199922561645508
2010-05-20,23.68108367919922
2010-05-21,24.28006362915039
2010-05-24,23.723865509033203
2010-05-25,24.1731014251709
2010-05-26,24.066139221191406
2010-05-27,25.285497665405273
2010-05-28,24.900434494018555
2010-06-01,23.937788009643555
2010-06-02,24.55816078186035
2010-06-03,24.322837829589844
2010-06-04,23.189067840576172
2010-06-07,22.483125686645508
2010-06-08,23.017925262451172
2010-06-09,23.10349464416504
2010-06-10,24.066139221191406
2010-06-11,24.30145835876465
2010-06-14,24.258678436279297
2010-06-15,24.793474197387695
2010-06-16,24.408414840698242
2010-06-17,23.91640281677246
2010-06-18,23.76665496826172
2010-06-21,25.07157325744629
2010-06-22,24.15171241760254
