Date,CBSH
2010-01-04,18.07084083557129
2010-01-05,18.038637161254883
2010-01-06,17.969621658325195
2010-01-07,18.39287757873535
2010-01-08,18.162853240966797
2010-01-11,18.27785873413086
2010-01-12,18.218059539794922
2010-01-13,18.213457107543945
2010-01-14,18.793119430541992
2010-01-15,18.733314514160156
2010-01-19,18.733314514160156
2010-01-20,18.765512466430664
2010-01-21,19.041547775268555
2010-01-22,18.682703018188477
2010-01-25,18.7379093170166
2010-01-26,18.498687744140625
2010-01-27,18.85292625427246
2010-01-28,18.618301391601562
2010-01-29,18.208845138549805
2010-02-01,18.27326011657715
2010-02-02,18.05703353881836
2010-02-03,17.850017547607422
2010-02-04,17.449769973754883
2010-02-05,17.68439483642578
2010-02-08,17.385364532470703
2010-02-09,17.53717803955078
2010-02-10,17.81781005859375
2010-02-11,17.923616409301758
2010-02-12,17.978830337524414
2010-02-16,18.22265625
2010-02-17,18.291658401489258
2010-02-18,18.3238582611084
2010-02-19,18.406675338745117
2010-02-22,18.659709930419922
2010-02-23,18.581497192382812
2010-02-24,18.862123489379883
2010-02-25,18.756317138671875
2010-02-26,18.63670539855957
2010-03-01,18.549283981323242
2010-03-02,18.581497192382812
2010-03-03,18.553892135620117
2010-03-04,18.52629280090332
2010-03-05,18.811521530151367
2010-03-08,18.739797592163086
2010-03-09,18.60098648071289
2010-03-10,18.684282302856445
2010-03-11,18.587112426757812
2010-03-12,18.46217918395996
2010-03-15,18.503812789916992
2010-03-16,18.860109329223633
2010-03-17,19.13772964477539
2010-03-18,19.170120239257812
2010-03-19,19.012800216674805
2010-03-22,19.25803565979004
2010-03-23,19.313562393188477
2010-03-24,19.040563583374023
2010-03-25,18.989669799804688
2010-03-26,18.84160041809082
2010-03-29,18.873987197875977
2010-03-30,18.93414306640625
2010-03-31,19.035930633544922
2010-04-01,19.035930633544922
2010-04-05,19.05907440185547
2010-04-06,19.281177520751953
2010-04-07,19.142356872558594
2010-04-08,19.253406524658203
2010-04-09,19.4014835357666
2010-04-12,19.452375411987305
2010-04-13,18.87861442565918
2010-04-14,19.313562393188477
2010-04-15,19.068330764770508
2010-04-16,18.795331954956055
2010-04-19,18.98042106628418
2010-04-20,19.350582122802734
2010-04-21,19.6883602142334
2010-04-22,19.90120506286621
2010-04-23,19.845678329467773
2010-04-26,19.25803565979004
2010-04-27,19.128475189208984
2010-04-28,19.156240463256836
2010-04-29,19.42461585998535
2010-04-30,19.16550064086914
2010-05-03,19.184005737304688
2010-05-04,18.795331954956055
2010-05-05,18.79994773864746
2010-05-06,18.124391555786133
2010-05-07,17.97632598876953
2010-05-10,18.577861785888672
2010-05-11,18.76757049560547
2010-05-12,18.78607177734375
2010-05-13,18.52232551574707
2010-05-14,18.101261138916016
2010-05-17,18.392765045166016
2010-05-18,17.791248321533203
2010-05-19,17.638553619384766
2010-05-20,16.898204803466797
2010-05-21,17.222105026245117
2010-05-24,16.98612403869629
2010-05-25,17.018516540527344
2010-05-26,16.981504440307617
2010-05-27,17.342411041259766
2010-05-28,17.198976516723633
2010-06-01,16.773277282714844
2010-06-02,17.27300453186035
2010-06-03,17.198976516723633
2010-06-04,16.615957260131836
2010-06-07,16.57431411743164
2010-06-08,16.801036834716797
2010-06-09,16.626384735107422
2010-06-10,17.217863082885742
2010-06-11,17.19457244873047
2010-06-14,17.31566619873047
2010-06-15,17.501956939697266
2010-06-16,17.394840240478516
2010-06-17,17.47867202758789
2010-06-18,17.460039138793945
2010-06-21,17.236495971679688
2010-06-22,17.138690948486328
2010-06-23,17.106094360351562
2010-06-24,16.998971939086914
2010-06-25,16.98966407775879
2010-06-28,17.068838119506836
2010-06-29,16.90582847595215
2010-06-30,16.761457443237305
2010-07-01,16.57516098022461
2010-07-02,16.477352142333984
2010-07-06,16.621734619140625
2010-07-07,17.3808650970459
2010-07-08,17.31101417541504
2010-07-09,17.51127815246582
2010-07-12,17.371557235717773
2010-07-13,17.883852005004883
2010-07-14,17.548526763916016
2010-07-15,17.83262825012207
2010-07-16,17.357580184936523
2010-07-19,17.446067810058594
2010-07-20,17.590444564819336
2010-07-21,17.171295166015625
2010-07-22,17.716196060180664
2010-07-23,17.809345245361328
2010-07-26,18.25177764892578
2010-07-27,18.340267181396484
2010-07-28,18.18657112121582
2010-07-29,18.233142852783203
2010-07-30,18.233142852783203
2010-08-02,18.59174919128418
2010-08-03,18.493955612182617
2010-08-04,18.55915641784668
2010-08-05,18.46601104736328
2010-08-06,18.237804412841797
2010-08-09,18.414783477783203
2010-08-10,18.17259979248047
2010-08-11,17.646339416503906
2010-08-12,17.497304916381836
2010-08-13,17.404165267944336
2010-08-16,17.436758041381836
2010-08-17,17.520587921142578
2010-08-18,17.54387855529785
2010-08-19,17.324987411499023
2010-08-20,17.227176666259766
2010-08-23,17.138690948486328
2010-08-24,16.9523983001709
2010-08-25,16.95705795288086
2010-08-26,16.766115188598633
2010-08-27,17.02691650390625
2010-08-30,16.649681091308594
2010-08-31,16.640365600585938
2010-09-01,17.06417465209961
2010-09-02,17.245811462402344
2010-09-03,17.50661277770996
2010-09-07,17.10591697692871
2010-09-08,17.354299545288086
2010-09-09,17.546449661254883
2010-09-10,17.583946228027344
2010-09-13,17.837011337280273
2010-09-14,17.64018440246582
2010-09-15,17.747970581054688
2010-09-16,17.733911514282227
2010-09-17,17.64956283569336
2010-09-20,18.024484634399414
2010-09-21,17.794841766357422
2010-09-22,17.644874572753906
2010-09-23,17.438661575317383
2010-09-24,17.865140914916992
2010-09-27,17.555824279785156
2010-09-28,17.58863639831543
