Date,FDBC
2010-01-04,6.133097171783447
2010-01-05,5.845608711242676
2010-01-06,6.037265777587891
2010-01-07,6.037265777587891
2010-01-08,6.037265777587891
2010-01-11,6.037265777587891
2010-01-12,6.133097171783447
2010-01-13,5.768940448760986
2010-01-14,6.129262447357178
2010-01-15,5.941436290740967
2010-01-19,5.941436290740967
2010-01-20,5.941436290740967
2010-01-21,5.941436290740967
2010-01-22,5.941436290740967
2010-01-25,5.768940448760986
2010-01-26,5.768940448760986
2010-01-27,5.768940448760986
2010-01-28,5.776609897613525
2010-01-29,5.776609897613525
2010-02-01,5.788110733032227
2010-02-02,5.788110733032227
2010-02-03,5.845608711242676
2010-02-04,5.845608711242676
2010-02-05,5.845608711242676
2010-02-08,5.941436290740967
2010-02-09,5.941436290740967
2010-02-10,5.941436290740967
2010-02-11,6.037265777587891
2010-02-12,6.134642601013184
2010-02-16,5.91262674331665
2010-02-17,5.91262674331665
2010-02-18,6.037266254425049
2010-02-19,6.037266254425049
2010-02-22,6.232019901275635
2010-02-23,6.037266254425049
2010-02-24,6.037266254425049
2010-02-25,6.037266254425049
2010-02-26,6.037266254425049
2010-03-01,6.037266254425049
2010-03-02,6.037266254425049
2010-03-03,6.212540626525879
2010-03-04,6.212540626525879
2010-03-05,6.212540626525879
2010-03-08,6.212540626525879
2010-03-09,6.216436862945557
2010-03-10,6.212540626525879
2010-03-11,6.232019901275635
2010-03-12,6.232019901275635
2010-03-15,6.232019901275635
2010-03-16,6.232019901275635
2010-03-17,6.232019901275635
2010-03-18,5.74514102935791
2010-03-19,5.74514102935791
2010-03-22,5.74514102935791
2010-03-23,5.74514102935791
2010-03-24,5.74514102935791
2010-03-25,5.74514102935791
2010-03-26,5.939892768859863
2010-03-29,5.939892768859863
2010-03-30,5.939892768859863
2010-03-31,5.8425140380859375
2010-04-01,5.8425140380859375
2010-04-05,5.74514102935791
2010-04-06,5.647767066955566
2010-04-07,5.881466865539551
2010-04-08,5.550389289855957
2010-04-09,5.355639457702637
2010-04-12,5.160889148712158
2010-04-13,5.238788604736328
2010-04-14,5.258265018463135
2010-04-15,5.098569869995117
2010-04-16,5.355639457702637
2010-04-19,5.355639457702637
2010-04-20,5.355639457702637
2010-04-21,5.4530158042907715
2010-04-22,5.355639457702637
2010-04-23,5.355639457702637
2010-04-26,5.355639457702637
2010-04-27,5.258265018463135
2010-04-28,5.258265018463135
2010-04-29,5.1024651527404785
2010-04-30,5.1024651527404785
2010-05-03,5.1024651527404785
2010-05-04,5.258265018463135
2010-05-05,5.355639457702637
2010-05-06,5.375116348266602
2010-05-07,5.4530158042907715
2010-05-10,5.4530158042907715
2010-05-11,5.258265018463135
2010-05-12,5.3595356941223145
2010-05-13,5.258265018463135
2010-05-14,5.355639457702637
2010-05-17,5.180365085601807
2010-05-18,5.279605388641357
2010-05-19,5.279605388641357
2010-05-20,5.279605388641357
2010-05-21,5.279605388641357
2010-05-24,5.358998775482178
2010-05-25,5.160516262054443
2010-05-26,5.160516262054443
2010-05-27,5.339150428771973
2010-05-28,4.783401012420654
2010-06-01,4.954095840454102
2010-06-02,4.862795352935791
2010-06-03,4.862795352935791
2010-06-04,4.862795352935791
2010-06-07,4.862795352935791
2010-06-08,4.962035179138184
2010-06-09,4.962035179138184
2010-06-10,5.358998775482178
2010-06-11,5.358998775482178
2010-06-14,5.358998775482178
2010-06-15,5.557478427886963
2010-06-16,5.557478427886963
2010-06-17,5.458240032196045
2010-06-18,5.458240032196045
2010-06-21,5.458240032196045
2010-06-22,5.362967491149902
2010-06-23,5.358998775482178
2010-06-24,5.358998775482178
2010-06-25,5.358998775482178
2010-06-28,5.557478427886963
2010-06-29,5.557478427886963
2010-06-30,5.557478427886963
2010-07-01,5.557478427886963
2010-07-02,5.557478427886963
2010-07-06,5.557478427886963
2010-07-07,5.061275005340576
2010-07-08,5.061275005340576
2010-07-09,5.061275005340576
2010-07-12,5.061275005340576
2010-07-13,5.061275005340576
2010-07-14,5.061275005340576
2010-07-15,5.061275005340576
2010-07-16,5.061275005340576
2010-07-19,5.160516262054443
2010-07-20,5.160516262054443
2010-07-21,5.259757995605469
2010-07-22,5.259757995605469
2010-07-23,5.279605388641357
2010-07-26,5.279605388641357
2010-07-27,5.263729095458984
2010-07-28,5.160516262054443
2010-07-29,5.160516262054443
2010-07-30,5.656719207763672
2010-08-02,5.85520076751709
2010-08-03,5.954442501068115
2010-08-04,5.954442501068115
2010-08-05,5.954442501068115
2010-08-06,5.954442501068115
2010-08-09,5.954442501068115
2010-08-10,6.351405620574951
2010-08-11,6.549887657165527
2010-08-12,6.549887657165527
2010-08-13,6.549887657165527
2010-08-16,6.450643062591553
2010-08-17,6.450643062591553
2010-08-18,6.551433086395264
2010-08-19,6.8538126945495605
2010-08-20,6.8538126945495605
2010-08-23,6.8538126945495605
2010-08-24,6.8538126945495605
2010-08-25,6.8538126945495605
2010-08-26,7.6601409912109375
2010-08-27,7.6601409912109375
2010-08-30,7.6601409912109375
2010-08-31,7.6601409912109375
2010-09-01,7.256974220275879
2010-09-02,7.256974220275879
2010-09-03,7.256974220275879
2010-09-07,7.256974220275879
2010-09-08,7.256974220275879
2010-09-09,7.256974220275879
2010-09-10,7.055395603179932
2010-09-13,7.357767581939697
2010-09-14,7.357767581939697
2010-09-15,7.357767581939697
2010-09-16,7.357767581939697
2010-09-17,7.357767581939697
2010-09-20,7.357767581939697
2010-09-21,7.357767581939697
2010-09-22,7.357767581939697
2010-09-23,7.357767581939697
2010-09-24,7.357767581939697
