Date,GNE
2011-10-26,5.897108554840088
2011-10-27,5.897108554840088
2011-10-28,6.267391681671143
2011-10-31,5.691396236419678
2011-11-01,5.478825569152832
2011-11-02,5.259396076202393
2011-11-03,4.697114944458008
2011-11-04,5.334826469421387
2011-11-07,5.1633992195129395
2011-11-08,5.101683616638184
2011-11-09,4.9371137619018555
2011-11-10,4.786256790161133
2011-11-11,4.731400489807129
2011-11-14,4.751972198486328
2011-11-15,4.779399394989014
2011-11-16,5.074256896972656
2011-11-17,4.978257179260254
2011-11-18,4.985114097595215
2011-11-21,4.950827598571777
2011-11-22,4.861685276031494
2011-11-23,4.683401107788086
2011-11-25,4.669687271118164
2011-11-28,4.717684745788574
2011-11-29,4.717684745788574
2011-11-30,4.957685947418213
2011-12-01,5.005684852600098
2011-12-02,4.957685947418213
2011-12-05,5.0331130027771
2011-12-06,4.930255889892578
2011-12-07,4.813686847686768
2011-12-08,4.902827739715576
2011-12-09,5.417110919952393
2011-12-12,5.410253524780273
2011-12-13,5.252540588378906
2011-12-14,5.012542247772217
2011-12-15,5.046828746795654
2011-12-16,5.115397930145264
2011-12-19,5.039970874786377
2011-12-20,5.461118221282959
2011-12-21,5.426599025726318
2011-12-22,5.378269672393799
2011-12-23,5.392078399658203
2011-12-27,5.378269672393799
2011-12-28,5.316132068634033
2011-12-29,5.378269672393799
2011-12-30,5.474925994873047
2012-01-03,5.550872325897217
2012-01-04,5.523256301879883
2012-01-05,5.5301594734191895
2012-01-06,5.523256301879883
2012-01-09,5.792513847351074
2012-01-10,6.31722354888916
2012-01-11,6.420785427093506
2012-01-12,6.482922077178955
2012-01-13,6.489824295043945
2012-01-17,6.745274543762207
2012-01-18,7.124998569488525
2012-01-19,7.173328399658203
2012-01-20,7.180234909057617
2012-01-23,7.111191749572754
2012-01-24,7.180234909057617
2012-01-25,7.214752674102783
2012-01-26,6.793604373931885
2012-01-27,7.1388068199157715
2012-01-30,7.08357572555542
2012-01-31,7.221653938293457
2012-02-01,7.37354850769043
2012-02-02,7.366641521453857
2012-02-03,7.414968967437744
2012-02-06,7.601380825042725
2012-02-07,7.242366313934326
2012-02-08,7.2768874168396
2012-02-09,7.401159286499023
2012-02-10,7.1388068199157715
2012-02-13,7.159517765045166
