Date,DRH
2010-01-04,5.521667003631592
2010-01-05,5.776708126068115
2010-01-06,5.763956069946289
2010-01-07,5.872349262237549
2010-01-08,5.719324111938477
2010-01-11,5.929736137390137
2010-01-12,5.834092617034912
2010-01-13,6.025373458862305
2010-01-14,6.095513343811035
2010-01-15,6.101886749267578
2010-01-19,6.235784530639648
2010-01-20,6.223032474517822
2010-01-21,5.910604953765869
2010-01-22,5.623682022094727
2010-01-25,5.61093282699585
2010-01-26,5.41964864730835
2010-01-27,5.317632675170898
2010-01-28,5.343137741088867
2010-01-29,5.19011116027832
2010-02-01,5.253870964050293
2010-02-02,5.4642815589904785
2010-02-03,5.343137741088867
2010-02-04,5.119973182678223
2010-02-05,5.081717491149902
2010-02-08,5.03708553314209
2010-02-09,5.03708553314209
2010-02-10,5.081717491149902
2010-02-11,5.317632675170898
2010-02-12,5.426026821136475
2010-02-16,5.661940097808838
2010-02-17,5.661940097808838
2010-02-18,5.706573009490967
2010-02-19,5.693819999694824
2010-02-22,5.719324111938477
2010-02-23,5.693819999694824
2010-02-24,5.802213668823242
2010-02-25,5.725701808929443
2010-02-26,5.700195789337158
2010-03-01,5.355888366699219
2010-03-02,5.3112568855285645
2010-03-03,5.362264156341553
2010-03-04,5.41964864730835
2010-03-05,5.566299915313721
2010-03-08,5.61093282699585
2010-03-09,5.579051494598389
2010-03-10,5.630060195922852
2010-03-11,5.6683149337768555
2010-03-12,5.783086776733398
2010-03-15,5.7512054443359375
2010-03-16,5.891477584838867
2010-03-17,5.993494033813477
2010-03-18,5.974365711212158
2010-03-19,5.955239295959473
2010-03-22,5.980741500854492
2010-03-23,6.025373458862305
2010-03-24,6.184778690338135
2010-03-25,6.254913330078125
2010-03-26,6.261288642883301
2010-03-29,6.427066802978516
2010-03-30,6.427066802978516
2010-03-31,6.446193218231201
2010-04-01,6.427066802978516
2010-04-05,6.624724388122559
2010-04-06,6.694862365722656
2010-04-07,6.529083251953125
2010-04-08,6.4908294677734375
2010-04-09,6.4653239250183105
2010-04-12,6.439821243286133
2010-04-13,6.764998435974121
2010-04-14,6.988160610198975
2010-04-15,6.930774211883545
2010-04-16,6.586467266082764
2010-04-19,6.592844009399414
2010-04-20,6.713990688323975
2010-04-21,7.020041465759277
2010-04-22,7.3133368492126465
2010-04-23,7.275081634521484
2010-04-26,7.326094627380371
2010-04-27,7.020041465759277
2010-04-28,7.122056007385254
2010-04-29,7.4217329025268555
2010-04-30,7.007288932800293
2010-05-03,7.281457901000977
2010-05-04,6.918023586273193
2010-05-05,6.6566057205200195
2010-05-06,6.4015607833862305
2010-05-07,6.248537540435791
2010-05-10,6.764998435974121
2010-05-11,6.662981033325195
2010-05-12,6.879768371582031
2010-05-13,6.867014408111572
2010-05-14,6.592844009399414
2010-05-17,6.580092906951904
2010-05-18,6.2867889404296875
2010-05-19,6.172024726867676
2010-05-20,5.712948322296143
2010-05-21,6.127391338348389
2010-05-24,5.891477584838867
2010-05-25,5.413271903991699
2010-05-26,5.515290260314941
2010-05-27,5.840469837188721
2010-05-28,5.827716827392578
2010-06-01,5.5854268074035645
2010-06-02,5.802213668823242
2010-06-03,5.700195789337158
2010-06-04,5.324007987976074
2010-06-07,5.3112568855285645
2010-06-08,5.4642815589904785
2010-06-09,5.642809867858887
2010-06-10,5.808589935302734
2010-06-11,5.719324111938477
2010-06-14,5.789461612701416
2010-06-15,5.923358917236328
2010-06-16,5.802213668823242
2010-06-17,5.783086776733398
2010-06-18,5.719324111938477
2010-06-21,5.789461612701416
2010-06-22,5.738451957702637
2010-06-23,5.821342468261719
2010-06-24,5.712948322296143
2010-06-25,5.827716827392578
2010-06-28,5.763956069946289
2010-06-29,5.4642815589904785
2010-06-30,5.241119861602783
2010-07-01,5.221991062164307
2010-07-02,5.2793755531311035
2010-07-06,4.979701519012451
2010-07-07,5.241119861602783
2010-07-08,5.362264156341553
2010-07-09,5.604556083679199
2010-07-12,5.55992317199707
2010-07-13,5.885100841522217
2010-07-14,5.73207426071167
2010-07-15,5.700195789337158
2010-07-16,5.57267427444458
2010-07-19,5.5854268074035645
2010-07-20,5.591803073883057
2010-07-21,5.375016689300537
2010-07-22,5.566299915313721
2010-07-23,5.725701808929443
2010-07-26,6.108262062072754
2010-07-27,6.095513343811035
2010-07-28,5.9361090660095215
2010-07-29,5.910604953765869
2010-07-30,5.916980266571045
2010-08-02,6.1975297927856445
2010-08-03,6.242162227630615
2010-08-04,6.3824310302734375
2010-08-05,6.20390510559082
2010-08-06,6.274041652679443
2010-08-09,6.395185947418213
2010-08-10,6.076383590698242
2010-08-11,5.897852897644043
2010-08-12,5.789461612701416
2010-08-13,5.623682022094727
2010-08-16,5.700195789337158
2010-08-17,5.853221416473389
2010-08-18,5.891477584838867
2010-08-19,5.617307186126709
2010-08-20,5.553545951843262
2010-08-23,5.61093282699585
2010-08-24,5.483410358428955
2010-08-25,5.6683149337768555
2010-08-26,5.604556083679199
2010-08-27,5.789461612701416
2010-08-30,5.693819999694824
2010-08-31,5.5854268074035645
2010-09-01,5.693819999694824
2010-09-02,5.827716827392578
2010-09-03,6.025373458862305
2010-09-07,5.993494033813477
2010-09-08,5.987118244171143
2010-09-09,5.961615562438965
2010-09-10,5.904228687286377
2010-09-13,6.223032474517822
2010-09-14,6.274041652679443
2010-09-15,6.274041652679443
2010-09-16,6.184778690338135
2010-09-17,6.191153049468994
2010-09-20,6.4908294677734375
2010-09-21,6.344175815582275
2010-09-22,6.235784530639648
2010-09-23,5.923358917236328
2010-09-24,6.254913330078125
