Date,EVC
2010-01-04,1.807247281074524
2010-01-05,1.7443859577178955
2010-01-06,1.655333399772644
2010-01-07,1.7601019144058228
2010-01-08,1.7862939834594727
2010-01-11,1.7705786228179932
2010-01-12,1.7181940078735352
2010-01-13,1.7339094877243042
2010-01-14,1.723433017730713
2010-01-15,1.807247281074524
2010-01-19,1.7862939834594727
2010-01-20,1.7548632621765137
2010-01-21,1.686763882637024
2010-01-22,1.8282010555267334
2010-01-25,1.8020085096359253
2010-01-26,1.686763882637024
2010-01-27,1.6658105850219727
2010-01-28,1.5610431432724
2010-01-29,1.5558040142059326
2010-02-01,1.4719901084899902
2010-02-02,1.5453273057937622
2010-02-03,1.5924726724624634
2010-02-04,1.5296119451522827
2010-02-05,1.398652195930481
2010-02-08,1.4719901084899902
2010-02-09,1.508658528327942
2010-02-10,1.4929425716400146
2010-02-11,1.5243738889694214
2010-02-12,1.623903512954712
2010-02-16,1.723433017730713
2010-02-17,1.644856572151184
2010-02-18,1.6500951051712036
2010-02-19,1.655333399772644
2010-02-22,1.644856572151184
2010-02-23,1.6081881523132324
2010-02-24,1.6081881523132324
2010-02-25,1.5558040142059326
2010-02-26,1.5767570734024048
2010-03-01,1.6081881523132324
2010-03-02,1.6762871742248535
2010-03-03,1.6291413307189941
2010-03-04,1.686763882637024
2010-03-05,1.6134262084960938
2010-03-08,1.6134262084960938
2010-03-09,1.6186646223068237
2010-03-10,1.6396185159683228
2010-03-11,1.644856572151184
2010-03-12,1.623903512954712
2010-03-15,1.5400888919830322
2010-03-16,1.5296119451522827
2010-03-17,1.5453273057937622
2010-03-18,1.4929425716400146
2010-03-19,1.2834076881408691
2010-03-22,1.299122929573059
2010-03-23,1.3200758695602417
2010-03-24,1.356744647026062
2010-03-25,1.4038907289505005
2010-03-26,1.393413782119751
2010-03-29,1.4038907289505005
2010-03-30,1.4143673181533813
2010-03-31,1.4457974433898926
2010-04-01,1.4562746286392212
2010-04-05,1.5453273057937622
2010-04-06,1.550565481185913
2010-04-07,1.6081881523132324
2010-04-08,1.6500951051712036
2010-04-09,1.6762871742248535
2010-04-12,1.6605716943740845
2010-04-13,1.6605716943740845
2010-04-14,1.739147663116455
2010-04-15,1.817724347114563
2010-04-16,1.8020085096359253
2010-04-19,1.7705786228179932
2010-04-20,1.775816559791565
2010-04-21,1.7548632621765137
2010-04-22,1.775816559791565
2010-04-23,1.739147663116455
2010-04-26,1.7967703342437744
2010-04-27,1.7810554504394531
2010-04-28,1.8124854564666748
2010-04-29,1.7339094877243042
2010-04-30,1.6815258264541626
2010-05-03,1.7077176570892334
2010-05-04,1.655333399772644
2010-05-05,1.6134262084960938
2010-05-06,1.5662809610366821
2010-05-07,1.4405593872070312
2010-05-10,1.4772279262542725
2010-05-11,1.550565481185913
2010-05-12,1.6396185159683228
2010-05-13,1.6500951051712036
2010-05-14,1.571519136428833
2010-05-17,1.6081881523132324
2010-05-18,1.508658528327942
2010-05-19,1.4929425716400146
2010-05-20,1.3776986598968506
2010-05-21,1.393413782119751
2010-05-24,1.508658528327942
2010-05-25,1.4300823211669922
2010-05-26,1.4248439073562622
2010-05-27,1.5034199953079224
2010-05-28,1.5348504781723022
2010-06-01,1.4562746286392212
2010-06-02,1.4143673181533813
2010-06-03,1.4143673181533813
2010-06-04,1.4248439073562622
2010-06-07,1.3148376941680908
2010-06-08,1.3148376941680908
2010-06-09,1.2938839197158813
2010-06-10,1.299122929573059
2010-06-11,1.3200758695602417
2010-06-14,1.4196054935455322
2010-06-15,1.435320496559143
2010-06-16,1.4248439073562622
