Date,BC
2010-01-04,11.011693000793457
2010-01-05,11.200697898864746
2010-01-06,11.348617553710938
2010-01-07,11.282876014709473
2010-01-08,11.167831420898438
2010-01-11,11.258225440979004
2010-01-12,10.913079261779785
2010-01-13,11.118523597717285
2010-01-14,10.9788236618042
2010-01-15,10.518631935119629
2010-01-19,10.699423789978027
2010-01-20,10.23923110961914
2010-01-21,10.493980407714844
2010-01-22,9.86121654510498
2010-01-25,9.721515655517578
2010-01-26,9.82012939453125
2010-01-27,10.11596393585205
2010-01-28,9.220240592956543
2010-01-29,8.817570686340332
2010-02-01,8.95727252960205
2010-02-02,9.540726661682129
2010-02-03,9.27776050567627
2010-02-04,8.669656753540039
2010-02-05,8.52173900604248
2010-02-08,8.579257011413574
2010-02-09,9.105191230773926
2010-02-10,8.97370719909668
2010-02-11,9.499640464782715
2010-02-12,9.696864128112793
2010-02-16,9.926959037780762
2010-02-17,10.181705474853516
2010-02-18,10.12418270111084
2010-02-19,10.058442115783691
2010-02-22,9.803689956665039
2010-02-23,9.548948287963867
2010-02-24,9.647555351257324
2010-02-25,9.639341354370117
2010-02-26,9.48320484161377
2010-03-01,9.844783782958984
2010-03-02,9.877650260925293
2010-03-03,9.853001594543457
2010-03-04,10.066658973693848
2010-03-05,10.666550636291504
2010-03-08,10.96238899230957
2010-03-09,12.055337905883789
2010-03-10,13.016804695129395
2010-03-11,12.885326385498047
2010-03-12,13.041454315185547
2010-03-15,12.794929504394531
2010-03-16,13.255119323730469
2010-03-17,13.24690055847168
2010-03-18,13.15650749206543
2010-03-19,12.844236373901367
2010-03-22,13.057893753051758
2010-03-23,13.23046588897705
2010-03-24,13.008589744567871
2010-03-25,13.000371932983398
2010-03-26,13.214030265808105
2010-03-29,13.353732109069824
2010-03-30,13.23046588897705
2010-03-31,13.123638153076172
2010-04-01,12.926412582397461
2010-04-05,13.37838363647461
2010-04-06,13.518084526062012
2010-04-07,13.559175491333008
2010-04-08,13.633132934570312
2010-04-09,13.403040885925293
2010-04-12,13.460562705993652
2010-04-13,13.518084526062012
2010-04-14,14.61103343963623
2010-04-15,14.10153865814209
2010-04-16,13.608481407165527
2010-04-19,13.468778610229492
