Date,CRUS
2010-01-04,6.909999847412109
2010-01-05,6.869999885559082
2010-01-06,6.849999904632568
2010-01-07,6.820000171661377
2010-01-08,6.679999828338623
2010-01-11,6.619999885559082
2010-01-12,7.960000038146973
2010-01-13,7.820000171661377
2010-01-14,7.78000020980835
2010-01-15,7.789999961853027
2010-01-19,7.449999809265137
2010-01-20,7.5
2010-01-21,7.480000019073486
2010-01-22,7.260000228881836
2010-01-25,7.409999847412109
2010-01-26,7.230000019073486
2010-01-27,7.21999979019165
2010-01-28,7.099999904632568
2010-01-29,6.820000171661377
2010-02-01,7.059999942779541
2010-02-02,6.960000038146973
2010-02-03,6.920000076293945
2010-02-04,6.539999961853027
2010-02-05,6.409999847412109
2010-02-08,6.579999923706055
2010-02-09,6.639999866485596
2010-02-10,6.599999904632568
2010-02-11,6.670000076293945
2010-02-12,6.829999923706055
2010-02-16,6.920000076293945
2010-02-17,7.139999866485596
2010-02-18,7.230000019073486
2010-02-19,7.230000019073486
2010-02-22,7.190000057220459
2010-02-23,7.159999847412109
2010-02-24,7.289999961853027
2010-02-25,7.210000038146973
2010-02-26,7.139999866485596
2010-03-01,7.260000228881836
2010-03-02,7.190000057220459
2010-03-03,7.320000171661377
2010-03-04,7.519999980926514
2010-03-05,7.710000038146973
2010-03-08,7.789999961853027
2010-03-09,7.789999961853027
2010-03-10,7.940000057220459
2010-03-11,7.900000095367432
2010-03-12,7.769999980926514
2010-03-15,7.659999847412109
2010-03-16,7.75
2010-03-17,7.980000019073486
2010-03-18,7.940000057220459
2010-03-19,7.699999809265137
2010-03-22,7.860000133514404
2010-03-23,7.980000019073486
2010-03-24,7.75
2010-03-25,7.889999866485596
2010-03-26,7.889999866485596
2010-03-29,7.909999847412109
2010-03-30,8.579999923706055
2010-03-31,8.390000343322754
2010-04-01,8.449999809265137
2010-04-05,9.149999618530273
2010-04-06,9.369999885559082
2010-04-07,9.65999984741211
2010-04-08,9.600000381469727
2010-04-09,9.550000190734863
2010-04-12,9.6899995803833
2010-04-13,9.6899995803833
2010-04-14,10.359999656677246
2010-04-15,10.520000457763672
2010-04-16,10.210000038146973
2010-04-19,10.0
2010-04-20,10.100000381469727
2010-04-21,10.289999961853027
2010-04-22,10.470000267028809
2010-04-23,10.329999923706055
2010-04-26,10.390000343322754
2010-04-27,12.079999923706055
2010-04-28,12.449999809265137
2010-04-29,13.390000343322754
2010-04-30,12.710000038146973
2010-05-03,13.050000190734863
2010-05-04,12.550000190734863
2010-05-05,11.729999542236328
2010-05-06,11.140000343322754
2010-05-07,10.520000457763672
2010-05-10,11.979999542236328
2010-05-11,13.779999732971191
2010-05-12,14.3100004196167
2010-05-13,14.949999809265137
2010-05-14,14.300000190734863
2010-05-17,13.850000381469727
2010-05-18,13.470000267028809
2010-05-19,13.149999618530273
2010-05-20,12.220000267028809
2010-05-21,12.869999885559082
2010-05-24,13.270000457763672
2010-05-25,13.119999885559082
2010-05-26,13.949999809265137
2010-05-27,14.569999694824219
2010-05-28,14.220000267028809
2010-06-01,14.130000114440918
2010-06-02,14.579999923706055
2010-06-03,14.930000305175781
2010-06-04,14.210000038146973
2010-06-07,13.15999984741211
2010-06-08,13.039999961853027
2010-06-09,13.359999656677246
2010-06-10,13.720000267028809
2010-06-11,14.09000015258789
2010-06-14,14.220000267028809
2010-06-15,15.390000343322754
2010-06-16,15.5
2010-06-17,17.0
2010-06-18,17.81999969482422
2010-06-21,17.229999542236328
2010-06-22,17.450000762939453
2010-06-23,17.139999389648438
2010-06-24,16.799999237060547
2010-06-25,16.760000228881836
2010-06-28,17.239999771118164
2010-06-29,16.049999237060547
2010-06-30,15.8100004196167
2010-07-01,15.0
2010-07-02,15.579999923706055
2010-07-06,15.619999885559082
2010-07-07,17.290000915527344
2010-07-08,17.40999984741211
2010-07-09,17.639999389648438
2010-07-12,17.700000762939453
2010-07-13,18.100000381469727
2010-07-14,18.170000076293945
2010-07-15,17.950000762939453
2010-07-16,17.15999984741211
2010-07-19,17.489999771118164
2010-07-20,18.149999618530273
2010-07-21,18.559999465942383
2010-07-22,18.959999084472656
2010-07-23,19.81999969482422
2010-07-26,20.540000915527344
2010-07-27,20.270000457763672
2010-07-28,19.170000076293945
2010-07-29,19.719999313354492
2010-07-30,19.5
2010-08-02,19.959999084472656
2010-08-03,19.75
2010-08-04,20.399999618530273
2010-08-05,19.600000381469727
2010-08-06,19.920000076293945
2010-08-09,20.399999618530273
2010-08-10,20.25
2010-08-11,18.65999984741211
2010-08-12,19.030000686645508
2010-08-13,18.670000076293945
2010-08-16,18.780000686645508
2010-08-17,18.530000686645508
2010-08-18,18.850000381469727
2010-08-19,17.540000915527344
2010-08-20,17.100000381469727
2010-08-23,16.31999969482422
2010-08-24,15.550000190734863
2010-08-25,16.43000030517578
2010-08-26,15.670000076293945
2010-08-27,16.200000762939453
2010-08-30,15.630000114440918
2010-08-31,15.100000381469727
2010-09-01,16.3799991607666
2010-09-02,16.889999389648438
2010-09-03,17.3799991607666
2010-09-07,16.649999618530273
2010-09-08,16.219999313354492
2010-09-09,16.020000457763672
2010-09-10,15.180000305175781
2010-09-13,15.899999618530273
2010-09-14,16.350000381469727
2010-09-15,16.09000015258789
2010-09-16,16.360000610351562
2010-09-17,15.970000267028809
2010-09-20,16.31999969482422
2010-09-21,16.420000076293945
2010-09-22,15.9399995803833
2010-09-23,15.829999923706055
2010-09-24,16.940000534057617
2010-09-27,17.260000228881836
2010-09-28,17.350000381469727
2010-09-29,19.020000457763672
2010-09-30,17.84000015258789
