Date,NOC
2010-01-04,37.15633773803711
2010-01-05,37.22169494628906
2010-01-06,37.365482330322266
2010-01-07,37.75109100341797
2010-01-08,37.54195022583008
2010-01-11,37.581153869628906
2010-01-12,37.620384216308594
2010-01-13,38.75108337402344
2010-01-14,38.757625579833984
2010-01-15,38.31318664550781
2010-01-19,38.5223388671875
2010-01-20,38.097503662109375
2010-01-21,37.04521179199219
2010-01-22,36.358951568603516
2010-01-25,36.40471649169922
2010-01-26,36.62037658691406
2010-01-27,37.084434509277344
2010-01-28,37.01908493041992
2010-01-29,36.99292755126953
2010-02-01,37.85567092895508
2010-02-02,38.02560043334961
2010-02-03,38.24128723144531
2010-02-04,37.84259796142578
2010-02-05,37.685752868652344
2010-02-08,37.88835906982422
2010-02-09,38.921016693115234
2010-02-10,38.26087951660156
2010-02-11,38.82950973510742
2010-02-12,38.489654541015625
2010-02-16,38.92754364013672
2010-02-17,39.175907135009766
2010-02-18,40.202049255371094
2010-02-19,40.0059700012207
2010-02-22,40.306610107421875
2010-02-23,40.02557373046875
2010-02-24,40.319705963134766
2010-02-25,40.22754669189453
2010-02-26,40.319698333740234
2010-03-01,41.47149658203125
2010-03-02,41.40568923950195
2010-03-03,41.01734161376953
2010-03-04,41.51756286621094
2010-03-05,42.26787567138672
2010-03-08,42.228389739990234
2010-03-09,42.12309265136719
2010-03-10,42.48508071899414
2010-03-11,42.61670684814453
2010-03-12,42.12309265136719
2010-03-15,42.327110290527344
2010-03-16,42.53772735595703
2010-03-17,42.71543502807617
2010-03-18,42.81416702270508
2010-03-19,43.136661529541016
2010-03-22,42.741764068603516
2010-03-23,42.90631103515625
2010-03-24,42.741764068603516
2010-03-25,42.768096923828125
2010-03-26,43.13007736206055
2010-03-29,43.29462432861328
2010-03-30,43.255149841308594
2010-03-31,43.15641784667969
2010-04-01,43.60396957397461
2010-04-05,43.71585464477539
2010-04-06,43.261714935302734
2010-04-07,42.92605972290039
2010-04-08,42.84707260131836
2010-04-09,43.53815460205078
2010-04-12,43.58422088623047
2010-04-13,43.86064529418945
2010-04-14,43.99888229370117
2010-04-15,43.979122161865234
