Date,PSFE
2020-10-09,119.4000015258789
2020-10-12,118.31999969482422
2020-10-13,118.80000305175781
2020-10-14,118.31999969482422
2020-10-15,117.66000366210938
2020-10-16,117.23999786376953
2020-10-19,117.23999786376953
2020-10-20,116.87999725341797
2020-10-21,116.63999938964844
2020-10-22,117.0
2020-10-23,117.36000061035156
2020-10-26,116.4000015258789
2020-10-27,116.22000122070312
2020-10-28,116.04000091552734
2020-10-29,115.68000030517578
2020-10-30,116.04000091552734
2020-11-02,116.04000091552734
2020-11-03,116.5199966430664
2020-11-04,117.12000274658203
2020-11-05,117.5999984741211
2020-11-06,121.80000305175781
2020-11-09,123.36000061035156
2020-11-10,122.63999938964844
2020-11-11,122.63999938964844
2020-11-12,126.0
2020-11-13,126.77999877929688
2020-11-16,127.31999969482422
2020-11-17,124.80000305175781
2020-11-18,124.80000305175781
2020-11-19,124.44000244140625
2020-11-20,126.4800033569336
2020-11-23,124.31999969482422
2020-11-24,125.4000015258789
2020-11-25,125.0999984741211
2020-11-27,125.27999877929688
2020-11-30,125.87999725341797
2020-12-01,125.76000213623047
2020-12-02,125.27999877929688
2020-12-03,125.87999725341797
2020-12-04,127.44000244140625
2020-12-07,143.39999389648438
2020-12-08,153.36000061035156
2020-12-09,153.0
2020-12-10,161.39999389648438
2020-12-11,168.0
2020-12-14,175.32000732421875
2020-12-15,168.9600067138672
2020-12-16,164.63999938964844
2020-12-17,166.55999755859375
2020-12-18,167.0399932861328
2020-12-21,177.83999633789062
2020-12-22,176.16000366210938
2020-12-23,175.55999755859375
2020-12-24,182.75999450683594
2020-12-28,195.60000610351562
2020-12-29,189.1199951171875
2020-12-30,189.47999572753906
2020-12-31,181.1999969482422
2021-01-04,173.39999389648438
2021-01-05,177.60000610351562
2021-01-06,173.8800048828125
2021-01-07,179.39999389648438
2021-01-08,180.60000610351562
2021-01-11,186.60000610351562
2021-01-12,182.52000427246094
2021-01-13,195.9600067138672
2021-01-14,189.72000122070312
2021-01-15,187.0800018310547
2021-01-19,198.60000610351562
2021-01-20,209.63999938964844
2021-01-21,230.8800048828125
2021-01-22,226.67999267578125
2021-01-25,213.47999572753906
2021-01-26,200.16000366210938
2021-01-27,178.67999267578125
2021-01-28,187.67999267578125
2021-01-29,185.0399932861328
2021-02-01,200.0399932861328
2021-02-02,200.0399932861328
2021-02-03,217.1999969482422
2021-02-04,218.39999389648438
2021-02-05,214.67999267578125
2021-02-08,212.39999389648438
2021-02-09,205.55999755859375
2021-02-10,200.27999877929688
2021-02-11,193.8000030517578
2021-02-12,207.24000549316406
2021-02-16,202.8000030517578
2021-02-17,208.8000030517578
2021-02-18,203.27999877929688
2021-02-19,208.67999267578125
2021-02-22,202.44000244140625
2021-02-23,194.16000366210938
2021-02-24,196.1999969482422
2021-02-25,184.0800018310547
2021-02-26,182.52000427246094
2021-03-01,189.47999572753906
