Date,ALX
2010-01-04,97.92051696777344
2010-01-05,97.33840942382812
2010-01-06,97.86849212646484
2010-01-07,99.62127685546875
2010-01-08,99.4066390991211
2010-01-11,94.86358642578125
2010-01-12,97.7936782836914
2010-01-13,99.10425567626953
2010-01-14,98.71076965332031
2010-01-15,97.8781967163086
2010-01-19,98.95140075683594
2010-01-20,97.23431396484375
2010-01-21,95.46524047851562
2010-01-22,92.90918731689453
2010-01-25,93.13682556152344
2010-01-26,93.02301025390625
2010-01-27,94.0929183959961
2010-01-28,94.29129028320312
2010-01-29,95.0522689819336
2010-02-01,95.87500762939453
2010-02-02,93.5758285522461
2010-02-03,91.07506561279297
2010-02-04,88.3791732788086
2010-02-05,91.4848403930664
2010-02-08,88.85722351074219
2010-02-09,88.55477142333984
2010-02-10,88.6881332397461
2010-02-11,91.9368667602539
2010-02-12,95.43926239013672
2010-02-16,97.18231201171875
2010-02-17,97.02294158935547
2010-02-18,97.07170867919922
2010-02-19,96.58393859863281
2010-02-22,97.55950927734375
2010-02-23,97.22785186767578
2010-02-24,97.6310806274414
2010-02-25,96.90910339355469
2010-02-26,94.95792388916016
2010-03-01,95.92376708984375
2010-03-02,95.92704010009766
2010-03-03,95.56282043457031
2010-03-04,97.05872344970703
2010-03-05,98.6587142944336
2010-03-08,99.10425567626953
2010-03-09,99.30912780761719
2010-03-10,99.51070404052734
2010-03-11,99.13020324707031
2010-03-12,99.03917694091797
2010-03-15,97.41319274902344
2010-03-16,97.72537994384766
2010-03-17,98.25546264648438
2010-03-18,97.94977569580078
2010-03-19,96.25872039794922
2010-03-22,97.48145294189453
2010-03-23,97.95953369140625
2010-03-24,98.66520690917969
2010-03-25,98.1480941772461
2010-03-26,97.9725570678711
2010-03-29,98.35629272460938
2010-03-30,98.16114044189453
2010-03-31,97.27661895751953
2010-04-01,97.1693115234375
2010-04-05,100.81151580810547
2010-04-06,102.39850616455078
2010-04-07,101.9497299194336
2010-04-08,101.57573699951172
2010-04-09,102.23263549804688
2010-04-12,101.78714752197266
2010-04-13,102.20983123779297
2010-04-14,105.26671600341797
2010-04-15,104.38545989990234
2010-04-16,102.43753814697266
2010-04-19,103.3253173828125
2010-04-20,104.87323760986328
2010-04-21,107.00006866455078
2010-04-22,109.92034149169922
2010-04-23,109.73170471191406
2010-04-26,109.25689697265625
2010-04-27,104.03749084472656
2010-04-28,104.87648010253906
2010-04-29,109.3544692993164
2010-04-30,103.35457611083984
2010-05-03,105.36104583740234
2010-05-04,98.58387756347656
2010-05-05,97.35465240478516
2010-05-06,95.51164245605469
2010-05-07,92.84879302978516
2010-05-10,99.62725067138672
2010-05-11,99.5420150756836
2010-05-12,106.4876480102539
2010-05-13,106.4483413696289
2010-05-14,102.27043914794922
2010-05-17,103.37554931640625
2010-05-18,100.1913070678711
2010-05-19,98.32534790039062
2010-05-20,96.74141693115234
2010-05-21,98.21712493896484
2010-05-24,97.13495635986328
2010-05-25,97.63995361328125
2010-05-26,101.5981674194336
2010-05-27,104.49710845947266
2010-05-28,106.37296295166016
