Date,ILMN
2010-01-04,29.717899322509766
2010-01-05,29.523345947265625
2010-01-06,31.3424129486084
2010-01-07,31.877431869506836
2010-01-08,32.2470817565918
2010-01-11,32.898834228515625
2010-01-12,38.103111267089844
2010-01-13,39.4066162109375
2010-01-14,37.96692657470703
2010-01-15,37.95719909667969
2010-01-19,37.052528381347656
2010-01-20,36.66342544555664
2010-01-21,36.51750946044922
2010-01-22,35.505836486816406
2010-01-25,35.45719909667969
2010-01-26,35.29182815551758
2010-01-27,36.0311279296875
2010-01-28,35.311283111572266
2010-01-29,35.6906623840332
2010-02-01,36.22568130493164
2010-02-02,36.79961013793945
2010-02-03,36.81906509399414
2010-02-04,35.62256622314453
2010-02-05,34.51361846923828
2010-02-08,34.69844436645508
2010-02-09,34.854087829589844
2010-02-10,34.62062454223633
2010-02-11,35.63229751586914
2010-02-12,36.00194549560547
2010-02-16,36.16731643676758
2010-02-17,35.72957229614258
2010-02-18,35.64202117919922
2010-02-19,35.603111267089844
2010-02-22,35.37937545776367
2010-02-23,35.02918243408203
2010-02-24,35.155643463134766
2010-02-25,35.476654052734375
2010-02-26,35.33073806762695
2010-03-01,36.95525360107422
2010-03-02,36.98443603515625
2010-03-03,37.82101058959961
2010-03-04,37.22762680053711
2010-03-05,37.76264572143555
2010-03-08,37.61673355102539
2010-03-09,37.937744140625
2010-03-10,38.365760803222656
2010-03-11,39.202335357666016
2010-03-12,39.4066162109375
2010-03-15,38.89105224609375
2010-03-16,39.056419372558594
2010-03-17,38.764591217041016
2010-03-18,38.570037841796875
2010-03-19,38.764591217041016
2010-03-22,39.09532928466797
2010-03-23,38.929962158203125
2010-03-24,38.22957229614258
2010-03-25,37.95719909667969
2010-03-26,38.103111267089844
2010-03-29,38.13229751586914
2010-03-30,38.103111267089844
2010-03-31,37.8404655456543
2010-04-01,38.22957229614258
2010-04-05,38.1906623840332
2010-04-06,38.13229751586914
2010-04-07,37.87937545776367
2010-04-08,37.20817184448242
2010-04-09,37.461090087890625
2010-04-12,37.071983337402344
2010-04-13,37.17898941040039
2010-04-14,37.51945495605469
2010-04-15,37.44163513183594
2010-04-16,37.33462905883789
2010-04-19,36.33268356323242
2010-04-20,36.4688720703125
2010-04-21,36.157588958740234
2010-04-22,36.2159538269043
2010-04-23,36.10894775390625
2010-04-26,35.90467071533203
2010-04-27,35.92412567138672
2010-04-28,36.614784240722656
2010-04-29,41.36186981201172
2010-04-30,40.6906623840332
2010-05-03,40.65175247192383
2010-05-04,40.40856170654297
2010-05-05,40.875484466552734
2010-05-06,39.601165771484375
2010-05-07,38.83268356323242
2010-05-10,40.749027252197266
2010-05-11,41.01167297363281
2010-05-12,41.65369415283203
2010-05-13,41.021400451660156
2010-05-14,40.797664642333984
2010-05-17,40.359920501708984
2010-05-18,40.21400833129883
2010-05-19,39.474708557128906
2010-05-20,38.39494323730469
2010-05-21,38.22957229614258
2010-05-24,37.96692657470703
2010-05-25,38.55058288574219
2010-05-26,39.4066162109375
2010-05-27,41.099220275878906
2010-05-28,40.89494323730469
2010-06-01,40.359920501708984
2010-06-02,41.76070022583008
2010-06-03,42.22762680053711
2010-06-04,40.46692657470703
2010-06-07,41.29377365112305
2010-06-08,40.992218017578125
2010-06-09,41.507781982421875
2010-06-10,42.7529182434082
2010-06-11,43.764591217041016
2010-06-14,43.23929977416992
2010-06-15,43.57976531982422
2010-06-16,43.7840461730957
2010-06-17,43.618675231933594
2010-06-18,43.297664642333984
2010-06-21,43.365760803222656
2010-06-22,42.71400833129883
2010-06-23,42.54863739013672
2010-06-24,42.431907653808594
2010-06-25,43.40467071533203
2010-06-28,43.83268356323242
2010-06-29,42.188716888427734
2010-06-30,42.344356536865234
2010-07-01,41.64397048950195
2010-07-02,41.916343688964844
2010-07-06,41.313228607177734
2010-07-07,42.62645721435547
2010-07-08,43.22957229614258
2010-07-09,43.50194549560547
2010-07-12,42.412452697753906
2010-07-13,43.43385314941406
2010-07-14,43.04474639892578
2010-07-15,43.599220275878906
2010-07-16,42.44163513183594
2010-07-19,42.69455337524414
2010-07-20,42.16926193237305
2010-07-21,41.35213851928711
2010-07-22,41.86770248413086
2010-07-23,41.342411041259766
2010-07-26,41.585601806640625
2010-07-27,40.13618850708008
2010-07-28,42.850196838378906
2010-07-29,42.850196838378906
2010-07-30,43.60894775390625
2010-08-02,44.16342544555664
2010-08-03,43.69649887084961
2010-08-04,44.78599166870117
2010-08-05,45.24319076538086
2010-08-06,45.92412567138672
2010-08-09,45.93385314941406
2010-08-10,45.145912170410156
2010-08-11,44.67898941040039
2010-08-12,44.19260787963867
2010-08-13,44.51361846923828
2010-08-16,44.19260787963867
2010-08-17,44.59143829345703
2010-08-18,44.7470817565918
2010-08-19,43.67704391479492
2010-08-20,43.77431869506836
2010-08-23,43.492218017578125
2010-08-24,42.32490158081055
2010-08-25,42.704280853271484
2010-08-26,42.32490158081055
2010-08-27,42.83073806762695
2010-08-30,42.188716888427734
2010-08-31,41.7217903137207
2010-09-01,42.69455337524414
2010-09-02,43.540855407714844
2010-09-03,43.39494323730469
2010-09-07,43.365760803222656
2010-09-08,43.77431869506836
2010-09-09,43.7840461730957
2010-09-10,43.813228607177734
2010-09-13,43.326847076416016
2010-09-14,44.766536712646484
2010-09-15,45.70038986206055
2010-09-16,47.61673355102539
2010-09-17,46.98443603515625
2010-09-20,47.88910675048828
2010-09-21,48.297664642333984
2010-09-22,48.06420135498047
2010-09-23,48.23929977416992
2010-09-24,48.80350112915039
2010-09-27,48.171207427978516
2010-09-28,48.58949279785156
