Date,HTB
2012-07-11,10.618762969970703
2012-07-12,10.827506065368652
2012-07-13,10.891036987304688
2012-07-16,10.827506065368652
2012-07-17,10.891036987304688
2012-07-18,10.900114059448242
2012-07-19,10.891036987304688
2012-07-20,10.927342414855957
2012-07-23,11.108858108520508
2012-07-24,11.108858108520508
2012-07-25,11.263148307800293
2012-07-26,11.344828605651855
2012-07-27,11.308525085449219
2012-07-30,11.199616432189941
2012-07-31,11.272221565246582
2012-08-01,11.299452781677246
2012-08-02,11.326680183410645
2012-08-03,11.317602157592773
2012-08-06,11.226842880249023
2012-08-07,11.28129768371582
2012-08-08,11.272221565246582
2012-08-09,11.263148307800293
2012-08-10,11.299452781677246
2012-08-13,11.17238998413086
2012-08-14,11.208693504333496
2012-08-15,11.217765808105469
2012-08-16,11.254071235656738
2012-08-17,11.308525085449219
2012-08-20,11.28129768371582
2012-08-21,11.308525085449219
2012-08-22,11.344828605651855
2012-08-23,11.344828605651855
2012-08-24,11.35390567779541
2012-08-27,11.39021110534668
2012-08-28,11.544499397277832
2012-08-29,11.444665908813477
2012-08-30,11.480968475341797
2012-08-31,11.417436599731445
2012-09-04,11.517271995544434
2012-09-05,11.55357551574707
2012-09-06,11.589881896972656
2012-09-07,11.53542423248291
2012-09-10,11.517271995544434
2012-09-11,11.462812423706055
2012-09-12,11.426514625549316
2012-09-13,11.526350021362305
2012-09-14,11.517271995544434
2012-09-17,11.453742027282715
2012-09-18,11.617106437683105
2012-09-19,11.66248607635498
2012-09-20,11.689712524414062
2012-09-21,11.771397590637207
2012-09-24,11.735091209411621
2012-09-25,11.862154006958008
2012-09-26,11.97106647491455
2012-09-27,11.789548873901367
2012-09-28,12.025519371032715
2012-10-01,11.980138778686523
2012-10-02,12.016444206237793
2012-10-03,11.961990356445312
2012-10-04,12.116280555725098
2012-10-05,12.37948226928711
2012-10-08,12.388557434082031
2012-10-09,12.370402336120605
2012-10-10,12.343177795410156
2012-10-11,12.370402336120605
2012-10-12,12.225188255310059
2012-10-15,12.243338584899902
2012-10-16,12.361329078674316
2012-10-17,12.25241756439209
2012-10-18,12.216114044189453
2012-10-19,12.025519371032715
2012-10-22,12.216114044189453
2012-10-23,12.261496543884277
2012-10-24,12.134430885314941
2012-10-25,12.170732498168945
2012-10-26,12.197964668273926
2012-10-31,12.388557434082031
2012-11-01,12.361329078674316
2012-11-02,12.125350952148438
2012-11-05,12.279643058776855
2012-11-06,12.261496543884277
2012-11-07,11.92568588256836
2012-11-08,11.517271995544434
2012-11-09,11.580801963806152
2012-11-12,11.780470848083496
2012-11-13,11.780470848083496
2012-11-14,11.66248607635498
2012-11-15,11.589881896972656
2012-11-16,11.653409957885742
2012-11-19,11.735091209411621
2012-11-20,11.716940879821777
2012-11-21,11.735091209411621
2012-11-23,11.825850486755371
2012-11-26,11.844002723693848
2012-11-27,11.862154006958008
2012-11-28,11.94383716583252
2012-11-29,11.934762001037598
2012-11-30,11.653409957885742
2012-12-03,11.998292922973633
2012-12-04,11.94383716583252
2012-12-05,11.916609764099121
2012-12-06,11.871230125427246
2012-12-07,11.83492660522461
2012-12-10,11.780470848083496
2012-12-11,11.816776275634766
2012-12-12,11.8803071975708
2012-12-13,11.789548873901367
2012-12-14,11.853078842163086
2012-12-17,11.889383316040039
2012-12-18,11.980138778686523
2012-12-19,11.980138778686523
2012-12-20,11.989214897155762
2012-12-21,12.025519371032715
2012-12-24,11.97106647491455
2012-12-26,12.016444206237793
2012-12-27,12.152584075927734
2012-12-28,12.079975128173828
2012-12-31,12.261496543884277
2013-01-02,12.424860954284668
2013-01-03,12.397631645202637
2013-01-04,12.406707763671875
2013-01-07,12.37948226928711
2013-01-08,12.515616416931152
2013-01-09,12.615450859069824
2013-01-10,12.8151216506958
2013-01-11,12.50654125213623
2013-01-14,12.551919937133789
2013-01-15,12.93310832977295
2013-01-16,12.533769607543945
2013-01-17,12.660828590393066
2013-01-18,12.59730052947998
2013-01-22,12.615450859069824
2013-01-23,12.606377601623535
2013-01-24,12.615450859069824
2013-01-25,12.660828590393066
2013-01-28,12.706208229064941
2013-01-29,12.787894248962402
2013-01-30,12.706208229064941
2013-01-31,13.114624977111816
2013-02-01,13.078320503234863
2013-02-04,12.896804809570312
2013-02-05,12.969411849975586
2013-02-06,12.98756217956543
2013-02-07,13.032938957214355
2013-02-08,13.06017017364502
2013-02-11,13.042017936706543
2013-02-12,13.105546951293945
2013-02-13,13.123700141906738
2013-02-14,13.178155899047852
2013-02-15,13.613798141479492
2013-02-19,13.586568832397461
2013-02-20,13.731783866882324
2013-02-21,13.804389953613281
2013-02-22,13.958681106567383
2013-02-25,13.97683334350586
2013-02-26,14.040363311767578
2013-02-27,14.067591667175293
2013-02-28,14.022212982177734
2013-03-01,14.085742950439453
2013-03-04,14.276334762573242
2013-03-05,14.28541088104248
2013-03-06,14.24002742767334
2013-03-07,14.312643051147461
2013-03-08,14.512306213378906
2013-03-11,14.430625915527344
2013-03-12,14.212803840637207
2013-03-13,14.094817161560059
2013-03-14,14.212803840637207
2013-03-15,14.24002742767334
2013-03-18,14.212803840637207
2013-03-19,14.221880912780762
2013-03-20,14.358017921447754
2013-03-21,14.339866638183594
2013-03-22,14.412473678588867
2013-03-25,14.430625915527344
2013-03-26,14.44877815246582
2013-03-27,14.412473678588867
2013-03-28,14.339866638183594
2013-04-01,14.348941802978516
2013-04-02,14.348941802978516
2013-04-03,14.339866638183594
2013-04-04,14.457852363586426
2013-04-05,14.494157791137695
2013-04-08,14.421547889709473
2013-04-09,14.339866638183594
