Date,EG
2010-01-04,61.18940734863281
2010-01-05,60.30147171020508
2010-01-06,60.27997589111328
2010-01-07,60.40170669555664
2010-01-08,60.2943000793457
2010-01-11,60.695308685302734
2010-01-12,60.76693344116211
2010-01-13,61.46866989135742
2010-01-14,61.604713439941406
2010-01-15,60.73114013671875
2010-01-19,61.79094314575195
2010-01-20,62.01290512084961
2010-01-21,61.40426254272461
2010-01-22,60.49480056762695
2010-01-25,60.55926513671875
2010-01-26,60.51627731323242
2010-01-27,61.504493713378906
2010-01-28,60.802738189697266
2010-01-29,61.3970832824707
2010-02-01,61.27533721923828
2010-02-02,61.59758758544922
2010-02-03,61.053348541259766
2010-02-04,59.82170104980469
2010-02-05,59.6355094909668
2010-02-08,59.29180145263672
2010-02-09,59.964881896972656
2010-02-10,60.416019439697266
2010-02-11,57.29390335083008
2010-02-12,57.98136520385742
2010-02-16,58.97671127319336
2010-02-17,59.076969146728516
2010-02-18,59.7643928527832
2010-02-19,60.050838470458984
2010-02-22,60.45901870727539
2010-02-23,60.2943000793457
2010-02-24,61.02470016479492
2010-02-25,61.447200775146484
2010-02-26,61.167938232421875
2010-03-01,61.21090316772461
2010-03-02,60.47331237792969
2010-03-03,59.44218826293945
2010-03-04,59.22019958496094
2010-03-05,58.547054290771484
2010-03-08,59.973270416259766
2010-03-09,59.454681396484375
2010-03-10,59.52667999267578
2010-03-11,59.872432708740234
2010-03-12,59.447452545166016
2010-03-15,59.1521110534668
2010-03-16,58.89277648925781
2010-03-17,59.33941650390625
2010-03-18,59.26017379760742
2010-03-19,58.22294998168945
2010-03-22,57.69708251953125
2010-03-23,57.286495208740234
2010-03-24,57.30091857910156
2010-03-25,57.60344696044922
2010-03-26,57.459373474121094
2010-03-29,58.24453353881836
2010-03-30,58.2589225769043
2010-03-31,58.29497146606445
2010-04-01,58.208492279052734
2010-04-05,57.99241638183594
2010-04-06,58.02842712402344
2010-04-07,58.96482467651367
2010-04-08,58.71272659301758
2010-04-09,58.90000534057617
2010-04-12,59.0368766784668
2010-04-13,59.094520568847656
2010-04-14,60.07411193847656
2010-04-15,59.54827880859375
2010-04-16,58.48942947387695
2010-04-19,58.90000534057617
2010-04-20,59.08008575439453
2010-04-21,59.296173095703125
2010-04-22,59.20253372192383
2010-04-23,59.692352294921875
2010-04-26,59.53387451171875
2010-04-27,57.733116149902344
2010-04-28,58.24453353881836
2010-04-29,56.32129669189453
2010-04-30,55.21201705932617
2010-05-03,55.449710845947266
2010-05-04,54.41965866088867
2010-05-05,55.3848762512207
2010-05-06,53.42562484741211
2010-05-07,53.5552978515625
2010-05-10,55.536128997802734
2010-05-11,55.4425048828125
2010-05-12,55.99715805053711
2010-05-13,56.05478286743164
2010-05-14,55.36328125
2010-05-17,55.3272705078125
2010-05-18,54.71500015258789
2010-05-19,54.90226745605469
