Date,ERAS
2021-07-16,17.43000030517578
2021-07-19,17.93000030517578
2021-07-20,19.229999542236328
2021-07-21,19.920000076293945
2021-07-22,20.0
2021-07-23,19.1200008392334
2021-07-26,18.850000381469727
2021-07-27,18.959999084472656
2021-07-28,20.0
2021-07-29,20.989999771118164
2021-07-30,21.0
2021-08-02,19.280000686645508
2021-08-03,20.09000015258789
2021-08-04,20.56999969482422
2021-08-05,20.639999389648438
2021-08-06,20.989999771118164
2021-08-09,21.149999618530273
2021-08-10,20.25
2021-08-11,21.020000457763672
2021-08-12,19.31999969482422
2021-08-13,20.079999923706055
2021-08-16,19.520000457763672
2021-08-17,19.649999618530273
2021-08-18,19.270000457763672
2021-08-19,20.09000015258789
2021-08-20,20.969999313354492
2021-08-23,20.860000610351562
2021-08-24,20.889999389648438
2021-08-25,21.950000762939453
2021-08-26,22.399999618530273
2021-08-27,23.010000228881836
2021-08-30,23.520000457763672
2021-08-31,23.90999984741211
2021-09-01,22.860000610351562
2021-09-02,24.34000015258789
2021-09-03,23.850000381469727
2021-09-07,22.739999771118164
2021-09-08,20.280000686645508
2021-09-09,20.950000762939453
2021-09-10,21.020000457763672
2021-09-13,20.440000534057617
2021-09-14,20.829999923706055
2021-09-15,21.040000915527344
2021-09-16,20.610000610351562
2021-09-17,19.420000076293945
2021-09-20,19.709999084472656
2021-09-21,21.09000015258789
2021-09-22,21.0
2021-09-23,19.979999542236328
2021-09-24,19.239999771118164
2021-09-27,20.31999969482422
2021-09-28,20.200000762939453
2021-09-29,19.84000015258789
2021-09-30,21.219999313354492
2021-10-01,21.559999465942383
2021-10-04,22.1299991607666
2021-10-05,22.75
2021-10-06,19.100000381469727
2021-10-07,18.139999389648438
2021-10-08,17.3700008392334
2021-10-11,18.510000228881836
2021-10-12,17.239999771118164
2021-10-13,18.020000457763672
2021-10-14,18.049999237060547
2021-10-15,17.799999237060547
2021-10-18,16.979999542236328
2021-10-19,17.8700008392334
2021-10-20,19.260000228881836
2021-10-21,19.34000015258789
2021-10-22,18.889999389648438
2021-10-25,19.270000457763672
2021-10-26,19.729999542236328
2021-10-27,18.510000228881836
2021-10-28,18.8799991607666
2021-10-29,19.780000686645508
2021-11-01,19.489999771118164
2021-11-02,19.690000534057617
2021-11-03,20.0
2021-11-04,20.290000915527344
2021-11-05,19.809999465942383
2021-11-08,19.459999084472656
2021-11-09,19.56999969482422
2021-11-10,18.8700008392334
2021-11-11,20.010000228881836
2021-11-12,19.450000762939453
2021-11-15,18.959999084472656
2021-11-16,19.549999237060547
2021-11-17,19.75
2021-11-18,18.219999313354492
2021-11-19,18.030000686645508
2021-11-22,16.920000076293945
2021-11-23,16.010000228881836
2021-11-24,16.459999084472656
2021-11-26,15.34000015258789
2021-11-29,14.640000343322754
2021-11-30,14.170000076293945
