Date,KLAC
2010-01-04,20.916799545288086
2010-01-05,20.684513092041016
2010-01-06,20.605192184448242
2010-01-07,20.718507766723633
2010-01-08,21.030115127563477
2010-01-11,20.93946647644043
2010-01-12,20.20862579345703
2010-01-13,20.44656753540039
2010-01-14,19.829036712646484
2010-01-15,18.888572692871094
2010-01-19,19.058534622192383
2010-01-20,18.82625961303711
2010-01-21,18.610965728759766
2010-01-22,17.48355484008789
2010-01-25,17.54019546508789
2010-01-26,17.375905990600586
2010-01-27,17.47787857055664
2010-01-28,16.645055770874023
2010-01-29,15.976543426513672
2010-02-01,16.53742027282715
2010-02-02,16.486427307128906
2010-02-03,16.594074249267578
2010-02-04,16.038860321044922
2010-02-05,16.310794830322266
2010-02-08,16.271141052246094
2010-02-09,16.52608299255371
2010-02-10,16.424104690551758
2010-02-11,16.7885799407959
2010-02-12,16.896780014038086
2010-02-16,17.55170249938965
2010-02-17,17.3295955657959
2010-02-18,17.227088928222656
2010-02-19,17.415016174316406
2010-02-22,17.27264976501465
2010-02-23,16.452577590942383
2010-02-24,16.566486358642578
2010-02-25,16.45827865600586
2010-02-26,16.589258193969727
2010-03-01,17.164447784423828
2010-03-02,17.2327823638916
2010-03-03,17.215696334838867
2010-03-04,17.101804733276367
2010-03-05,17.249866485595703
2010-03-08,17.15875244140625
2010-03-09,16.942346572875977
2010-03-10,17.15875244140625
2010-03-11,17.079017639160156
2010-03-12,16.771503448486328
2010-03-15,15.996992111206055
2010-03-16,16.520925521850586
2010-03-17,16.75441551208496
2010-03-18,16.566486358642578
2010-03-19,16.3956298828125
2010-03-22,16.953733444213867
2010-03-23,17.70546531677246
2010-03-24,17.460575103759766
2010-03-25,17.58586883544922
2010-03-26,17.318208694458008
2010-03-29,17.432111740112305
2010-03-30,17.58586883544922
2010-03-31,17.61434555053711
2010-04-01,17.71685218811035
2010-04-05,18.286346435546875
2010-04-06,18.18953514099121
2010-04-07,18.047163009643555
2010-04-08,17.70546531677246
2010-04-09,17.95033836364746
2010-04-12,18.03007698059082
2010-04-13,18.212308883666992
2010-04-14,18.958341598510742
2010-04-15,18.901390075683594
2010-04-16,19.009593963623047
2010-04-19,18.94126319885254
2010-04-20,19.049455642700195
2010-04-21,19.04376220703125
2010-04-22,19.618947982788086
2010-04-23,19.63604164123535
2010-04-26,19.71006202697754
2010-04-27,19.169052124023438
2010-04-28,19.134885787963867
2010-04-29,19.755626678466797
2010-04-30,19.396852493286133
2010-05-03,20.10301971435547
2010-05-04,19.30002784729004
2010-05-05,18.81596565246582
2010-05-06,18.166744232177734
2010-05-07,17.733943939208984
2010-05-10,18.61664390563965
2010-05-11,18.605260848999023
2010-05-12,18.918481826782227
2010-05-13,18.3750057220459
2010-05-14,17.72283935546875
2010-05-17,18.060365676879883
2010-05-18,17.476848602294922
2010-05-19,17.56265640258789
2010-05-20,17.082115173339844
2010-05-21,17.29378318786621
2010-05-24,16.881893157958984
2010-05-25,17.019195556640625
2010-05-26,16.921945571899414
2010-05-27,17.88302993774414
2010-05-28,17.60270881652832
2010-06-01,17.122169494628906
2010-06-02,17.648469924926758
2010-06-03,18.094696044921875
2010-06-04,17.116451263427734
2010-06-07,16.252614974975586
2010-06-08,16.218284606933594
2010-06-09,16.063827514648438
2010-06-10,16.60157585144043
2010-06-11,16.681673049926758
2010-06-14,16.761764526367188
2010-06-15,17.38532257080078
2010-06-16,17.31094741821289
2010-06-17,17.391036987304688
2010-06-18,17.619876861572266
2010-06-21,18.048927307128906
2010-06-22,17.608427047729492
2010-06-23,17.68279266357422
2010-06-24,17.04207420349121
2010-06-25,17.09355354309082
2010-06-28,17.167930603027344
2010-06-29,16.172529220581055
2010-06-30,15.949413299560547
2010-07-01,15.537522315979004
2010-07-02,15.566120147705078
2010-07-06,15.617610931396484
2010-07-07,16.3956241607666
2010-07-08,16.418521881103516
2010-07-09,17.04779815673828
2010-07-12,16.881893157958984
2010-07-13,17.88873863220215
2010-07-14,17.47113037109375
2010-07-15,17.45969009399414
2010-07-16,16.721712112426758
2010-07-19,17.185091018676758
2010-07-20,17.425365447998047
2010-07-21,16.996309280395508
2010-07-22,17.637042999267578
2010-07-23,17.842985153198242
2010-07-26,18.209108352661133
2010-07-27,18.060365676879883
2010-07-28,17.68279266357422
2010-07-29,17.63131332397461
2010-07-30,18.117570877075195
2010-08-02,18.455097198486328
2010-08-03,18.518028259277344
2010-08-04,18.70681381225586
2010-08-05,18.603837966918945
2010-08-06,18.47797966003418
2010-08-09,18.603837966918945
2010-08-10,17.980274200439453
2010-08-11,17.036359786987305
2010-08-12,16.79982566833496
2010-08-13,16.788278579711914
2010-08-16,16.759431838989258
2010-08-17,17.15174674987793
2010-08-18,17.46904182434082
2010-08-19,17.267127990722656
2010-08-20,17.145959854125977
2010-08-23,16.736360549926758
2010-08-24,16.499818801879883
2010-08-25,16.753660202026367
2010-08-26,16.499818801879883
2010-08-27,16.80558967590332
2010-08-30,16.390209197998047
2010-08-31,16.15943717956543
2010-09-01,16.724815368652344
2010-09-02,17.17481231689453
2010-09-03,17.509428024291992
2010-09-07,16.534433364868164
2010-09-08,16.59212875366211
2010-09-09,16.678667068481445
2010-09-10,16.40174674987793
2010-09-13,16.897897720336914
2010-09-14,17.197891235351562
2010-09-15,17.313270568847656
2010-09-16,17.930572509765625
2010-09-17,17.913267135620117
2010-09-20,18.20172119140625
2010-09-21,18.62864112854004
2010-09-22,18.467103958129883
2010-09-23,18.92864227294922
2010-09-24,19.297874450683594
2010-09-27,19.50555992126465
2010-09-28,20.134401321411133
